epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.29,13716.0,0.0,0.216,5.395,0.000,0.000,0.000,0.000,3.7,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.45,8910.2,0.0,0.333,8.333,0.000,0.000,0.000,0.000,12.8,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),2.05,1955.5,244.4,0.392,9.805,0.339,0.679,1.270,2.540,29.2,58.0
4,15900,GPU (NVIDIA GeForce RTX 3080),2.01,1987.0,248.4,0.470,11.746,0.343,0.685,1.159,2.319,29.2,58.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.46,8675.5,0.0,0.407,10.186,0.000,0.000,0.000,0.000,29.2,58.0
6,23900,GPU (NVIDIA GeForce RTX 3080),2.02,1980.5,247.6,0.426,10.656,0.367,0.734,1.177,2.355,29.2,58.0
7,27900,GPU (NVIDIA GeForce RTX 3080),2.19,1824.0,228.0,0.426,10.644,0.403,0.806,1.311,2.622,29.2,58.0
8,31900,GPU (NVIDIA GeForce RTX 3080),2.04,1956.7,244.6,0.407,10.171,0.381,0.763,1.212,2.423,29.2,58.0
9,35900,GPU (NVIDIA GeForce RTX 3080),2.09,1913.7,239.2,0.438,10.947,0.382,0.763,1.225,2.449,29.2,58.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.45,8869.0,0.0,0.405,10.113,0.000,0.000,0.000,0.000,29.2,58.0
11,43900,GPU (NVIDIA GeForce RTX 3080),2.34,1707.7,213.5,0.475,11.879,0.413,0.827,1.388,2.776,29.2,58.0
12,47900,GPU (NVIDIA GeForce RTX 3080),2.38,1682.7,210.3,0.400,9.994,0.435,0.870,1.497,2.993,29.2,58.0
13,51900,GPU (NVIDIA GeForce RTX 3080),2.01,1994.1,249.3,0.404,10.103,0.376,0.753,1.184,2.368,29.2,58.0
14,55900,GPU (NVIDIA GeForce RTX 3080),2.25,1775.5,221.9,0.507,12.675,0.396,0.793,1.305,2.610,29.2,58.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.56,7092.8,0.0,0.524,13.112,0.000,0.000,0.000,0.000,29.2,58.0
16,63900,GPU (NVIDIA GeForce RTX 3080),2.28,1753.4,219.2,0.496,12.396,0.417,0.835,1.328,2.655,29.2,58.0
17,67900,GPU (NVIDIA GeForce RTX 3080),2.16,1848.4,231.0,0.514,12.857,0.384,0.769,1.223,2.445,29.2,58.0
18,71900,GPU (NVIDIA GeForce RTX 3080),2.11,1898.5,237.3,0.508,12.701,0.377,0.755,1.179,2.357,29.2,58.0
19,75900,GPU (NVIDIA GeForce RTX 3080),2.19,1824.1,228.0,0.533,13.317,0.395,0.790,1.218,2.435,29.2,58.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.58,6850.2,0.0,0.518,12.962,0.000,0.000,0.000,0.000,29.2,58.0
21,83900,GPU (NVIDIA GeForce RTX 3080),2.14,1872.3,234.0,0.492,12.293,0.389,0.779,1.211,2.422,29.2,58.0
22,87900,GPU (NVIDIA GeForce RTX 3080),2.05,1947.6,243.4,0.496,12.411,0.371,0.743,1.146,2.292,29.2,58.0
23,91900,GPU (NVIDIA GeForce RTX 3080),2.07,1928.6,241.1,0.508,12.700,0.368,0.737,1.155,2.310,29.2,58.0
24,95900,GPU (NVIDIA GeForce RTX 3080),2.10,1907.8,238.5,0.498,12.459,0.377,0.755,1.181,2.362,29.2,58.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.53,7519.0,0.0,0.494,12.352,0.000,0.000,0.000,0.000,29.2,58.0
26,103900,GPU (NVIDIA GeForce RTX 3080),2.01,1987.6,248.4,0.506,12.651,0.365,0.730,1.103,2.207,29.2,58.0
27,107900,GPU (NVIDIA GeForce RTX 3080),2.03,1967.2,245.9,0.500,12.511,0.370,0.740,1.123,2.247,29.2,58.0
28,111900,GPU (NVIDIA GeForce RTX 3080),2.15,1861.9,232.7,0.506,12.659,0.370,0.739,1.233,2.467,29.2,58.0
29,115900,GPU (NVIDIA GeForce RTX 3080),2.16,1854.2,231.8,0.509,12.713,0.371,0.742,1.238,2.475,29.2,58.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.60,6717.7,0.0,0.547,13.679,0.000,0.000,0.000,0.000,29.2,58.0
31,123900,GPU (NVIDIA GeForce RTX 3080),2.12,1890.4,236.3,0.508,12.690,0.383,0.766,1.181,2.362,29.2,58.0
32,127900,GPU (NVIDIA GeForce RTX 3080),2.24,1789.0,223.6,0.499,12.465,0.399,0.797,1.297,2.594,29.2,58.0
33,131900,GPU (NVIDIA GeForce RTX 3080),2.03,1972.1,246.5,0.505,12.616,0.364,0.727,1.120,2.240,29.2,58.0
34,135900,GPU (NVIDIA GeForce RTX 3080),2.17,1846.8,230.8,0.519,12.982,0.383,0.767,1.225,2.450,29.2,58.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.55,7297.5,0.0,0.509,12.716,0.000,0.000,0.000,0.000,29.2,58.0
36,143900,GPU (NVIDIA GeForce RTX 3080),2.06,1939.9,242.5,0.501,12.516,0.378,0.756,1.144,2.289,29.2,58.0
37,147900,GPU (NVIDIA GeForce RTX 3080),2.10,1901.7,237.7,0.504,12.598,0.376,0.751,1.183,2.367,29.2,58.0
