epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,108.76,23.5,113,4000,0.4
2,7900,,,,,,,,,115.12,25.5,162,8000,1.2
3,11900,1.173534,1.181836,-7.707282,7.3138,7.3136,7.9742,7.7637,0.0069,97.94,22.4,197,12000,6.8
4,15900,2.214839,2.303214,-13.130427,12.6132,12.6124,27.9923,27.7756,0.0292,62.78,16.7,242,16000,12.4
5,19900,,,,,,,,,59.53,15.3,264,20000,13.0
6,23900,4.436854,4.566070,-17.358497,16.8899,16.8879,56.9435,55.1107,0.0252,57.01,15.0,272,24000,18.4
7,27900,6.207106,6.424410,-20.948438,20.5072,20.5076,89.1499,85.0347,0.0328,56.01,14.5,277,28000,24.3
8,31900,9.477504,9.921240,-24.048913,23.6213,23.6210,123.3875,115.7659,0.0317,56.61,14.2,279,32000,30.0
9,35900,11.891419,11.951853,-26.700268,26.2035,26.2039,171.7500,146.3443,0.0752,60.15,15.0,261,36000,35.8
10,39900,,,,,,,,,67.47,16.6,238,40000,36.4
11,43900,18.739752,19.536202,-29.843083,29.1116,29.1159,233.7078,212.7378,0.1321,59.83,14.9,285,44000,41.8
12,47900,27.043665,27.000894,-32.512661,31.6792,31.6832,288.3066,250.2570,0.1875,60.19,14.9,255,48000,47.2
13,51900,34.117669,34.817427,-34.646065,33.8088,33.8111,350.8663,289.5263,0.2489,62.47,15.3,259,52000,52.9
14,55900,39.803916,41.611861,-36.581883,35.7141,35.7168,443.4451,372.8972,0.3292,65.63,15.9,247,56000,58.7
15,59900,,,,,,,,,66.63,16.0,254,60000,59.3
16,63900,46.720955,46.493837,-38.576022,37.5516,37.5533,513.7823,468.9696,0.4037,87.34,21.0,181,64000,64.7
17,67900,54.017417,55.240108,-40.935896,39.6684,39.6684,622.9819,578.9074,0.6632,111.54,26.8,143,68000,70.3
18,71900,60.851456,60.961755,-43.191718,41.7123,41.7167,686.0615,662.1995,0.9285,104.15,26.2,144,72000,75.9
19,75900,66.035574,66.674912,-45.490718,43.7872,43.7871,759.6375,735.5172,1.1753,138.71,33.4,110,76000,81.4
20,79900,,,,,,,,,195.35,43.1,69,80000,82.1
21,83900,68.461655,69.733459,-47.848115,46.0448,46.0503,824.9906,778.3651,1.3001,273.34,55.0,71,84000,87.8
22,87900,71.645784,71.505205,-50.304200,48.3086,48.3160,949.4218,863.6202,1.4688,267.94,54.0,82,88000,93.6
23,91900,74.849067,75.320961,-52.789153,50.6812,50.6846,996.0977,953.7805,1.4560,230.13,48.0,81,92000,99.4
24,95900,79.492287,79.059974,-55.420014,53.1319,53.1299,1024.8513,985.4758,1.5883,212.67,45.2,92,96000,105.3
25,99900,,,,,,,,,210.93,44.8,92,100000,105.9
26,103900,83.524876,83.323626,-58.171315,55.8050,55.8104,1116.2831,1099.9326,1.5733,246.54,50.8,71,104000,111.6
27,107900,88.447094,87.307572,-60.700612,58.2096,58.2206,1186.5109,1234.1897,1.6514,257.11,52.6,71,108000,117.2
28,111900,93.172840,95.039207,-63.389151,60.6351,60.6302,1273.7810,1336.3093,1.6731,246.83,50.5,82,112000,123.0
29,115900,100.278462,101.077604,-65.838990,63.0421,63.0419,1341.3902,1457.7533,1.7099,249.02,50.5,82,116000,128.7
30,119900,,,,,,,,,265.38,53.7,77,120000,129.4
31,123900,104.159367,102.864137,-68.194644,65.4005,65.4014,1420.4787,1477.0787,1.8282,270.36,54.7,70,124000,135.3
32,127900,107.210624,107.538105,-70.356565,67.5934,67.6042,1369.7497,1498.8583,1.7789,266.68,54.0,70,128000,141.0
33,131900,111.622177,114.030701,-72.813635,69.8932,69.8952,1437.7343,1496.5687,1.8949,280.29,56.7,67,132000,146.8
34,135900,115.624457,116.443142,-74.988005,72.1385,72.1397,1517.4451,1608.1522,1.9819,303.75,61.6,68,136000,152.5
35,139900,,,,,,,,,313.36,63.4,56,140000,153.2
36,143900,120.828153,120.931239,-77.248174,74.2068,74.2140,1562.7514,1641.3195,1.8868,306.89,62.0,69,144000,159.0
37,147900,127.473355,128.367146,-79.371061,76.3254,76.3201,1550.6476,1708.8142,2.0607,296.16,60.5,70,148000,164.4
38,151900,132.783420,133.436251,-81.708347,78.5704,78.5703,1689.4556,1783.7690,2.2101,296.30,60.3,63,152000,169.8
39,155900,137.718692,138.477220,-83.696078,80.5715,80.5812,1759.1134,1826.5341,2.2641,293.42,59.9,65,156000,175.4
40,159900,,,,,,,,,295.09,60.3,78,160000,176.2
41,163900,148.962790,147.056927,-85.894457,82.6880,82.6902,1804.5300,1923.2713,2.4026,247.75,50.8,74,164000,181.6
42,167900,152.191948,154.048823,-88.187177,84.8760,84.8689,1865.0875,1893.9977,2.2381,273.21,55.3,72,168000,187.1
43,171900,159.951013,161.502661,-90.219924,86.8810,86.8843,1893.2791,2018.7549,2.2542,285.10,57.4,68,172000,192.7
44,175900,170.326966,167.945567,-92.299525,88.9041,88.9080,1992.4172,2044.8474,2.4416,252.18,51.9,82,176000,198.0
45,179900,,,,,,,,,238.99,49.2,84,180000,198.6
46,183900,175.968055,175.859777,-94.107284,90.7446,90.7479,1975.2194,2101.6529,2.5586,241.52,49.5,81,184000,203.8
47,187900,177.386026,179.109072,-96.020615,92.5360,92.5323,1923.1499,2124.0944,2.4720,237.00,48.8,84,188000,209.3
48,191900,186.806576,189.406812,-97.812916,94.2649,94.2689,2025.0593,2302.2468,2.4140,213.38,44.9,89,192000,214.9
49,195900,200.761868,200.562587,-99.502481,95.8572,95.8459,2142.6440,2270.2082,2.4562,234.38,48.6,74,196000,220.4
