epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.25,16221.6,0.0,0.148,3.689,0.000,0.000,0.000,0.000,1.6,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.32,12347.3,0.0,0.146,3.650,0.000,0.000,0.000,0.000,10.7,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.77,5163.1,64.5,0.144,3.597,0.071,1.429,0.496,9.926,21.3,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.60,6659.1,83.2,0.143,3.572,0.066,1.324,0.333,6.670,21.3,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.20,19652.4,0.0,0.144,3.593,0.000,0.000,0.000,0.000,21.3,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.64,6216.0,77.7,0.138,3.444,0.077,1.532,0.372,7.449,21.3,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.61,6513.3,81.4,0.143,3.581,0.056,1.127,0.360,7.209,21.3,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.61,6575.0,82.2,0.144,3.602,0.076,1.520,0.331,6.626,21.3,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.60,6620.6,82.8,0.151,3.785,0.042,0.844,0.348,6.952,21.3,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.24,16373.2,0.0,0.169,4.222,0.000,0.000,0.000,0.000,21.3,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.65,6141.0,76.8,0.155,3.876,0.069,1.376,0.358,7.166,21.3,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.72,5517.7,69.0,0.157,3.928,0.083,1.668,0.413,8.251,21.3,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.69,5795.1,72.4,0.161,4.013,0.073,1.454,0.389,7.775,21.3,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.69,5817.5,72.7,0.160,4.002,0.075,1.500,0.390,7.792,21.3,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.22,18445.9,0.0,0.149,3.730,0.000,0.000,0.000,0.000,21.3,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.65,6189.9,77.4,0.149,3.727,0.074,1.475,0.359,7.178,21.3,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.63,6351.2,79.4,0.150,3.752,0.078,1.559,0.342,6.838,21.3,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.61,6516.1,81.5,0.144,3.590,0.036,0.725,0.365,7.309,21.3,32.0
