epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,46.94,7.1,518,4000,0.2
2,7900,,,,,,,,,64.25,9.1,412,8000,0.6
3,11900,45.684388,46.057052,-3.235296,3.0441,2.8681,33.0046,36.1578,0.1718,49.29,7.5,589,12000,1.3
4,15900,22.581748,23.303763,-5.371537,5.2959,5.3380,36.0859,37.4098,0.0398,23.20,4.7,839,16000,1.9
5,19900,,,,,,,,,21.93,4.6,877,20000,2.2
6,23900,7.978591,8.058148,-6.983000,6.6120,6.5631,12.1702,13.6131,0.0286,21.64,4.6,869,24000,2.8
7,27900,6.161312,6.183438,-7.369236,7.0730,7.0750,7.1370,7.3581,0.0093,21.53,4.5,886,28000,3.4
8,31900,5.765565,5.775419,-7.464064,7.2601,7.2617,8.1965,7.4004,0.0032,21.61,4.6,878,32000,4.0
9,35900,5.505179,5.583522,-7.776310,7.6527,7.6521,7.8208,7.6201,0.0017,21.83,4.6,876,36000,4.6
10,39900,,,,,,,,,21.75,4.6,878,40000,4.9
11,43900,5.409659,5.543119,-8.048624,7.9569,7.9531,11.1255,10.2204,0.0011,21.54,4.5,882,44000,5.5
12,47900,5.537629,5.715189,-8.380096,8.3117,8.3165,10.9829,11.3096,0.0009,21.62,4.6,876,48000,6.2
13,51900,5.669535,5.870725,-8.685214,8.6534,8.6511,10.1381,8.5167,0.0007,21.53,4.5,884,52000,6.9
14,55900,5.966795,6.207789,-9.071285,9.0139,9.0107,8.7321,8.5871,0.0006,21.57,4.5,876,56000,7.6
15,59900,,,,,,,,,21.45,4.5,885,60000,7.8
16,63900,6.374851,6.624704,-9.353942,9.3376,9.3353,16.5012,15.0084,0.0001,21.42,4.5,878,64000,8.5
17,67900,6.800696,7.062483,-9.699671,9.6850,9.6914,12.2481,10.4833,0.0004,21.75,4.6,874,68000,9.1
18,71900,7.247930,7.520876,-9.961235,10.0507,10.0484,12.0293,11.2507,0.0011,21.96,4.6,872,72000,9.7
19,75900,7.761244,8.051491,-10.271344,10.3310,10.3345,13.9454,12.5913,0.0024,21.75,4.6,878,76000,10.4
20,79900,,,,,,,,,21.79,4.6,873,80000,10.6
21,83900,8.627297,8.916660,-10.558689,10.6195,10.6176,14.0862,13.0583,0.0048,21.59,4.6,878,84000,11.3
22,87900,9.170427,9.471335,-10.777090,10.9014,10.9070,15.6446,13.7238,0.0168,21.78,4.6,881,88000,11.9
23,91900,9.841057,10.184380,-11.162455,11.2277,11.2245,14.3065,13.5868,0.3818,29.32,5.4,713,92000,12.5
24,95900,10.386423,10.754523,-14.356307,11.7656,11.7643,18.5062,18.3319,5.5500,51.54,7.7,509,96000,13.2
25,99900,,,,,,,,,65.23,9.2,436,100000,13.4
26,103900,11.246522,11.611851,-16.366557,12.3079,12.3102,18.1122,16.6200,0.4265,51.58,7.8,524,104000,14.0
27,107900,12.908669,13.241290,-16.945951,12.8619,12.8645,28.7166,23.7005,0.1111,49.56,7.6,527,108000,14.6
28,111900,14.226394,14.614991,-17.577237,13.4817,13.4861,20.7531,18.8751,0.0585,49.47,7.6,528,112000,15.2
29,115900,17.373673,17.878360,-18.626047,14.5856,14.5837,29.7458,27.6592,0.0684,49.01,7.5,533,116000,15.8
30,119900,,,,,,,,,49.78,7.6,531,120000,16.0
31,123900,20.042836,20.580717,-19.252432,15.6426,15.6459,27.9774,24.4707,0.0684,52.80,7.9,500,124000,16.7
32,127900,21.959930,22.499319,-20.129482,16.4615,16.4675,34.5106,29.7816,0.0764,53.06,7.9,504,128000,17.4
33,131900,23.940374,24.448854,-21.006576,17.2433,17.2442,30.4493,27.4969,0.2042,53.58,8.0,502,132000,18.1
34,135900,25.513599,25.918992,-21.699076,17.9207,17.9262,35.5577,30.0165,0.6279,55.32,8.2,460,136000,18.7
35,139900,,,,,,,,,98.94,12.8,308,140000,18.9
36,143900,27.185720,27.538349,-22.828192,18.8355,18.8440,38.0921,32.1913,0.3469,93.59,12.3,333,144000,19.6
37,147900,29.597324,29.859086,-23.762538,19.6074,19.6100,47.2402,40.6894,0.1535,89.10,11.8,338,148000,20.2
38,151900,31.281091,31.428801,-24.414803,20.3526,20.3585,45.1782,41.6123,0.1145,86.62,11.5,349,152000,20.8
39,155900,33.635269,33.566436,-25.440510,21.2612,21.2592,62.0435,53.9177,0.1113,89.60,11.8,330,156000,21.4
40,159900,,,,,,,,,90.27,11.9,341,160000,21.6
41,163900,34.728340,34.517099,-26.089389,22.0582,22.0580,52.7004,45.6526,0.1803,91.85,12.1,334,164000,22.3
42,167900,35.365041,34.936932,-26.972253,22.8969,22.8962,52.8435,49.4971,0.2076,97.25,12.6,314,168000,22.9
43,171900,38.085496,37.379737,-27.743434,23.6101,23.6038,60.2557,52.5199,0.1510,100.57,13.0,310,172000,23.6
44,175900,39.334092,38.422439,-28.543092,24.4475,24.4451,63.7195,56.5154,0.3010,97.39,12.7,306,176000,24.2
45,179900,,,,,,,,,117.99,14.9,261,180000,24.4
46,183900,40.945559,39.904015,-29.440915,25.3429,25.3421,75.9442,69.5993,0.2460,127.02,15.8,251,184000,25.1
47,187900,42.654281,41.441215,-30.386172,26.2547,26.2447,67.9566,60.1998,0.1387,122.91,15.4,265,188000,25.7
48,191900,43.048697,41.684401,-31.320706,27.1607,27.1506,76.4689,71.2506,0.1345,124.46,15.6,254,192000,26.3
49,195900,45.085028,43.820962,-32.034688,27.8534,27.8460,84.5286,76.5533,0.1758,121.79,15.3,262,196000,26.9
50,199900,,,,,,,,,124.00,15.5,253,200000,27.1
51,203900,46.210911,44.920779,-32.987115,28.6628,28.6635,89.3398,77.4401,0.3138,125.21,15.7,259,204000,27.7
52,207900,48.755823,47.537929,-33.906157,29.4834,29.4779,102.2590,90.8443,0.3379,128.07,16.0,246,208000,28.3
53,211900,49.990001,48.684956,-34.834627,30.3045,30.3030,95.6026,85.0490,0.2770,130.46,16.2,249,212000,28.9
54,215900,51.003953,49.671878,-35.616517,31.1506,31.1381,88.8740,77.5250,0.3479,128.03,16.0,249,216000,29.5
55,219900,,,,,,,,,120.77,15.2,268,220000,29.7
56,223900,53.330963,52.125599,-36.244245,31.9079,31.9118,107.6112,92.8662,0.4664,134.66,16.7,233,224000,30.4
57,227900,55.678800,54.453037,-37.175341,32.6967,32.6896,125.3482,110.6679,0.3351,138.86,17.1,234,228000,31.0
58,231900,56.274613,55.146321,-38.084442,33.6859,33.6826,114.3139,100.7000,0.3815,133.78,16.6,243,232000,31.6
59,235900,59.331332,58.263381,-38.986864,34.4070,34.4052,115.6844,103.1111,0.3327,137.03,16.9,232,236000,32.2
60,239900,,,,,,,,,140.76,17.3,229,240000,32.4
61,243900,59.682844,58.614452,-39.669979,35.1768,35.1692,134.1247,121.3364,0.2915,146.24,17.9,223,244000,33.1
62,247900,62.457613,61.450124,-40.636643,35.9971,35.9900,161.7005,128.6874,0.5807,146.53,18.0,223,248000,33.8
63,251900,64.999947,64.071220,-41.560571,36.9324,36.9354,130.4536,114.0726,0.7072,151.01,18.4,220,252000,34.4
64,255900,65.025480,64.265638,-42.336672,37.6772,37.6692,126.2603,114.5547,0.5588,144.03,17.7,232,256000,35.0
65,259900,,,,,,,,,148.66,18.2,210,260000,35.2
66,263900,67.544548,66.890340,-43.029285,38.3729,38.3590,139.4582,124.7882,0.4921,150.13,18.4,225,264000,35.8
67,267900,70.743413,69.853188,-43.825405,38.9664,38.9598,174.4107,150.1494,0.4551,140.14,17.3,224,268000,36.4
68,271900,72.470668,71.800782,-44.746079,39.9787,39.9693,172.4180,154.7124,0.6056,143.94,17.7,238,272000,37.0
69,275900,78.051138,77.083220,-45.246126,40.5215,40.5252,164.4301,146.7586,0.5044,111.96,14.2,284,276000,37.6
70,279900,,,,,,,,,129.11,16.1,242,280000,37.8
71,283900,76.997550,76.173161,-46.328257,41.4667,41.4593,185.4460,154.1117,0.4721,132.39,16.4,246,284000,38.5
72,287900,83.611329,82.541872,-46.883055,42.0925,42.0809,193.5734,169.2581,0.5678,127.41,15.9,239,288000,39.1
73,291900,83.994286,82.942648,-47.754322,42.7947,42.7896,204.1241,185.5117,0.8846,151.64,18.5,222,292000,39.7
74,295900,86.127257,84.796052,-48.156961,43.4711,43.4723,196.8865,174.4098,1.0008,138.20,17.0,232,296000,40.3
75,299900,,,,,,,,,110.76,14.1,304,300000,40.5
76,303900,89.348139,88.213379,-49.155009,44.1773,44.1665,207.0774,185.6818,0.7772,113.78,14.4,279,304000,41.1
77,307900,93.987222,92.704511,-49.562302,44.6669,44.6517,226.3436,202.6520,1.0598,117.49,14.8,260,308000,41.8
78,311900,94.591267,93.548569,-50.607910,45.5764,45.5770,203.6062,181.5279,0.7429,114.44,14.5,288,312000,42.4
79,315900,99.741355,98.625049,-51.279295,46.2154,46.2156,230.9969,200.5263,0.6586,110.39,14.0,285,316000,43.0
80,319900,,,,,,,,,111.52,14.2,275,320000,43.2
81,323900,100.515515,98.918577,-51.882096,46.8740,46.8727,215.6374,188.1100,0.6933,112.41,14.3,276,324000,43.8
82,327900,105.476332,103.672559,-52.517745,47.4609,47.4574,204.7210,181.6514,0.5554,112.81,14.3,292,328000,44.4
83,331900,109.155793,107.692036,-53.338190,48.2081,48.1984,289.3931,255.7570,0.5625,109.19,13.9,279,332000,45.1
84,335900,111.427312,109.686099,-53.985001,48.9411,48.9428,279.5977,231.4819,0.5190,110.54,14.0,290,336000,45.6
85,339900,,,,,,,,,107.50,13.7,289,340000,45.8
86,343900,116.336474,114.140625,-54.549332,49.4813,49.4751,287.9577,261.0232,0.8571,103.00,13.2,306,344000,46.5
87,347900,119.514158,118.299602,-54.927531,49.9797,49.9721,280.2743,261.4632,0.4799,103.29,13.3,294,348000,47.1
88,351900,121.911567,120.058488,-56.027123,50.9010,50.9005,267.1152,235.8184,0.6854,106.54,13.6,300,352000,47.7
89,355900,126.818163,124.616785,-56.513854,51.3758,51.3699,289.1106,258.8593,0.7430,102.72,13.2,304,356000,48.3
90,359900,,,,,,,,,107.69,13.7,290,360000,48.5
91,363900,127.938532,125.582613,-56.935813,51.8706,51.8644,276.2309,248.8316,1.1835,102.60,13.2,306,364000,49.2
92,367900,132.271819,129.786139,-57.581436,52.4888,52.4823,296.9582,262.0386,1.4483,100.93,13.0,304,368000,49.8
93,371900,134.268763,131.991106,-58.186685,53.0255,53.0174,320.3218,292.5185,0.9746,105.68,13.5,295,372000,50.4
94,375900,139.077187,136.831504,-58.848472,53.6179,53.6077,300.3835,279.6943,0.8370,107.25,13.7,291,376000,51.0
95,379900,,,,,,,,,113.14,14.3,283,380000,51.2
96,383900,143.126118,139.560447,-59.716243,54.4811,54.5038,309.3635,276.0525,0.7737,113.31,14.3,273,384000,51.9
97,387900,145.371054,142.266107,-60.119173,54.6904,54.6690,305.5144,281.0702,0.8645,111.09,14.1,285,388000,52.5
98,391900,146.821761,143.659652,-60.624897,55.5721,55.5643,302.0688,274.1608,0.6476,116.11,14.7,275,392000,53.1
99,395900,152.178366,148.544745,-61.471506,56.0695,56.0684,342.0779,298.5762,0.5685,108.55,13.8,286,396000,53.7
100,399900,,,,,,,,,115.72,14.6,277,400000,53.9
101,403900,155.743152,151.149468,-61.932973,56.5954,56.5862,343.3807,302.5267,0.7539,112.73,14.3,278,404000,54.7
102,407900,159.604150,155.750453,-61.952598,56.9102,56.9014,386.6401,375.6112,0.7253,113.75,14.4,276,408000,55.4
103,411900,163.582745,158.967749,-62.682946,57.6369,57.6444,368.5678,328.9579,0.5794,114.62,14.5,282,412000,56.0
104,415900,168.400558,163.500537,-63.402955,58.0555,58.0422,407.9315,376.3319,0.5846,119.92,15.1,263,416000,56.6
105,419900,,,,,,,,,112.04,14.2,278,420000,56.8
106,423900,168.644803,163.272460,-63.744552,58.6283,58.6212,383.3541,349.3815,0.7823,119.25,15.0,278,424000,57.5
107,427900,171.527230,165.813431,-64.632761,59.3136,59.2938,367.3195,332.8681,0.5874,117.30,14.8,262,428000,58.1
108,431900,174.084926,168.111264,-64.968750,59.6552,59.6552,436.2627,382.0397,0.6867,114.56,14.5,283,432000,58.7
109,435900,181.737011,175.849542,-65.613965,60.2247,60.2192,415.7915,383.0403,0.8110,114.94,14.5,263,436000,59.4
110,439900,,,,,,,,,114.61,14.5,277,440000,59.6
111,443900,181.678081,174.602333,-65.889041,60.5660,60.5590,390.2245,357.5724,1.7221,114.52,14.5,288,444000,60.2
112,447900,185.880409,178.138217,-66.682083,61.2189,61.1907,439.4795,418.1252,1.4986,118.49,14.9,261,448000,60.8
113,451900,190.598394,183.082719,-67.249062,61.7279,61.7383,411.6237,370.1737,1.2335,126.18,15.7,252,452000,61.5
114,455900,190.552917,182.463712,-67.577150,62.2354,62.2116,446.2563,418.1538,0.7784,121.65,15.2,265,456000,62.1
115,459900,,,,,,,,,128.04,15.9,250,460000,62.3
116,463900,193.575932,184.063859,-68.180708,62.5809,62.5872,467.0432,404.7995,0.7386,124.36,15.5,251,464000,62.9
117,467900,193.946686,184.676574,-68.748038,63.3363,63.3365,498.7247,436.6439,1.1162,126.40,15.8,258,468000,63.5
