epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,45.84,7.0,534,267,4000,0.3
2,7900,,,,,,,,,,65.47,9.2,411,201,8000,0.6
3,11900,45.702801,47.108802,-3.104524,2.8759,2.7463,32.0834,33.1347,0.2679,0.0150,49.64,7.6,578,298,12000,1.5
4,15900,21.048709,24.733763,-5.474554,5.2737,5.0467,31.0216,34.4655,0.1217,0.0172,24.73,4.9,811,408,16000,2.2
5,19900,,,,,,,,,,22.65,4.7,846,413,20000,2.4
6,23900,7.542115,8.262194,-6.996670,6.5571,6.4252,11.1043,14.6093,0.0430,0.0057,22.80,4.7,862,450,24000,3.1
7,27900,5.856994,5.966926,-7.143689,6.8932,6.8993,9.2526,9.4320,0.0114,0.0036,22.66,4.7,848,439,28000,3.8
8,31900,5.521350,5.587458,-7.250265,7.1461,7.1420,7.9570,7.9963,0.0036,0.0032,22.63,4.7,857,409,32000,4.5
9,35900,5.534531,5.610383,-7.536222,7.4839,7.4785,6.5917,6.5618,0.0017,0.0114,22.57,4.7,857,415,36000,5.2
10,39900,,,,,,,,,,22.06,4.6,870,447,40000,5.4
11,43900,5.788781,5.884739,-7.828252,7.8228,7.8183,9.2887,9.4865,0.0013,0.0038,22.34,4.6,862,455,44000,6.1
12,47900,5.903244,5.991821,-8.245350,8.2385,8.2369,9.3847,9.8322,0.0012,0.0033,22.06,4.6,863,438,48000,6.7
13,51900,6.345694,6.451453,-8.511479,8.5485,8.5472,10.4800,10.7118,0.0010,0.0048,22.14,4.6,875,450,52000,7.3
14,55900,6.570851,6.681615,-8.889393,8.9445,8.9414,13.7409,14.5713,0.0011,0.0006,22.02,4.6,860,418,56000,8.0
15,59900,,,,,,,,,,22.40,4.7,861,434,60000,8.2
16,63900,7.230014,7.346669,-9.243926,9.2775,9.2749,14.6077,14.8404,0.0007,0.0005,21.84,4.6,878,434,64000,9.0
17,67900,7.543732,7.666702,-9.635993,9.7188,9.7181,17.3372,17.8840,0.0002,0.0005,21.84,4.6,866,431,68000,9.7
18,71900,8.185309,8.337028,-9.948588,10.0665,10.0678,12.4330,13.5733,0.0004,0.0007,22.02,4.6,872,452,72000,10.5
19,75900,8.984530,9.156984,-10.296547,10.4188,10.4176,12.0063,12.5628,0.0011,0.0002,22.19,4.6,860,436,76000,11.2
20,79900,,,,,,,,,,22.39,4.6,859,407,80000,11.5
21,83900,9.527475,9.732180,-10.575078,10.7412,10.7406,13.6159,14.4795,0.0024,0.0003,22.18,4.6,866,446,84000,12.2
22,87900,10.396164,10.609245,-10.833559,11.0217,11.0219,15.5397,16.4294,0.0042,0.0003,22.11,4.6,873,429,88000,13.0
23,91900,11.359056,11.613916,-11.054352,11.3540,11.3530,20.9866,22.8551,0.0085,0.0002,22.08,4.6,864,445,92000,13.7
24,95900,12.350850,12.638214,-11.415192,11.6728,11.6739,19.5088,19.7477,0.0263,0.0004,22.15,4.6,866,470,96000,14.5
25,99900,,,,,,,,,,22.33,4.6,864,442,100000,14.7
26,103900,13.141880,13.493095,-11.671433,11.9126,11.9153,22.6215,23.6896,0.3181,0.0003,31.19,5.6,704,367,104000,15.5
27,107900,13.812291,14.196408,-14.498370,12.2787,12.2773,21.9216,22.5497,5.5083,0.0002,33.39,5.8,695,350,108000,16.3
28,111900,14.813000,15.244116,-16.647035,12.7374,12.7378,22.9770,23.5451,0.4893,0.0002,28.91,5.3,755,376,112000,17.0
29,115900,15.301873,15.785150,-16.965678,13.0601,13.0616,22.2789,22.2152,0.0773,0.0001,24.69,4.9,820,412,116000,17.6
30,119900,,,,,,,,,,23.80,4.8,834,423,120000,17.9
31,123900,16.783094,17.252788,-17.407936,13.4433,13.4436,30.4161,28.9088,0.0111,0.0001,23.82,4.8,830,419,124000,18.6
32,127900,17.331860,17.893648,-17.957994,14.0037,14.0027,31.7200,29.7573,0.0492,0.0000,23.95,4.8,828,385,128000,19.3
33,131900,19.216416,19.835800,-18.419355,15.1504,15.1482,31.0236,29.8432,0.4146,0.0002,24.65,4.9,823,438,132000,20.1
34,135900,20.066270,20.723048,-18.511368,15.9611,15.9635,35.1491,34.8688,1.8156,0.0005,27.77,5.2,724,352,136000,20.8
35,139900,,,,,,,,,,60.66,8.7,460,233,140000,21.0
36,143900,22.146145,22.783816,-20.488960,16.6688,16.6682,46.8997,46.8648,0.6519,0.0026,103.48,13.3,275,130,144000,21.7
37,147900,23.760559,24.412947,-21.460855,17.5082,17.5082,43.0534,41.2627,0.2495,0.0258,113.16,14.3,280,135,148000,22.4
38,151900,25.258140,25.977264,-22.219867,18.3579,18.3574,38.1750,38.8267,0.0662,0.0131,117.61,14.8,273,134,152000,23.1
39,155900,27.014840,27.792946,-22.988062,19.2085,19.2036,46.5340,43.1205,0.0484,0.0083,116.56,14.7,271,142,156000,23.8
40,159900,,,,,,,,,,119.33,15.0,261,122,160000,24.1
41,163900,29.215933,30.048110,-23.788476,20.0511,20.0500,50.0771,49.2107,0.0589,0.0080,118.00,14.9,270,134,164000,24.8
42,167900,31.740757,32.608098,-24.564025,20.7924,20.7961,47.4914,44.6473,0.1072,0.0196,115.98,14.6,278,138,168000,25.5
43,171900,33.986078,34.831222,-25.259503,21.5487,21.5487,57.4505,57.4232,0.0917,0.0099,119.65,15.0,268,114,172000,26.3
44,175900,35.316837,36.223182,-26.269808,22.3595,22.3559,50.5976,47.2412,0.0707,0.0106,116.40,14.7,265,142,176000,26.9
45,179900,,,,,,,,,,119.47,15.0,268,135,180000,27.2
46,183900,37.626476,38.658871,-27.327417,23.3087,23.3114,65.9756,63.5202,0.0754,0.0114,119.40,15.0,269,128,184000,27.9
47,187900,39.686820,40.800984,-28.289667,24.0952,24.0964,65.8935,64.5966,0.0824,0.0168,119.45,15.0,263,127,188000,28.6
48,191900,42.342822,43.450384,-28.955345,24.8005,24.8020,64.0575,61.8015,0.0936,0.0134,118.60,14.9,263,129,192000,29.4
49,195900,44.341355,45.590424,-29.836139,25.6245,25.6270,90.2663,88.9502,0.1025,0.0197,119.03,15.0,266,141,196000,30.1
50,199900,,,,,,,,,,129.66,16.1,252,122,200000,30.4
