epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.28,14522.5,0.0,0.132,3.302,0.000,0.000,0.000,0.000,2.4,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.31,12835.4,0.0,0.124,3.100,0.000,0.000,0.000,0.000,11.5,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.74,5423.5,67.8,0.120,3.000,0.046,0.924,0.497,9.935,22.9,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.57,6985.5,87.3,0.121,3.017,0.046,0.929,0.326,6.521,22.9,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.21,19262.1,0.0,0.125,3.127,0.000,0.000,0.000,0.000,22.9,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.57,7043.7,88.0,0.130,3.257,0.028,0.563,0.326,6.526,22.9,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.58,6868.0,85.8,0.127,3.187,0.053,1.057,0.321,6.418,22.9,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.59,6749.9,84.4,0.120,2.995,0.037,0.735,0.359,7.186,22.9,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.70,5737.9,71.7,0.131,3.272,0.057,1.136,0.425,8.506,22.9,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.22,18535.1,0.0,0.131,3.285,0.000,0.000,0.000,0.000,22.9,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.60,6695.5,83.7,0.129,3.230,0.050,1.002,0.332,6.646,22.9,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.58,6951.6,86.9,0.124,3.095,0.063,1.254,0.308,6.156,22.9,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.55,7254.5,90.7,0.120,2.989,0.039,0.786,0.312,6.243,22.9,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.59,6808.0,85.1,0.126,3.161,0.045,0.906,0.334,6.673,22.9,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.21,18911.1,0.0,0.128,3.197,0.000,0.000,0.000,0.000,22.9,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.57,6956.8,87.0,0.124,3.098,0.039,0.789,0.331,6.621,22.9,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.56,7148.3,89.4,0.126,3.159,0.048,0.962,0.304,6.076,22.9,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.55,7252.2,90.7,0.122,3.047,0.054,1.084,0.296,5.923,22.9,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.60,6615.4,82.7,0.127,3.170,0.051,1.029,0.345,6.892,22.9,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.20,20139.7,0.0,0.122,3.060,0.000,0.000,0.000,0.000,22.9,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.56,7139.9,89.2,0.125,3.125,0.042,0.832,0.308,6.154,22.9,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.59,6808.6,85.1,0.126,3.148,0.030,0.610,0.352,7.045,22.9,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.57,6979.4,87.2,0.132,3.299,0.047,0.931,0.309,6.171,22.9,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.57,7005.0,87.6,0.127,3.182,0.050,0.991,0.309,6.175,22.9,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.20,19691.2,0.0,0.121,3.035,0.000,0.000,0.000,0.000,22.9,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.59,6767.1,84.6,0.130,3.260,0.034,0.671,0.347,6.945,22.9,36.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.56,7080.6,88.5,0.121,3.031,0.054,1.077,0.305,6.092,22.9,36.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.58,6922.3,86.5,0.123,3.081,0.062,1.235,0.314,6.282,22.9,36.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.58,6880.8,86.0,0.126,3.146,0.043,0.855,0.335,6.694,22.9,36.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.21,18940.7,0.0,0.125,3.116,0.000,0.000,0.000,0.000,22.9,36.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.59,6733.4,84.2,0.131,3.275,0.039,0.785,0.343,6.868,22.9,36.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.57,6972.9,87.2,0.126,3.154,0.041,0.813,0.335,6.709,22.9,36.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.59,6760.5,84.5,0.124,3.110,0.066,1.327,0.330,6.599,22.9,36.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.64,6283.4,78.5,0.130,3.244,0.032,0.645,0.391,7.816,22.9,36.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.21,19240.5,0.0,0.128,3.206,0.000,0.000,0.000,0.000,22.9,36.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.61,6552.9,81.9,0.133,3.328,0.043,0.851,0.343,6.862,22.9,36.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.61,6567.6,82.1,0.128,3.198,0.070,1.398,0.329,6.587,22.9,36.0
38,151900,GPU (NVIDIA GeForce RTX 3080),0.58,6907.5,86.3,0.127,3.174,0.046,0.915,0.334,6.671,22.9,36.0
