epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,46.00,7.0,524,246,4000,0.3,,,
2,7900,,,,,,,,,,55.46,8.2,484,254,8000,0.6,,,
3,11900,44.818464,43.831531,-3.168951,3.0221,3.1339,30.5772,31.8480,0.0837,0.0055,68.35,9.5,405,207,12000,1.5,,,
4,15900,22.925758,21.550570,-5.973385,5.7487,5.8866,28.3739,28.3792,0.1689,0.0054,61.84,8.9,494,271,16000,2.2,,,
5,19900,,,,,,,,,,22.97,4.7,843,433,20000,2.4,,,
6,23900,8.611043,8.614867,-7.469223,7.0560,7.1299,13.8369,14.0493,0.0068,0.0106,22.67,4.7,855,421,24000,3.1,,,
7,27900,6.622990,6.604008,-7.798439,7.4843,7.4905,8.1558,8.0888,0.0025,0.0154,22.54,4.7,860,447,28000,3.8,,,
8,31900,6.485305,6.453484,-7.929530,7.7183,7.7201,10.3582,8.6173,0.0016,0.0438,23.10,4.7,840,410,32000,4.5,,,
9,35900,6.523519,6.520337,-8.079909,8.0101,8.0133,9.7066,9.4431,0.0012,0.0008,23.19,4.7,850,434,36000,5.2,,,
10,39900,,,,,,,,,,23.10,4.7,845,416,40000,5.5,,,
11,43900,6.615972,6.633974,-8.369963,8.3713,8.3716,9.5242,9.8362,0.0011,0.0005,23.22,4.7,846,434,44000,6.2,,,
12,47900,6.742969,6.734683,-8.732532,8.7317,8.7316,12.0845,11.8977,0.0009,0.0003,23.20,4.7,843,425,48000,6.9,,,
13,51900,6.996893,7.000957,-9.011704,9.0239,9.0238,11.3891,11.3020,0.0008,0.0001,23.08,4.7,847,403,52000,7.6,,,
14,55900,7.145393,7.148114,-9.348776,9.3782,9.3787,13.4585,12.4202,0.0006,0.0001,23.28,4.7,846,431,56000,8.3,,,
15,59900,,,,,,,,,,23.34,4.8,840,427,60000,8.5,,,
16,63900,7.561078,7.583639,-9.708606,9.7129,9.7089,15.0279,15.2117,0.0005,0.0005,23.50,4.8,838,401,64000,9.2,,,
17,67900,7.773820,7.811887,-10.091228,10.0618,10.0610,14.2941,14.3691,0.0004,0.0011,23.06,4.7,845,396,68000,9.9,,,
18,71900,8.204280,8.242920,-10.426001,10.4266,10.4262,14.4905,13.9456,0.0004,0.0029,23.01,4.7,854,432,72000,10.6,,,
19,75900,8.540560,8.583484,-10.704282,10.7487,10.7481,13.3291,12.4482,0.0003,0.0687,23.10,4.7,845,425,76000,11.3,,,
20,79900,,,,,,,,,,22.66,4.7,853,415,80000,11.5,,,
21,83900,9.252674,9.311570,-10.807929,11.1112,11.1107,16.4874,16.7408,0.0001,0.3155,22.08,4.6,869,422,84000,12.3,,,
22,87900,10.179037,10.216231,-10.865478,11.3374,11.3367,19.3321,19.0772,0.0002,0.0119,22.20,4.6,866,422,88000,13.0,,,
23,91900,10.817966,10.834774,-11.305522,11.6993,11.6994,26.1127,25.4723,0.0004,0.0027,22.25,4.6,864,439,92000,13.7,,,
24,95900,11.636610,11.640288,-11.500347,11.9558,11.9559,20.5579,20.2721,0.0005,0.0016,22.26,4.6,859,448,96000,14.4,,,
25,99900,,,,,,,,,,22.04,4.6,868,452,100000,14.7,,,
26,103900,12.808725,12.813330,-11.755403,12.1771,12.1786,21.4428,21.2198,0.0008,0.0011,22.00,4.6,867,417,104000,15.3,,,
27,107900,13.591335,13.573021,-11.962059,12.4684,12.4689,23.9522,23.5255,0.0013,0.0010,21.95,4.6,870,453,108000,16.1,,,
28,111900,14.482133,14.470122,-12.223621,12.6756,12.6747,29.4758,29.1878,0.0019,0.0009,22.00,4.6,872,414,112000,16.8,,,
29,115900,15.276964,15.261148,-12.432269,12.9327,12.9337,23.9860,23.6096,0.0032,0.0012,21.86,4.6,874,441,116000,17.5,,,
30,119900,,,,,,,,,,22.06,4.6,863,431,120000,17.8,,,
31,123900,16.208551,16.183735,-12.628206,13.1727,13.1735,31.7349,30.6026,0.0060,0.0009,22.19,4.6,870,451,124000,18.5,,,
32,127900,17.329532,17.292445,-12.757851,13.3739,13.3745,29.8369,29.1864,0.0205,0.0017,22.01,4.6,864,438,128000,19.2,,,
33,131900,18.384827,18.338863,-14.482613,13.6106,13.6125,29.9812,29.0021,3.0411,0.0017,35.02,6.0,601,309,132000,20.0,,,
34,135900,19.708577,19.652577,-19.587605,14.1073,14.1105,34.1828,33.9290,0.8419,0.0056,73.00,10.0,444,239,136000,20.7,,,
35,139900,,,,,,,,,,23.01,4.7,832,403,140000,20.9,,,
36,143900,20.644877,20.665477,-19.978726,14.4479,14.4537,34.6624,33.3039,0.0445,0.0028,22.82,4.7,857,425,144000,21.6,,,
