epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.25,16125.2,0.0,0.147,3.678,0.000,0.000,0.000,0.000,1.6,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.31,13077.2,0.0,0.138,3.444,0.000,0.000,0.000,0.000,10.7,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.75,5345.3,66.8,0.135,3.379,0.070,1.400,0.493,9.865,21.3,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.60,6653.6,83.2,0.140,3.498,0.056,1.128,0.346,6.924,21.3,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.20,20105.4,0.0,0.140,3.489,0.000,0.000,0.000,0.000,21.3,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.59,6820.7,85.3,0.139,3.470,0.052,1.049,0.340,6.801,21.3,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.59,6777.2,84.7,0.138,3.448,0.057,1.148,0.339,6.778,21.3,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.61,6512.9,81.4,0.146,3.648,0.064,1.283,0.342,6.836,21.3,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.61,6611.1,82.6,0.140,3.497,0.037,0.732,0.364,7.274,21.3,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.20,20087.3,0.0,0.138,3.440,0.000,0.000,0.000,0.000,21.3,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.59,6811.2,85.1,0.138,3.446,0.049,0.986,0.336,6.727,21.3,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.59,6797.9,85.0,0.147,3.676,0.052,1.032,0.330,6.603,21.3,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.58,6930.4,86.6,0.139,3.465,0.053,1.056,0.323,6.458,21.3,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.58,6935.0,86.7,0.139,3.465,0.049,0.973,0.332,6.637,21.3,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.21,19338.8,0.0,0.143,3.579,0.000,0.000,0.000,0.000,21.3,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.58,6862.1,85.8,0.140,3.508,0.065,1.309,0.321,6.414,21.3,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.59,6791.1,84.9,0.143,3.586,0.049,0.972,0.338,6.756,21.3,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.57,7041.9,88.0,0.141,3.521,0.077,1.541,0.288,5.769,21.3,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.58,6908.3,86.4,0.139,3.485,0.047,0.940,0.339,6.778,21.3,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.20,20039.3,0.0,0.140,3.510,0.000,0.000,0.000,0.000,21.3,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.63,6327.4,79.1,0.146,3.643,0.082,1.637,0.342,6.838,21.3,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.61,6547.2,81.8,0.139,3.472,0.083,1.654,0.331,6.625,21.3,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.59,6830.5,85.4,0.145,3.624,0.049,0.976,0.332,6.642,21.3,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.60,6628.0,82.8,0.141,3.521,0.078,1.567,0.317,6.350,21.3,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.20,19897.4,0.0,0.144,3.593,0.000,0.000,0.000,0.000,21.3,32.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.59,6809.7,85.1,0.140,3.508,0.059,1.182,0.331,6.630,21.3,32.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.59,6741.6,84.3,0.144,3.591,0.036,0.729,0.352,7.050,21.3,32.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.57,6964.2,87.1,0.144,3.592,0.053,1.065,0.325,6.507,21.3,32.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.62,6455.7,80.7,0.147,3.671,0.086,1.722,0.327,6.546,21.3,32.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.19,20649.9,0.0,0.136,3.406,0.000,0.000,0.000,0.000,21.3,32.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.60,6718.0,84.0,0.145,3.614,0.070,1.409,0.317,6.345,21.3,32.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.59,6818.4,85.2,0.140,3.491,0.051,1.019,0.338,6.761,21.3,32.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.59,6760.9,84.5,0.144,3.607,0.060,1.209,0.325,6.498,21.3,32.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.56,7098.6,88.7,0.136,3.398,0.067,1.333,0.300,6.005,21.3,32.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.20,19855.0,0.0,0.144,3.607,0.000,0.000,0.000,0.000,21.3,32.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.52,7625.7,95.3,0.142,3.561,0.049,0.983,0.283,5.652,21.3,32.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.56,7172.2,89.7,0.143,3.565,0.057,1.148,0.307,6.134,21.3,32.0
