epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,46.13,7.0,523,4000,0.2
2,7900,,,,,,,,,57.92,8.4,469,8000,0.6
3,11900,43.410636,41.784923,-3.110685,2.8453,3.0276,32.8029,30.3151,0.1749,40.38,6.6,643,12000,1.3
4,15900,23.300555,22.061141,-5.321630,4.9643,4.8899,34.7635,34.2613,0.0398,22.97,4.7,848,16000,1.9
5,19900,,,,,,,,,22.35,4.6,856,20000,2.1
6,23900,8.394843,7.353375,-6.840724,6.1843,6.1632,12.3340,12.6583,0.0159,22.49,4.7,859,24000,2.6
7,27900,6.502409,5.944457,-7.103857,6.6245,6.6293,7.0822,6.7025,0.0052,22.08,4.6,874,28000,3.2
8,31900,6.215939,5.971856,-7.145872,6.9088,6.9043,7.0630,7.7837,0.0018,22.31,4.6,861,32000,3.8
9,35900,6.261893,6.113880,-7.302526,7.1962,7.1890,7.1248,7.4212,0.0008,22.14,4.6,864,36000,4.4
10,39900,,,,,,,,,22.62,4.7,858,40000,4.6
11,43900,6.336249,6.223305,-7.577912,7.5522,7.5487,7.8752,8.2347,0.0003,22.20,4.6,862,44000,5.1
12,47900,6.565775,6.485835,-7.897526,7.8706,7.8660,8.7327,8.9435,0.0001,22.42,4.7,861,48000,5.7
13,51900,6.925380,6.856332,-8.160547,8.2064,8.2024,11.3257,12.1302,0.0001,22.43,4.7,856,52000,6.3
14,55900,7.354382,7.288679,-8.467247,8.5477,8.5417,11.0066,11.2120,0.0002,22.36,4.6,867,56000,6.9
15,59900,,,,,,,,,22.40,4.6,857,60000,7.1
16,63900,7.816830,7.762966,-8.767247,8.8966,8.8948,11.0128,11.6620,0.0004,22.29,4.6,861,64000,7.7
17,67900,8.179099,8.121168,-9.160022,9.2561,9.2499,15.0866,15.3547,0.0006,22.29,4.6,865,68000,8.3
18,71900,8.785599,8.694298,-9.391094,9.5354,9.5346,11.9792,11.7522,0.0013,22.33,4.6,860,72000,8.9
19,75900,9.318022,9.232269,-9.783070,9.9191,9.9133,14.6470,14.5907,0.0028,22.53,4.7,858,76000,9.4
20,79900,,,,,,,,,22.54,4.7,860,80000,9.6
21,83900,10.061931,9.973742,-10.059840,10.2037,10.2027,11.9508,11.6991,0.0064,22.07,4.6,868,84000,10.2
22,87900,10.753808,10.665582,-10.347841,10.5073,10.5054,19.9159,22.5878,0.0282,22.60,4.7,854,88000,10.8
23,91900,11.526719,11.435637,-11.133329,10.7964,10.7925,22.5450,24.4017,3.0282,34.06,5.9,625,92000,11.4
24,95900,12.106958,12.011643,-14.173759,11.4759,11.4732,15.7070,15.9833,2.4812,74.91,10.2,410,96000,12.0
25,99900,,,,,,,,,51.07,7.7,516,100000,12.2
26,103900,13.605833,13.521717,-15.051974,11.9785,11.9743,16.5549,16.8830,0.2223,51.92,7.8,508,104000,12.7
27,107900,14.648098,14.568083,-15.658167,12.5342,12.5300,28.4449,29.5889,0.0434,53.28,7.9,506,108000,13.3
28,111900,16.678517,16.564369,-16.375636,13.2014,13.1976,21.6485,22.6659,0.0255,54.94,8.1,491,112000,13.9
29,115900,19.335476,19.230532,-17.112781,14.3781,14.3746,22.5970,22.4651,0.1165,56.53,8.3,477,116000,14.5
30,119900,,,,,,,,,64.13,9.1,436,120000,14.7
31,123900,21.598909,21.480630,-18.030299,15.5161,15.5133,23.4638,24.7095,0.1546,83.72,11.2,341,124000,15.2
32,127900,24.272729,24.126202,-19.034500,16.3058,16.3014,33.3093,34.3781,0.2799,99.70,12.9,304,128000,15.9
33,131900,26.526983,26.406458,-19.974466,17.1941,17.1919,40.8063,44.7158,0.1128,107.07,13.7,295,132000,16.4
34,135900,27.824854,27.653816,-21.010562,18.1329,18.1316,31.2756,31.0837,0.2238,107.57,13.7,295,136000,17.0
35,139900,,,,,,,,,102.92,13.3,304,140000,17.3
36,143900,30.122865,29.954535,-21.990274,18.9861,18.9868,34.8888,36.7602,0.1483,99.69,12.9,310,144000,17.8
37,147900,31.813568,31.721005,-22.843365,19.7313,19.7271,38.2794,40.1688,0.1021,99.99,12.9,305,148000,18.4
38,151900,34.627079,34.590926,-23.652128,20.5882,20.5881,49.0859,50.1615,0.1701,105.11,13.5,295,152000,19.0
39,155900,36.127497,36.099247,-24.444510,21.4136,21.4090,46.5318,51.2816,0.3463,107.28,13.7,292,156000,19.6
40,159900,,,,,,,,,105.67,13.5,292,160000,19.8
41,163900,38.361554,38.364976,-25.336862,22.2687,22.2725,46.7544,49.1423,0.1666,110.27,14.0,282,164000,20.4
42,167900,41.036549,41.012003,-26.226759,23.0649,23.0588,46.9945,49.0982,0.1997,107.97,13.8,294,168000,20.9
43,171900,43.041275,43.033588,-27.143516,23.8761,23.8779,43.9750,45.9036,0.1915,109.19,13.9,289,172000,21.5
44,175900,45.433195,45.409101,-27.964650,24.7990,24.7897,55.3346,57.9179,0.2265,116.52,14.7,275,176000,22.1
45,179900,,,,,,,,,117.59,14.8,259,180000,22.3
46,183900,47.119260,47.091395,-28.982717,25.7222,25.7191,62.5069,66.5587,0.2724,127.14,15.8,259,184000,22.9
