epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,4.73,6.5,550,4000,0.1
2,7900,,,,,,,,,7.02,9.0,442,8000,0.3
3,11900,0.220368,0.234284,-0.670447,0.5509,0.5474,0.7152,0.8877,0.7386,4.12,6.1,705,12000,0.7
4,15900,0.078967,0.081698,-0.786955,0.6866,0.6826,0.5197,0.5553,0.0603,1.90,3.9,1016,16000,0.9
5,19900,,,,,,,,,1.84,3.8,1040,20000,1.0
6,23900,0.059718,0.062422,-0.778640,0.7027,0.7043,0.1338,0.1779,0.0285,1.77,3.8,1059,24000,1.2
7,27900,0.051781,0.054528,-0.797412,0.7437,0.7449,0.1873,0.1600,0.0197,1.76,3.8,1066,28000,1.4
8,31900,0.049612,0.052007,-0.805401,0.7800,0.7809,0.2247,0.1610,0.0068,1.74,3.7,1069,32000,1.6
9,35900,0.048942,0.051114,-0.829709,0.8196,0.8198,0.1800,0.1821,0.0105,1.75,3.7,1070,36000,1.9
10,39900,,,,,,,,,1.76,3.8,1053,40000,2.0
11,43900,0.049018,0.051028,-0.851285,0.8528,0.8534,0.4012,0.2912,0.0279,1.77,3.8,1068,44000,2.2
12,47900,0.050794,0.052739,-0.871931,0.8797,0.8796,0.2423,0.2089,0.0901,1.86,3.9,1038,48000,2.4
13,51900,0.053487,0.055314,-0.926161,0.9109,0.9110,0.3834,0.3772,0.2031,1.98,4.0,1001,52000,2.7
14,55900,0.058876,0.060323,-1.000952,0.9462,0.9461,0.3799,0.3690,0.1125,2.23,4.2,921,56000,2.9
15,59900,,,,,,,,,3.42,5.4,746,60000,3.0
16,63900,0.066512,0.067316,-1.067664,1.0020,1.0020,0.3298,0.2747,0.0536,3.63,5.6,705,64000,3.2
17,67900,0.078174,0.079279,-1.136732,1.0612,1.0609,0.3485,0.3180,0.0705,4.49,6.5,611,68000,3.4
18,71900,0.096935,0.098211,-1.223668,1.1331,1.1333,0.5259,0.5318,0.1063,6.36,8.4,448,72000,3.6
19,75900,0.109432,0.111054,-1.315486,1.2246,1.2243,0.4441,0.4325,0.1086,11.95,13.9,264,76000,3.9
20,79900,,,,,,,,,23.36,25.4,137,80000,3.9
21,83900,0.119005,0.121003,-1.435918,1.3242,1.3240,0.5033,0.5201,0.0491,23.06,25.1,173,84000,4.1
22,87900,0.131227,0.132841,-1.554226,1.4305,1.4305,0.5586,0.5515,0.0497,23.06,25.1,150,88000,4.4
23,91900,0.138661,0.140326,-1.670976,1.5362,1.5360,0.5252,0.5459,0.0575,27.88,29.9,136,92000,4.6
24,95900,0.152775,0.154508,-1.769465,1.6307,1.6309,0.4864,0.5360,0.0551,23.86,25.9,138,96000,4.8
