epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.16,25458.9,0.0,0.079,1.963,0.000,0.000,0.000,0.000,1.5,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.18,22031.3,0.0,0.069,1.730,0.000,0.000,0.000,0.000,10.7,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.34,11716.3,146.5,0.081,2.034,0.007,0.143,0.227,4.540,21.2,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.22,17995.4,224.9,0.083,2.074,0.007,0.138,0.104,2.071,21.2,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.12,33475.1,0.0,0.088,2.204,0.000,0.000,0.000,0.000,21.2,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.22,18496.3,231.2,0.079,1.984,0.007,0.147,0.102,2.047,21.2,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.23,17528.4,219.1,0.088,2.201,0.007,0.146,0.103,2.058,21.2,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.23,17496.4,218.7,0.085,2.122,0.007,0.150,0.106,2.126,21.2,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.29,13989.5,174.9,0.091,2.285,0.008,0.156,0.102,2.034,21.2,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.12,34717.1,0.0,0.086,2.145,0.000,0.000,0.000,0.000,21.2,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.26,15433.3,192.9,0.091,2.276,0.008,0.154,0.102,2.046,21.2,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.23,17554.6,219.4,0.085,2.124,0.009,0.176,0.105,2.099,21.2,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.23,17178.5,214.7,0.090,2.245,0.008,0.156,0.102,2.048,21.2,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.23,17550.4,219.4,0.087,2.166,0.008,0.156,0.104,2.079,21.2,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.11,36938.3,0.0,0.082,2.041,0.000,0.000,0.000,0.000,21.2,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.22,18439.4,230.5,0.079,1.974,0.008,0.162,0.105,2.100,21.2,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.24,16927.4,211.6,0.094,2.340,0.009,0.176,0.106,2.119,21.2,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.22,18061.8,225.8,0.084,2.110,0.009,0.172,0.104,2.073,21.2,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.21,18653.2,233.2,0.079,1.983,0.009,0.171,0.103,2.065,21.2,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.09,42588.2,0.0,0.073,1.815,0.000,0.000,0.000,0.000,21.2,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.21,19388.8,242.4,0.072,1.790,0.009,0.173,0.104,2.086,21.2,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.21,18974.3,237.2,0.077,1.937,0.009,0.173,0.103,2.056,21.2,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.21,19277.8,241.0,0.076,1.898,0.008,0.169,0.102,2.046,21.2,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.20,19600.5,245.0,0.074,1.841,0.008,0.169,0.102,2.049,21.2,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.09,43876.5,0.0,0.072,1.812,0.000,0.000,0.000,0.000,21.2,32.0
