epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,4.69,6.5,546,258,4000,0.3
2,7900,,,,,,,,,,8.43,10.4,367,180,8000,0.6
3,11900,0.229961,0.262802,-0.633039,0.6230,0.5673,0.7762,0.9260,0.4679,0.0220,5.31,7.3,615,325,12000,1.4
4,15900,0.072400,0.071193,-0.767348,0.7218,0.7208,0.3921,0.1612,0.1373,0.0267,2.00,4.0,1000,504,16000,2.0
5,19900,,,,,,,,,,2.00,4.0,1000,484,20000,2.2
6,23900,0.055227,0.056110,-0.754155,0.7146,0.7135,0.1448,0.1674,0.0456,0.0113,2.00,4.0,1000,496,24000,2.8
7,27900,0.043689,0.044397,-0.775730,0.7419,0.7414,0.1511,0.1486,0.0177,0.0102,2.00,4.0,1000,493,28000,3.5
8,31900,0.036817,0.037235,-0.787849,0.7675,0.7673,0.1402,0.1536,0.0081,0.0363,2.00,4.0,1000,515,32000,4.2
9,35900,0.032774,0.032908,-0.783851,0.7960,0.7960,0.1106,0.1052,0.0027,0.0327,2.00,4.0,1000,515,36000,4.8
10,39900,,,,,,,,,,2.00,4.0,1000,510,40000,5.0
11,43900,0.029683,0.029751,-0.801971,0.8141,0.8141,0.1435,0.1189,0.0017,0.0149,2.00,4.0,1000,504,44000,5.7
12,47900,0.027749,0.027805,-0.831997,0.8444,0.8442,0.2109,0.1819,0.0049,0.0170,2.00,4.0,1000,499,48000,6.3
13,51900,0.027423,0.027499,-0.848282,0.8646,0.8644,0.2767,0.2499,0.0063,0.0223,2.00,4.0,1000,529,52000,6.9
14,55900,0.024762,0.024645,-0.863617,0.8914,0.8916,0.3051,0.2314,0.0099,0.0200,2.00,4.0,1000,480,56000,7.6
15,59900,,,,,,,,,,2.00,4.0,1000,501,60000,7.8
16,63900,0.024488,0.024400,-0.888039,0.9134,0.9133,0.1717,0.1300,0.0167,0.0129,2.00,4.0,1000,478,64000,8.5
17,67900,0.024428,0.024331,-0.913070,0.9409,0.9408,0.1933,0.2116,0.0280,0.0106,2.00,4.0,1000,512,68000,9.1
18,71900,0.025629,0.025600,-0.933753,0.9615,0.9614,0.1963,0.2013,0.0654,0.0053,2.00,4.0,1000,497,72000,9.8
19,75900,0.024360,0.024222,-0.987319,0.9841,0.9840,0.2555,0.2287,0.1773,0.0033,2.10,4.1,946,485,76000,10.5
20,79900,,,,,,,,,,2.87,4.9,823,393,80000,10.7
21,83900,0.029346,0.029325,-1.095175,1.0210,1.0208,0.2255,0.2190,0.1463,0.0062,8.76,10.8,309,134,84000,11.4
22,87900,0.037013,0.036636,-1.197280,1.1020,1.1016,0.4656,0.3129,0.1129,0.0119,15.11,17.1,235,124,88000,12.0
23,91900,0.047647,0.046575,-1.291628,1.1875,1.1876,0.4002,0.3306,0.0648,0.0096,12.12,14.1,312,150,92000,12.6
24,95900,0.058343,0.057541,-1.400632,1.2704,1.2700,0.3280,0.3546,0.1244,0.0295,9.44,11.4,342,167,96000,13.3
25,99900,,,,,,,,,,10.71,12.7,310,165,100000,13.5
26,103900,0.075430,0.073175,-1.471296,1.3550,1.3550,0.4319,0.3834,0.2304,0.0423,10.82,12.8,317,174,104000,14.1
27,107900,0.083601,0.081586,-1.560000,1.4402,1.4402,0.4030,0.3540,0.0859,0.0139,15.01,17.0,213,113,108000,14.8
28,111900,0.094499,0.093864,-1.659173,1.5218,1.5213,0.5192,0.4361,0.1017,0.0035,20.21,22.2,180,78,112000,15.4
29,115900,0.101282,0.100367,-1.770655,1.6075,1.6073,0.4621,0.3988,0.1295,0.0019,19.17,21.2,179,95,116000,16.0
30,119900,,,,,,,,,,39.35,41.4,62,31,120000,16.2
31,123900,0.108332,0.105847,-1.890084,1.6976,1.6973,0.5352,0.4356,0.1464,0.0011,46.15,48.1,82,40,124000,16.9
32,127900,0.115460,0.114273,-1.986119,1.7850,1.7848,0.6894,0.6705,0.1837,0.0007,42.19,44.2,91,46,128000,17.5
33,131900,0.116191,0.115580,-2.095152,1.8696,1.8692,0.6556,0.5575,0.1882,0.0006,41.62,43.6,90,49,132000,18.2
34,135900,0.125833,0.125605,-2.191636,1.9509,1.9510,0.5990,0.5047,0.2325,0.0003,43.01,45.0,91,43,136000,18.8
35,139900,,,,,,,,,,42.82,44.8,97,51,140000,19.0
36,143900,0.129081,0.128416,-2.289929,2.0336,2.0330,0.5120,0.5129,0.2890,0.0004,43.76,45.8,94,43,144000,19.7
37,147900,0.135409,0.134874,-2.386378,2.1221,2.1213,0.4411,0.4527,0.3740,0.0005,42.67,44.7,88,39,148000,20.4
38,151900,0.142753,0.142203,-2.483017,2.2137,2.2134,0.4338,0.3987,0.2814,0.0002,43.27,45.3,91,41,152000,21.0
39,155900,0.152979,0.152485,-2.660036,2.3091,2.3090,0.6597,0.5957,0.7335,0.0001,42.23,44.2,83,46,156000,21.6
40,159900,,,,,,,,,,41.65,43.6,99,50,160000,21.8
41,163900,0.165463,0.164464,-3.012997,2.3893,2.3890,0.6743,0.7781,1.2422,0.0001,39.14,41.1,86,47,164000,22.5
42,167900,0.181572,0.179337,-3.208519,2.4889,2.4882,0.7197,0.6658,0.5694,0.0000,43.02,45.0,85,41,168000,23.1
43,171900,0.185898,0.183487,-3.341760,2.5967,2.5966,0.6795,0.6042,0.3879,0.0000,51.32,53.3,78,33,172000,23.8
44,175900,0.197282,0.195190,-3.418413,2.7433,2.7421,0.6401,0.6591,0.3496,0.0000,53.90,55.9,58,30,176000,24.5
45,179900,,,,,,,,,,54.85,56.9,74,38,180000,24.6
46,183900,0.195861,0.193702,-3.546345,2.8698,2.8701,0.8469,0.8636,0.4109,0.0000,53.40,55.4,77,47,184000,25.3
47,187900,0.208511,0.205827,-3.691058,2.9991,2.9986,0.7484,0.7051,0.3407,0.0000,54.54,56.5,69,39,188000,26.0
48,191900,0.223458,0.220763,-3.779919,3.1325,3.1315,0.9574,0.9069,0.4091,0.0000,56.52,58.5,61,26,192000,26.6
49,195900,0.224282,0.220742,-3.903057,3.2498,3.2505,1.0195,0.9931,0.4554,0.0000,55.45,57.5,75,40,196000,27.2
50,199900,,,,,,,,,,58.31,60.3,68,32,200000,27.4
51,203900,0.236343,0.231960,-3.974472,3.3691,3.3680,0.7039,0.6419,0.5613,0.0000,59.79,61.8,56,31,204000,28.1
52,207900,0.242851,0.238041,-4.091294,3.4907,3.4893,0.8057,0.8433,0.6449,0.0000,63.54,65.5,63,29,208000,28.7
53,211900,0.264292,0.259328,-4.202094,3.5879,3.5876,0.7405,0.8896,0.3763,0.0000,63.05,65.1,58,28,212000,29.3
54,215900,0.263111,0.255496,-4.325321,3.7162,3.7160,0.8253,0.7538,0.6849,0.0000,67.00,69.0,57,24,216000,30.0
55,219900,,,,,,,,,,65.66,67.7,62,30,220000,30.2
