step,episode_return,has_disturbance
200,2.0,0
200,2.0,1
200,2.0,0
200,2.0,1
200,2.0,0
200,2.0,1
200,2.0,0
200,2.0,0
200,2.0,1
200,2.0,0
200,2.0,0
200,2.0,1
200,2.0,1
200,2.0,0
200,2.0,0
200,2.0,0
200,2.0,0
200,2.0,0
200,2.0,1
200,2.0,0
300,3.0,1
300,3.0,1
300,3.0,1
300,3.0,0
300,3.0,0
300,3.0,1
300,3.0,0
300,3.0,1
300,3.0,1
300,3.0,0
300,3.0,1
300,3.0,1
300,3.0,1
300,3.0,0
300,3.0,0
300,3.0,1
300,3.0,0
300,3.0,0
300,3.0,1
300,3.0,1
300,3.0,0
400,4.0,0
400,4.0,1
400,4.0,1
400,4.0,1
400,4.0,0
400,4.0,0
400,4.0,0
400,4.0,1
400,4.0,0
400,4.0,1
400,4.0,1
400,4.0,1
400,4.0,0
400,4.0,0
400,4.0,1
400,4.0,0
500,5.0,1
500,5.0,1
500,5.0,1
500,5.0,0
500,5.0,1
500,5.0,1
500,5.0,1
600,6.0,1
600,2.0,1
600,2.0,0
600,6.0,1
600,2.0,0
600,2.0,1
600,2.0,0
600,6.0,1
600,2.0,0
600,6.0,1
600,6.0,1
600,6.0,0
600,6.0,0
600,6.0,0
600,6.0,0
600,6.0,1
600,6.0,1
700,7.0,1
700,7.0,0
700,2.0,0
700,7.0,1
700,3.0,0
700,7.0,1
700,3.0,1
700,7.0,1
700,7.0,0
700,7.0,0
700,3.0,0
700,2.0,0
700,3.0,0
700,2.0,0
700,7.0,0
700,7.0,0
700,3.0,1
700,7.0,1
800,2.0,1
800,3.0,1
800,8.0,1
800,8.0,0
800,4.0,0
800,2.0,1
800,4.0,1
800,2.0,1
800,2.0,0
800,3.0,1
800,3.0,0
800,4.0,0
800,3.0,0
900,2.0,0
900,4.0,1
900,9.0,0
900,3.0,1
900,3.0,0
900,5.0,0
900,4.0,1
900,3.0,0
900,4.0,0
900,3.0,1
900,4.0,1
1000,5.0,1
1000,6.0,0
1000,2.0,1
1000,10.0,0
1000,3.0,1
1000,2.0,0
1000,2.0,0
1000,5.0,1
1000,2.0,0
1000,5.0,1
1000,2.0,0
1000,4.0,1
1100,3.0,1
1100,5.0,1
1100,6.0,1
1100,3.0,0
1100,2.0,0
1100,2.0,0
1100,2.0,0
1100,3.0,1
1100,11.0,1
1100,4.0,0
1100,2.0,0
1100,4.0,0
1100,3.0,1
1100,11.0,0
1100,3.0,1
1200,5.0,0
1200,3.0,1
1200,3.0,0
1200,4.0,1
1200,4.0,1
1200,3.0,1
1200,2.0,1
1200,12.0,1
1200,12.0,0
1200,7.0,0
1200,2.0,0
1200,3.0,0
1200,12.0,1
1200,12.0,1
1200,8.0,1
1200,3.0,0
1200,8.0,0
1200,6.0,1
1300,9.0,0
1300,6.0,0
1300,13.0,1
1300,3.0,0
1300,8.0,0
1300,7.0,1
1300,3.0,0
1300,3.0,1
1300,7.0,0
1300,6.0,1
1300,2.0,0
1300,7.0,1
1300,13.0,0
1300,3.0,0
1300,8.0,0
1300,4.0,1
1300,4.0,1
1300,4.0,1
1300,8.0,0
1300,3.0,0
1400,2.0,0
1400,14.0,0
1400,4.0,0
1400,5.0,1
1400,2.0,0
1400,5.0,0
1400,4.0,0
1400,2.0,0
1400,3.0,1
1400,6.0,0
1400,4.0,1
1400,6.0,0
1400,5.0,0
1500,4.0,1
1500,2.0,1
1500,7.0,0
1500,4.0,1
1500,2.0,1
1500,2.0,0
1600,2.0,1
1600,12.0,1
1600,4.0,1
1600,5.0,1
1600,3.0,1
1600,7.0,1
1600,5.0,0
1600,4.0,0
1600,3.0,0
1600,11.0,0
1600,5.0,1
1600,2.0,0
1600,2.0,0
1600,2.0,0
1600,5.0,1
1600,5.0,1
1600,3.0,0
1600,3.0,0
1600,3.0,0
1600,4.0,1
1600,16.0,0
1700,6.0,1
1700,3.0,0
1700,3.0,0
1700,4.0,1
1700,2.0,0
1700,2.0,0
1700,4.0,0
1700,4.0,1
1700,17.0,0
1700,3.0,1
1700,11.0,0
1800,3.0,1
1800,5.0,0
1800,2.0,0
1800,3.0,1
1800,10.0,1
1800,2.0,0
1800,5.0,0
1800,12.0,1
1800,2.0,0
1800,4.0,0
1800,3.0,1
1800,3.0,0
1800,3.0,0
1800,6.0,1
1800,9.0,1
1800,6.0,0
1800,5.0,1
1800,3.0,1
1900,5.0,1
1900,9.0,0
1900,9.0,0
1900,4.0,0
1900,4.0,1
1900,4.0,0
1900,7.0,0
1900,5.0,0
1900,4.0,1
1900,3.0,1
1900,3.0,1
1900,4.0,1
1900,3.0,1
1900,7.0,1
1900,3.0,0
1900,11.0,1
2000,6.0,0
2000,5.0,0
2000,6.0,1
2000,3.0,1
2000,2.0,1
2000,11.0,0
2000,4.0,1
2000,3.0,1
2000,3.0,1
2000,5.0,0
2100,4.0,0
2100,7.0,0
2100,7.0,0
2100,3.0,1
2100,2.0,1
2100,3.0,1
2100,7.0,0
2100,3.0,0
2100,8.0,0
2100,5.0,1
2100,3.0,1
2100,3.0,0
2200,7.0,1
2200,4.0,0
2200,2.0,0
2200,4.0,0
2200,2.0,0
2200,5.0,0
2200,6.0,0
2200,5.0,0
2200,4.0,1
2200,4.0,1
2200,6.0,0
2200,2.0,0
2200,12.0,0
2200,3.0,0
2200,2.0,1
2200,8.0,0
2200,3.0,1
2200,3.0,0
2200,7.0,0
2300,5.0,1
2300,3.0,0
2300,4.0,0
2300,2.0,0
2300,2.0,1
2300,5.0,1
2300,3.0,0
2300,11.0,0
2300,3.0,1
2300,3.0,0
2300,4.0,1
2300,4.0,0
2300,11.0,0
2300,2.0,1
2300,7.0,0
2400,4.0,0
2400,6.0,1
2400,4.0,1
2400,4.0,0
2400,3.0,0
2400,6.0,0
2400,2.0,0
2400,10.0,1
2400,3.0,1
2400,5.0,0
2400,6.0,1
2500,10.0,1
2500,4.0,1
2500,2.0,1
2500,4.0,1
2500,4.0,0
2500,4.0,0
2500,7.0,1
2500,9.0,1
2500,4.0,0
2500,5.0,1
2500,4.0,0
2500,7.0,1
2500,4.0,1
2500,2.0,1
2500,3.0,0
2500,2.0,1
2600,5.0,0
2600,2.0,0
2600,2.0,0
2600,2.0,1
2600,3.0,1
2600,5.0,0
2600,12.0,0
2600,7.0,1
2600,3.0,0
2600,6.0,0
2600,6.0,1
2600,2.0,0
2700,2.0,0
2700,9.0,0
2700,8.0,0
2700,3.0,1
2700,2.0,1
2700,3.0,0
2700,2.0,0
2700,7.0,0
2700,5.0,1
2700,8.0,0
2700,4.0,1
2700,3.0,1
2700,4.0,0
2700,5.0,0
2700,2.0,1
2700,3.0,1
2700,5.0,1
2700,4.0,0
2700,12.0,0
2800,8.0,0
2800,3.0,0
2800,10.0,1
2800,4.0,0
2800,2.0,1
2800,6.0,1
2800,2.0,1
2800,10.0,0
2800,17.0,0
2800,3.0,1
2800,4.0,1
2800,4.0,1
2800,3.0,1
2800,3.0,0
2800,2.0,1
2900,4.0,1
2900,4.0,0
2900,5.0,0
2900,6.0,0
2900,4.0,1
2900,4.0,1
2900,4.0,1
2900,3.0,0
2900,2.0,0
2900,9.0,0
2900,3.0,0
2900,3.0,1
2900,2.0,0
3000,3.0,0
3000,7.0,1
3000,6.0,0
3000,2.0,1
3000,8.0,0
3000,2.0,0
3000,2.0,1
3000,8.0,1
3000,8.0,0
3000,5.0,1
3100,4.0,0
3100,3.0,1
3100,2.0,1
3100,3.0,1
3100,2.0,0
3100,4.0,1
3100,4.0,0
3100,2.0,1
3100,3.0,1
3100,4.0,0
3100,4.0,0
3100,7.0,1
3100,3.0,1
3100,2.0,0
3100,3.0,0
3100,4.0,0
3100,8.0,1
3100,2.0,1
3200,3.0,0
3200,12.0,0
3200,8.0,0
3200,3.0,0
3200,2.0,0
3200,5.0,0
3200,11.0,0
3200,7.0,1
3200,5.0,1
3200,2.0,0
3200,2.0,1
3200,8.0,0
3200,11.0,1
3200,2.0,1
3300,7.0,0
3300,7.0,1
3300,4.0,1
3300,3.0,1
3300,3.0,0
3300,6.0,1
3300,2.0,0
3300,3.0,1
3300,2.0,1
3300,28.0,0
3300,2.0,1
3400,3.0,1
3400,2.0,1
3400,3.0,0
3400,2.0,0
3400,4.0,0
3400,2.0,0
3400,16.0,0
3400,2.0,0
3400,5.0,0
3400,3.0,0
3400,19.0,1
3400,8.0,0
3400,3.0,1
3400,2.0,0
3400,2.0,0
3500,4.0,1
3500,12.0,1
3500,9.0,1
3500,2.0,1
3500,3.0,1
3500,2.0,0
3500,11.0,0
3500,3.0,0
3500,6.0,0
3500,4.0,1
3500,9.0,1
3500,8.0,0
3500,2.0,1
3500,8.0,0
3500,4.0,0
3500,6.0,0
3600,7.0,1
3600,8.0,0
3600,5.0,0
3600,3.0,0
3600,7.0,0
3600,2.0,0
3600,2.0,0
3600,7.0,1
3600,7.0,0
3600,9.0,1
3600,3.0,1
3600,8.0,1
3600,2.0,0
3600,3.0,0
3700,8.0,0
3700,3.0,1
3700,2.0,0
3700,4.0,0
3700,2.0,0
3700,3.0,1
3700,8.0,0
3700,15.0,0
3700,3.0,1
3700,8.0,1
3700,4.0,1
3800,5.0,1
3800,2.0,0
3800,8.0,1
3800,2.0,1
3900,4.0,0
3900,2.0,1
3900,3.0,1
3900,3.0,1
3900,2.0,1
3900,3.0,0
3900,8.0,1
3900,8.0,1
3900,2.0,1
3900,6.0,0
3900,9.0,0
3900,2.0,0
3900,2.0,1
3900,7.0,0
3900,4.0,0
3900,2.0,1
3900,6.0,1
3900,11.0,1
4000,3.0,1
4000,6.0,0
4000,6.0,1
4000,7.0,1
4000,16.0,1
4000,10.0,1
4000,7.0,0
4000,2.0,0
4000,2.0,0
4000,4.0,1
4000,5.0,1
4000,5.0,0
4000,5.0,0
4000,5.0,1
4000,2.0,0
4100,3.0,1
4100,2.0,1
4100,3.0,0
4100,8.0,1
4100,2.0,0
4100,9.0,0
4100,11.0,1
4100,2.0,1
4100,2.0,1
4100,12.0,1
4100,3.0,0
4100,4.0,1
4100,2.0,1
4100,4.0,1
4200,12.0,1
4200,9.0,1
4200,15.0,1
4200,6.0,0
4200,12.0,0
4200,6.0,0
4200,3.0,1
4200,3.0,1
4200,14.0,0
4200,4.0,1
4200,3.0,0
4200,3.0,0
4200,4.0,0
4300,2.0,0
4300,4.0,1
4300,6.0,0
4300,3.0,0
4300,8.0,1
4300,6.0,0
4300,7.0,0
4300,7.0,0
4300,2.0,1
4300,8.0,1
4300,6.0,1
4300,5.0,0
4300,2.0,1
4300,10.0,1
4300,7.0,0
4400,10.0,1
4400,3.0,0
4400,8.0,0
4400,3.0,0
4400,11.0,1
4400,3.0,1
4400,2.0,0
4400,10.0,0
4400,3.0,0
4400,6.0,1
4400,3.0,1
4400,2.0,0
4400,10.0,1
4400,3.0,0
4400,10.0,1
4400,2.0,0
4400,3.0,0
4500,2.0,0
4500,2.0,1
4500,2.0,1
4500,8.0,1
4500,9.0,1
4500,11.0,1
4500,10.0,0
4500,3.0,0
4500,3.0,1
4500,9.0,0
4500,2.0,0
4500,4.0,1
4500,4.0,1
4600,3.0,0
4600,3.0,0
4600,5.0,0
4600,4.0,1
4600,4.0,0
4600,8.0,0
4600,4.0,1
4600,10.0,0
4600,4.0,1
4600,6.0,1
4600,6.0,0
4600,3.0,0
4600,4.0,1
4600,3.0,0
4600,22.0,0
4700,2.0,0
4700,2.0,1
4700,3.0,1
4700,5.0,1
4700,2.0,1
4700,9.0,1
4700,3.0,0
4700,10.0,0
4700,4.0,1
4700,4.0,0
4700,3.0,0
4700,2.0,0
4800,2.0,1
4800,3.0,1
4800,2.0,1
4800,11.0,0
4800,3.0,0
4800,2.0,0
4800,5.0,1
4800,6.0,1
4800,3.0,1
4800,4.0,0
4800,4.0,0
4800,2.0,1
4900,3.0,1
4900,8.0,1
4900,15.0,1
4900,4.0,1
4900,6.0,1
4900,7.0,1
4900,4.0,1
4900,8.0,0
4900,5.0,0
4900,2.0,0
4900,3.0,1
4900,3.0,1
4900,3.0,0
4900,3.0,1
4900,3.0,0
4900,9.0,0
4900,5.0,0
4900,2.0,0
5000,5.0,0
5000,4.0,0
5000,2.0,0
5000,17.0,0
5000,2.0,0
5000,6.0,0
5000,2.0,0
5000,6.0,0
5000,2.0,0
5000,9.0,1
5000,3.0,1
5000,13.0,1
5000,9.0,1
5000,3.0,0
5100,4.0,1
5100,2.0,1
5100,3.0,1
5100,4.0,0
5100,4.0,0
5100,3.0,1
5100,8.0,0
5100,5.0,0
5100,3.0,0
5100,3.0,1
5200,7.0,1
5200,3.0,0
5200,6.0,1
5200,7.0,0
5200,3.0,1
5200,7.0,1
5200,5.0,1
5300,5.0,1
5300,4.0,0
5300,5.0,1
5300,23.0,0
5300,6.0,1
5300,8.0,1
5400,16.0,1
5500,14.0,1
5600,7.0,1
5600,8.0,0
5600,7.0,0
5600,9.0,0
5700,13.0,0
5700,9.0,0
5700,8.0,0
5700,7.0,0
5800,14.0,1
5800,8.0,0
5800,10.0,0
5900,10.0,1
5900,15.0,1
5900,8.0,1
5900,8.0,0
5900,9.0,0
5900,13.0,1
5900,9.0,0
5900,12.0,0
6000,14.0,1
6000,13.0,0
6000,9.0,0
6000,9.0,1
6000,10.0,1
6000,14.0,0
6000,8.0,0
6000,10.0,1
6000,9.0,0
6000,10.0,0
6100,11.0,0
6100,10.0,1
6100,9.0,0
6100,9.0,0
6100,11.0,1
6100,8.0,0
6100,9.0,0
