epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.27,14796.1,0.0,0.114,2.851,0.000,0.000,0.000,0.000,2.3,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.29,13923.9,0.0,0.103,2.572,0.000,0.000,0.000,0.000,11.4,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.80,5002.1,62.5,0.108,2.704,0.052,1.044,0.554,11.079,22.7,36.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.62,6471.1,80.9,0.106,2.640,0.037,0.750,0.392,7.843,22.7,36.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.18,22050.4,0.0,0.106,2.650,0.000,0.000,0.000,0.000,22.7,36.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.59,6778.6,84.7,0.102,2.551,0.050,1.003,0.362,7.247,22.7,36.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.59,6803.3,85.0,0.107,2.673,0.065,1.300,0.324,6.479,22.7,36.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.43,9257.9,115.7,0.101,2.534,0.031,0.620,0.225,4.495,22.7,36.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.62,6477.8,81.0,0.108,2.690,0.069,1.371,0.363,7.260,22.7,36.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.17,23467.1,0.0,0.101,2.535,0.000,0.000,0.000,0.000,22.7,36.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.65,6191.8,77.4,0.106,2.644,0.054,1.082,0.397,7.943,22.7,36.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.59,6741.9,84.3,0.103,2.563,0.040,0.809,0.371,7.411,22.7,36.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.62,6448.4,80.6,0.100,2.503,0.037,0.735,0.400,8.001,22.7,36.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.60,6696.2,83.7,0.102,2.562,0.049,0.978,0.373,7.462,22.7,36.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.17,23157.1,0.0,0.101,2.518,0.000,0.000,0.000,0.000,22.7,36.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.67,5941.4,74.3,0.108,2.697,0.054,1.071,0.426,8.528,22.7,36.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.64,6220.9,77.8,0.110,2.746,0.039,0.787,0.408,8.152,22.7,36.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.65,6143.1,76.8,0.105,2.632,0.067,1.340,0.388,7.764,22.7,36.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.63,6312.0,78.9,0.113,2.815,0.043,0.854,0.395,7.893,22.7,36.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.19,20821.0,0.0,0.107,2.677,0.000,0.000,0.000,0.000,22.7,36.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.65,6141.1,76.8,0.109,2.724,0.050,0.998,0.402,8.042,22.7,36.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.66,6071.3,75.9,0.107,2.687,0.068,1.354,0.399,7.977,22.7,36.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.63,6300.3,78.8,0.109,2.719,0.061,1.229,0.380,7.610,22.7,36.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.64,6284.4,78.6,0.108,2.698,0.047,0.934,0.398,7.959,22.7,36.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.18,22137.2,0.0,0.102,2.538,0.000,0.000,0.000,0.000,22.7,36.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.68,5888.6,73.6,0.117,2.935,0.057,1.149,0.420,8.403,22.7,36.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.66,6041.2,75.5,0.108,2.705,0.057,1.148,0.384,7.686,22.7,36.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.67,6010.2,75.1,0.108,2.705,0.047,0.940,0.426,8.527,22.7,36.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.69,5825.4,72.8,0.105,2.637,0.054,1.085,0.447,8.938,22.7,36.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.18,21650.3,0.0,0.109,2.713,0.000,0.000,0.000,0.000,22.7,36.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.69,5798.8,72.5,0.112,2.798,0.069,1.389,0.416,8.318,22.7,36.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.66,6064.9,75.8,0.104,2.608,0.070,1.402,0.402,8.033,22.7,36.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.69,5777.2,72.2,0.112,2.810,0.066,1.311,0.428,8.567,22.7,36.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.64,6230.0,77.9,0.106,2.654,0.053,1.069,0.405,8.108,22.7,36.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.19,20707.2,0.0,0.107,2.671,0.000,0.000,0.000,0.000,22.7,36.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.63,6325.4,79.1,0.109,2.727,0.060,1.200,0.392,7.837,22.7,36.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.68,5867.1,73.3,0.114,2.850,0.063,1.255,0.417,8.333,22.7,36.0
38,151900,GPU (NVIDIA GeForce RTX 3080),0.66,6091.6,76.1,0.111,2.786,0.053,1.051,0.410,8.205,22.7,36.0
39,155900,GPU (NVIDIA GeForce RTX 3080),0.66,6085.2,76.1,0.108,2.707,0.071,1.425,0.398,7.966,22.7,36.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.18,22138.8,0.0,0.108,2.707,0.000,0.000,0.000,0.000,22.7,36.0
41,163900,GPU (NVIDIA GeForce RTX 3080),0.68,5841.6,73.0,0.115,2.885,0.052,1.042,0.432,8.636,22.7,36.0
42,167900,GPU (NVIDIA GeForce RTX 3080),0.64,6215.3,77.7,0.113,2.817,0.065,1.301,0.375,7.503,22.7,36.0
43,171900,GPU (NVIDIA GeForce RTX 3080),0.67,5976.6,74.7,0.119,2.975,0.068,1.369,0.398,7.968,22.7,36.0
44,175900,GPU (NVIDIA GeForce RTX 3080),0.69,5802.7,72.5,0.113,2.825,0.047,0.945,0.447,8.937,22.7,36.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.17,23126.8,0.0,0.102,2.549,0.000,0.000,0.000,0.000,22.7,36.0
46,183900,GPU (NVIDIA GeForce RTX 3080),0.64,6244.6,78.1,0.112,2.805,0.049,0.975,0.388,7.769,22.7,36.0
47,187900,GPU (NVIDIA GeForce RTX 3080),0.65,6107.5,76.3,0.111,2.774,0.055,1.101,0.396,7.918,22.7,36.0
48,191900,GPU (NVIDIA GeForce RTX 3080),0.66,6062.1,75.8,0.106,2.639,0.047,0.947,0.423,8.453,22.7,36.0
