epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,,4.93,6.7,539,271,4000,0.2,,,
2,7900,,,,,,,,,,8.25,10.2,371,191,8000,0.4,,,
3,11900,0.117125,0.117900,-1.245555,1.1094,1.1112,0.2510,0.2447,0.1477,0.0064,10.66,12.7,186,102,12000,2.2,0.804451,0.693541,0.055455
4,15900,0.165637,0.167776,-2.304679,2.0907,2.0906,0.3448,0.3540,0.1560,0.0057,43.42,45.4,57,21,16000,3.8,0.770230,0.668631,0.050799
5,19900,,,,,,,,,,67.64,69.6,50,33,20000,3.9,,,
6,23900,0.252796,0.269625,-3.335594,3.1424,3.1419,0.5276,0.5606,0.2308,0.0000,83.67,85.7,45,38,24000,5.5,0.711655,0.623326,0.044164
7,27900,0.317617,0.359247,-4.405954,4.1972,4.1962,0.8248,0.8751,0.2696,0.0000,87.73,89.7,55,17,28000,7.2,0.735924,0.650074,0.042925
8,31900,0.381757,0.431221,-5.522592,5.2782,5.2777,1.1605,1.3466,0.3884,0.0000,71.41,73.4,44,24,32000,8.8,0.717753,0.630594,0.043580
9,35900,0.482980,0.535529,-6.621303,6.3583,6.3577,1.4813,1.8241,0.4913,0.0000,79.71,81.7,55,31,36000,10.5,0.738086,0.645695,0.046196
10,39900,,,,,,,,,,77.25,79.2,32,11,40000,10.6,,,
11,43900,0.602913,0.641760,-7.748620,7.4652,7.4642,1.9362,2.4795,0.5246,0.0000,85.40,87.4,55,31,44000,12.3,0.697984,0.612544,0.042720
12,47900,0.718874,0.749588,-8.786270,8.4931,8.4927,2.3375,3.1099,0.5191,0.0000,73.44,75.4,62,29,48000,14.0,0.640970,0.562021,0.039475
13,51900,0.842585,0.873462,-9.761969,9.4697,9.4691,3.0148,4.0480,0.4787,0.0000,60.20,62.2,76,44,52000,15.7,0.577652,0.508065,0.034793
14,55900,0.932983,0.959858,-10.748459,10.4447,10.4442,3.6437,4.9263,0.6073,0.0000,60.61,62.6,56,32,56000,17.3,0.511436,0.448691,0.031372
15,59900,,,,,,,,,,64.76,66.8,49,22,60000,17.4,,,
16,63900,1.010820,1.029027,-11.712564,11.4127,11.4122,4.1169,5.5939,0.5052,0.0000,66.01,68.0,76,26,64000,19.0,0.539990,0.476920,0.031535
17,67900,1.155217,1.176725,-12.593449,12.3153,12.3143,4.6543,6.6305,0.6117,0.0000,82.68,84.7,22,14,68000,20.7,0.534351,0.472984,0.030683
18,71900,1.261838,1.279678,-13.489443,13.2206,13.2203,5.2367,7.1077,0.6840,0.0000,78.81,80.8,69,37,72000,22.4,0.554273,0.492339,0.030967
19,75900,1.337240,1.354445,-14.352348,14.0829,14.0823,5.6782,8.0442,0.5658,0.0000,82.09,84.1,43,22,76000,24.1,0.502821,0.446386,0.028218
20,79900,,,,,,,,,,65.32,67.3,72,38,80000,24.1,,,
21,83900,1.433201,1.442520,-15.132362,14.8702,14.8697,6.6102,9.4056,0.5495,0.0000,65.70,67.7,54,34,84000,25.9,0.472633,0.418764,0.026934
22,87900,1.520073,1.521377,-15.855503,15.6030,15.6024,7.3534,10.5517,0.6043,0.0000,66.17,68.2,53,27,88000,27.6,0.454111,0.402988,0.025562
23,91900,1.628453,1.629515,-16.643138,16.3827,16.3822,8.0555,11.6523,0.5937,0.0000,73.12,75.1,56,29,92000,29.3,0.532521,0.474876,0.028823
24,95900,1.720285,1.719943,-17.389517,17.1115,17.1113,8.8047,13.0291,0.6973,0.0000,77.43,79.4,42,24,96000,30.9,0.537489,0.479800,0.028845
25,99900,,,,,,,,,,77.19,79.2,58,28,100000,31.0,,,
26,103900,1.801548,1.791132,-18.173552,17.8353,17.8346,9.6201,13.9003,0.8138,0.0000,78.03,80.0,36,18,104000,32.7,0.482304,0.427812,0.027246
27,107900,1.908648,1.897892,-19.059721,18.6579,18.6578,10.3092,15.0271,0.8917,0.0000,83.28,85.3,36,22,108000,34.3,0.500918,0.445106,0.027906
28,111900,2.035980,2.021039,-19.727323,19.3533,19.3531,11.8515,17.1307,1.0238,0.0000,92.29,94.3,65,23,112000,35.9,0.538082,0.475859,0.031111
29,115900,2.129019,2.117724,-20.375639,20.0463,20.0458,12.2504,17.9394,0.9024,0.0000,79.51,81.5,37,18,116000,37.6,0.551039,0.486659,0.032190
30,119900,,,,,,,,,,77.73,79.7,60,31,120000,37.7,,,
31,123900,2.148188,2.123657,-21.023855,20.6804,20.6800,12.6484,18.4400,1.0190,0.0000,80.37,82.4,41,24,124000,39.4,0.509281,0.450559,0.029361
32,127900,2.242954,2.229521,-21.653551,21.2843,21.2838,13.2878,19.7832,1.1743,0.0000,80.90,82.9,48,26,128000,41.1,0.530020,0.468318,0.030851
33,131900,2.276946,2.254345,-22.345498,21.9684,21.9682,14.2202,20.8363,1.1461,0.0000,93.09,95.1,23,12,132000,42.8,0.521800,0.460003,0.030899
34,135900,2.305850,2.289560,-22.991612,22.6060,22.6057,14.9084,22.3004,1.1484,0.0000,104.50,106.5,26,18,136000,44.5,0.511559,0.450287,0.030636
35,139900,,,,,,,,,,121.88,123.9,50,15,140000,44.6,,,
36,143900,2.356987,2.328153,-23.602298,23.1943,23.1939,15.5867,23.1554,1.3108,0.0000,118.31,120.3,26,11,144000,46.3,0.515236,0.453157,0.031040
37,147900,2.408950,2.382451,-24.280815,23.8528,23.8524,16.7549,24.7532,1.2676,0.0000,96.42,98.4,43,28,148000,48.0,0.522468,0.458366,0.032051
38,151900,2.510565,2.487600,-24.845819,24.4322,24.4318,17.2010,25.8929,1.4173,0.0000,108.02,110.0,46,16,152000,49.8,0.544665,0.479577,0.032544
39,155900,2.534566,2.521850,-25.472203,25.0457,25.0455,17.4728,26.6172,1.2006,0.0000,90.11,92.1,38,20,156000,51.5,0.537139,0.469764,0.033687
40,159900,,,,,,,,,,96.86,98.9,44,24,160000,51.6,,,
41,163900,2.693678,2.674831,-26.076430,25.6345,25.6338,18.7340,28.1785,1.2116,0.0000,88.08,90.1,48,26,164000,53.3,0.530831,0.464859,0.032986
42,167900,2.870907,2.883005,-26.586355,26.1733,26.1732,19.5694,30.2190,1.4483,0.0000,90.19,92.2,42,23,168000,55.0,0.535138,0.467685,0.033726
43,171900,2.987411,2.998714,-27.094034,26.6886,26.6879,19.8614,30.2654,1.4513,0.0000,85.98,88.0,52,25,172000,56.8,0.540567,0.474375,0.033096
44,175900,3.122573,3.127489,-27.634670,27.1756,27.1752,20.5794,31.2623,1.4040,0.0000,88.00,90.0,45,25,176000,58.4,0.541693,0.475240,0.033227
45,179900,,,,,,,,,,77.55,79.6,56,24,180000,58.6,,,
