epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.19,20845.7,0.0,0.078,1.962,0.000,0.000,0.000,0.000,3.9,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.20,19593.8,0.0,0.071,1.765,0.000,0.000,0.000,0.000,13.1,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.36,11153.8,139.4,0.072,1.804,0.008,0.155,0.244,4.879,24.3,38.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.26,15326.9,191.6,0.078,1.938,0.008,0.165,0.138,2.750,24.3,38.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.13,31443.5,0.0,0.082,2.044,0.000,0.000,0.000,0.000,24.3,38.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.28,14302.2,178.8,0.081,2.027,0.009,0.189,0.143,2.859,24.3,38.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.26,15231.1,190.4,0.079,1.975,0.016,0.320,0.130,2.600,24.3,38.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.27,14856.8,185.7,0.080,1.991,0.009,0.177,0.130,2.593,24.3,38.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.31,12789.7,159.9,0.084,2.091,0.017,0.336,0.129,2.581,24.3,38.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.12,33221.3,0.0,0.081,2.026,0.000,0.000,0.000,0.000,24.3,38.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.30,13398.6,167.5,0.080,2.006,0.009,0.173,0.124,2.485,24.3,38.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.25,15817.4,197.7,0.079,1.967,0.009,0.178,0.126,2.521,24.3,38.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.25,15695.0,196.2,0.079,1.975,0.009,0.180,0.126,2.527,24.3,38.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.28,14541.4,181.8,0.088,2.202,0.010,0.201,0.132,2.642,24.3,38.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.12,32665.9,0.0,0.082,2.043,0.000,0.000,0.000,0.000,24.3,38.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.29,13841.6,173.0,0.086,2.149,0.014,0.286,0.138,2.760,24.3,38.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.31,12786.6,159.8,0.085,2.131,0.019,0.371,0.159,3.182,24.3,38.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.27,15018.3,187.7,0.079,1.969,0.011,0.229,0.139,2.775,24.3,38.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.27,15091.8,188.6,0.080,2.000,0.011,0.215,0.133,2.660,24.3,38.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.13,30246.0,0.0,0.088,2.207,0.000,0.000,0.000,0.000,24.3,38.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.27,15022.4,187.8,0.082,2.051,0.010,0.206,0.129,2.572,24.3,38.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.25,15728.6,196.6,0.079,1.984,0.010,0.205,0.130,2.603,24.3,38.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.25,15900.4,198.8,0.074,1.839,0.010,0.196,0.136,2.729,24.3,38.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.26,15644.3,195.6,0.082,2.038,0.010,0.197,0.126,2.522,24.3,38.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.11,36681.0,0.0,0.075,1.869,0.000,0.000,0.000,0.000,24.3,38.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.26,15657.1,195.7,0.075,1.875,0.017,0.336,0.132,2.639,24.3,38.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.33,12214.2,152.7,0.147,3.667,0.011,0.211,0.130,2.591,24.3,38.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.26,15193.6,189.9,0.075,1.881,0.012,0.236,0.137,2.735,24.3,38.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.29,13689.5,171.1,0.073,1.818,0.010,0.208,0.137,2.743,24.3,38.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.12,34004.8,0.0,0.082,2.049,0.000,0.000,0.000,0.000,24.3,38.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.54,7400.2,92.5,0.071,1.770,0.016,0.327,0.145,2.897,29.1,68.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.50,8023.2,100.3,0.070,1.739,0.018,0.356,0.155,3.104,29.1,68.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.45,8927.2,111.6,0.073,1.815,0.011,0.211,0.125,2.505,29.1,68.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.44,9037.0,113.0,0.071,1.775,0.011,0.210,0.126,2.515,29.1,68.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.10,39593.1,0.0,0.071,1.779,0.000,0.000,0.000,0.000,29.1,68.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.46,8732.7,109.2,0.071,1.773,0.011,0.216,0.125,2.508,29.1,68.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.49,8138.7,101.7,0.077,1.930,0.011,0.216,0.127,2.545,29.1,68.0
38,151900,GPU (NVIDIA GeForce RTX 3080),0.46,8770.3,109.6,0.067,1.676,0.011,0.230,0.130,2.592,29.1,68.0
39,155900,GPU (NVIDIA GeForce RTX 3080),0.47,8499.2,106.2,0.071,1.767,0.011,0.211,0.125,2.495,29.1,68.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.11,34797.4,0.0,0.077,1.936,0.000,0.000,0.000,0.000,29.1,68.0
41,163900,GPU (NVIDIA GeForce RTX 3080),0.52,7649.2,95.6,0.077,1.913,0.020,0.401,0.156,3.113,29.1,70.0
42,167900,GPU (NVIDIA GeForce RTX 3080),0.47,8465.0,105.8,0.078,1.946,0.011,0.223,0.129,2.571,29.1,70.0
43,171900,GPU (NVIDIA GeForce RTX 3080),0.47,8436.4,105.5,0.070,1.751,0.012,0.250,0.131,2.627,29.1,70.0
44,175900,GPU (NVIDIA GeForce RTX 3080),0.47,8521.7,106.5,0.078,1.953,0.011,0.219,0.126,2.513,29.1,70.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.11,35927.1,0.0,0.077,1.918,0.000,0.000,0.000,0.000,29.1,70.0
46,183900,GPU (NVIDIA GeForce RTX 3080),0.46,8693.6,108.7,0.069,1.722,0.014,0.289,0.135,2.692,29.1,70.0
47,187900,GPU (NVIDIA GeForce RTX 3080),0.49,8091.2,101.1,0.072,1.802,0.012,0.249,0.143,2.862,29.1,70.0
48,191900,GPU (NVIDIA GeForce RTX 3080),0.48,8338.8,104.2,0.074,1.842,0.011,0.227,0.133,2.669,29.1,70.0
49,195900,GPU (NVIDIA GeForce RTX 3080),0.55,7264.4,90.8,0.077,1.919,0.019,0.376,0.155,3.097,29.1,70.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.12,33115.6,0.0,0.082,2.057,0.000,0.000,0.000,0.000,29.1,70.0
51,203900,GPU (NVIDIA GeForce RTX 3080),0.50,7937.8,99.2,0.077,1.916,0.019,0.390,0.152,3.031,29.1,70.0
52,207900,GPU (NVIDIA GeForce RTX 3080),0.45,8910.7,111.4,0.072,1.798,0.012,0.230,0.129,2.579,29.1,70.0
53,211900,GPU (NVIDIA GeForce RTX 3080),0.48,8388.3,104.9,0.070,1.759,0.012,0.231,0.142,2.845,29.1,70.0
54,215900,GPU (NVIDIA GeForce RTX 3080),0.45,8827.3,110.3,0.077,1.932,0.011,0.222,0.125,2.505,29.1,70.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.10,38511.5,0.0,0.074,1.838,0.000,0.000,0.000,0.000,29.1,70.0
56,223900,GPU (NVIDIA GeForce RTX 3080),0.47,8517.1,106.5,0.069,1.718,0.012,0.231,0.134,2.687,29.1,70.0
57,227900,GPU (NVIDIA GeForce RTX 3080),0.48,8343.3,104.3,0.083,2.067,0.012,0.239,0.128,2.559,29.1,70.0
58,231900,GPU (NVIDIA GeForce RTX 3080),1.19,3367.6,42.1,0.122,3.053,0.031,0.615,0.411,8.228,29.1,70.0
59,235900,GPU (NVIDIA GeForce RTX 3080),0.55,7316.3,91.5,0.104,2.594,0.013,0.268,0.147,2.935,29.1,70.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.12,33723.0,0.0,0.082,2.062,0.000,0.000,0.000,0.000,29.1,70.0
61,243900,GPU (NVIDIA GeForce RTX 3080),0.61,6562.2,82.0,0.095,2.382,0.015,0.295,0.158,3.158,29.1,70.0
62,247900,GPU (NVIDIA GeForce RTX 3080),0.49,8102.8,101.3,0.077,1.936,0.012,0.248,0.139,2.777,29.1,70.0
63,251900,GPU (NVIDIA GeForce RTX 3080),0.49,8114.0,101.4,0.085,2.118,0.012,0.246,0.139,2.775,29.1,70.0
64,255900,GPU (NVIDIA GeForce RTX 3080),0.60,6703.4,83.8,0.084,2.097,0.016,0.310,0.163,3.266,29.1,70.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.12,32688.9,0.0,0.088,2.204,0.000,0.000,0.000,0.000,29.1,70.0
66,263900,GPU (NVIDIA GeForce RTX 3080),0.55,7311.5,91.4,0.090,2.255,0.016,0.324,0.155,3.109,29.1,70.0
67,267900,GPU (NVIDIA GeForce RTX 3080),0.57,7069.4,88.4,0.094,2.343,0.017,0.341,0.172,3.430,29.1,70.0
68,271900,GPU (NVIDIA GeForce RTX 3080),0.53,7593.1,94.9,0.091,2.267,0.014,0.283,0.146,2.912,29.1,70.0
69,275900,GPU (NVIDIA GeForce RTX 3080),0.52,7679.8,96.0,0.085,2.122,0.014,0.277,0.142,2.844,29.1,70.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.13,30872.3,0.0,0.093,2.336,0.000,0.000,0.000,0.000,29.1,70.0
71,283900,GPU (NVIDIA GeForce RTX 3080),0.52,7643.3,95.5,0.082,2.055,0.015,0.291,0.146,2.926,29.1,70.0
72,287900,GPU (NVIDIA GeForce RTX 3080),0.55,7246.2,90.6,0.090,2.262,0.015,0.295,0.158,3.150,29.1,70.0
73,291900,GPU (NVIDIA GeForce RTX 3080),0.63,6365.7,79.6,0.096,2.389,0.019,0.374,0.171,3.425,29.1,70.0
74,295900,GPU (NVIDIA GeForce RTX 3080),0.76,5268.4,65.9,0.105,2.621,0.017,0.339,0.161,3.226,29.1,70.0
75,299900,GPU (NVIDIA GeForce RTX 3080),0.17,23359.5,0.0,0.126,3.148,0.000,0.000,0.000,0.000,29.1,70.0
76,303900,GPU (NVIDIA GeForce RTX 3080),0.72,5572.3,69.7,0.103,2.572,0.022,0.450,0.218,4.366,29.1,70.0
77,307900,GPU (NVIDIA GeForce RTX 3080),0.60,6628.5,82.9,0.108,2.708,0.016,0.318,0.155,3.109,29.1,70.0
78,311900,GPU (NVIDIA GeForce RTX 3080),0.66,6068.1,75.9,0.092,2.302,0.037,0.737,0.243,4.862,29.1,70.0
79,315900,GPU (NVIDIA GeForce RTX 3080),0.65,6154.1,76.9,0.092,2.290,0.021,0.417,0.163,3.267,29.1,70.0
80,319900,GPU (NVIDIA GeForce RTX 3080),0.12,33700.9,0.0,0.086,2.143,0.000,0.000,0.000,0.000,29.1,70.0
81,323900,GPU (NVIDIA GeForce RTX 3080),0.51,7789.1,97.4,0.078,1.961,0.014,0.286,0.142,2.837,29.1,70.0
82,327900,GPU (NVIDIA GeForce RTX 3080),0.55,7265.9,90.8,0.085,2.121,0.014,0.288,0.141,2.818,29.1,70.0
