epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,4.86,6.7,548,4000,0.1
2,7900,,,,,,,,,8.14,10.1,372,8000,0.4
3,11900,0.180406,0.222238,-0.705583,0.6634,0.6367,0.6146,0.8635,0.5533,4.64,6.6,673,12000,0.7
4,15900,0.084973,0.080535,-0.810654,0.7581,0.7581,0.6458,0.5278,0.0712,2.00,4.0,1000,16000,0.9
5,19900,,,,,,,,,2.00,4.0,1000,20000,1.0
6,23900,0.063495,0.059184,-0.843393,0.7931,0.7936,0.2345,0.1677,0.0436,2.00,4.0,1000,24000,1.2
7,27900,0.050897,0.049941,-0.873175,0.8352,0.8351,0.1528,0.1330,0.0349,2.00,4.0,1000,28000,1.5
8,31900,0.041976,0.043352,-0.902094,0.8801,0.8801,0.1508,0.1295,0.0147,2.00,4.0,1000,32000,1.7
9,35900,0.039219,0.041262,-0.919662,0.9116,0.9121,0.1639,0.1342,0.0181,2.00,4.0,1000,36000,1.9
10,39900,,,,,,,,,2.00,4.0,1000,40000,2.0
11,43900,0.035572,0.037443,-0.936614,0.9466,0.9469,0.2038,0.1397,0.0622,2.00,4.0,1000,44000,2.3
12,47900,0.031854,0.033655,-0.982830,0.9781,0.9782,0.1646,0.1580,0.0910,2.00,4.0,1000,48000,2.5
13,51900,0.031533,0.033142,-1.017315,1.0073,1.0076,0.2077,0.1990,0.1188,2.37,4.4,900,52000,2.7
14,55900,0.033622,0.034819,-1.081473,1.0500,1.0502,0.2187,0.1804,0.1105,3.00,5.0,664,56000,2.9
15,59900,,,,,,,,,29.36,31.4,107,60000,3.0
16,63900,0.035133,0.036598,-1.203664,1.1490,1.1492,0.2001,0.1856,0.0360,36.40,38.4,104,64000,3.2
17,67900,0.041794,0.042809,-1.310410,1.2491,1.2496,0.4181,0.3154,0.0274,20.35,22.3,205,68000,3.4
18,71900,0.060642,0.061954,-1.431021,1.3519,1.3520,0.4283,0.3424,0.0372,13.26,15.3,280,72000,3.6
19,75900,0.071861,0.073564,-1.511450,1.4312,1.4316,0.2954,0.2906,0.0311,12.50,14.5,268,76000,3.9
20,79900,,,,,,,,,14.96,17.0,228,80000,3.9
21,83900,0.082083,0.083511,-1.605262,1.5216,1.5218,0.3555,0.3104,0.0337,19.53,21.5,177,84000,4.1
22,87900,0.084939,0.086828,-1.711118,1.6153,1.6156,0.3351,0.3030,0.0329,20.51,22.5,124,88000,4.4
23,91900,0.087428,0.089709,-1.829547,1.7207,1.7206,0.2698,0.2621,0.0511,40.81,42.8,70,92000,4.6
24,95900,0.090056,0.092894,-1.953225,1.8239,1.8237,0.3215,0.3023,0.1384,62.93,64.9,43,96000,4.8
25,99900,,,,,,,,,79.98,82.0,53,100000,4.9
26,103900,0.095324,0.098185,-2.089612,1.9218,1.9219,0.4018,0.3966,0.1937,79.77,81.8,43,104000,5.1
27,107900,0.094825,0.097333,-2.226063,2.0332,2.0332,0.3561,0.3290,0.1909,72.58,74.6,74,108000,5.3
28,111900,0.098240,0.100169,-2.352994,2.1333,2.1332,0.4405,0.4232,0.2292,72.38,74.4,39,112000,5.5
29,115900,0.104810,0.107181,-2.693278,2.2303,2.2304,0.4945,0.4697,0.2940,74.57,76.6,53,116000,5.7
30,119900,,,,,,,,,85.10,87.1,40,120000,5.8
31,123900,0.116814,0.119758,-2.814527,2.3392,2.3389,0.4762,0.4872,0.2015,81.16,83.2,51,124000,6.0
32,127900,0.125855,0.129335,-2.865715,2.4631,2.4628,0.4090,0.4162,0.1741,58.28,60.3,96,128000,6.2
33,131900,0.134845,0.138333,-3.054046,2.5961,2.5960,0.4476,0.4379,0.1734,37.26,39.3,97,132000,6.4
34,135900,0.146382,0.150309,-3.112556,2.7299,2.7295,0.4707,0.4821,0.1072,40.94,42.9,93,136000,6.6
35,139900,,,,,,,,,51.73,53.7,22,140000,6.7
36,143900,0.153518,0.155497,-3.276029,2.8592,2.8599,0.4211,0.4172,0.1738,73.31,75.3,90,144000,6.9
37,147900,0.164726,0.167980,-3.432677,3.0283,3.0282,0.4955,0.4868,0.1614,65.46,67.5,69,148000,7.1
38,151900,0.166980,0.170408,-3.506012,3.1714,3.1718,0.5545,0.4795,0.1793,65.57,67.6,35,152000,7.3
39,155900,0.177684,0.181827,-3.656920,3.2756,3.2750,0.7216,0.6941,0.3876,73.27,75.3,62,156000,7.6
40,159900,,,,,,,,,84.52,86.5,23,160000,7.6
41,163900,0.177522,0.181512,-3.773168,3.3889,3.3887,0.5452,0.5016,0.3184,71.60,73.6,68,164000,7.9
42,167900,0.183104,0.187555,-3.895248,3.5026,3.5033,0.6267,0.6052,0.2010,103.00,105.0,26,168000,8.1
43,171900,0.201930,0.207469,-4.003710,3.6163,3.6157,0.6025,0.5942,0.3462,86.44,88.4,71,172000,8.3
44,175900,0.203712,0.209381,-4.080078,3.7371,3.7370,0.5476,0.5410,0.2246,85.78,87.8,18,176000,8.5
45,179900,,,,,,,,,105.06,107.1,16,180000,8.6
46,183900,0.215878,0.221476,-4.238966,3.8463,3.8468,0.6506,0.6605,0.1743,119.97,122.0,29,184000,8.8
47,187900,0.219540,0.224908,-4.310102,3.9693,3.9691,0.6912,0.6343,0.1574,138.83,140.8,42,188000,9.0
48,191900,0.233424,0.239291,-4.432223,4.0932,4.0932,0.6813,0.6722,0.1944,155.71,157.7,21,192000,9.2
