epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.15,26151.9,0.0,0.074,1.855,0.000,0.000,0.000,0.000,1.5,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.18,21711.0,0.0,0.069,1.733,0.000,0.000,0.000,0.000,10.7,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.33,12047.3,150.6,0.073,1.822,0.007,0.147,0.226,4.528,21.2,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.21,18916.2,236.5,0.074,1.857,0.007,0.134,0.103,2.066,21.2,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.10,39988.3,0.0,0.073,1.832,0.000,0.000,0.000,0.000,21.2,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.21,19192.3,239.9,0.071,1.776,0.009,0.170,0.103,2.067,21.2,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.21,18684.1,233.6,0.075,1.866,0.008,0.163,0.105,2.103,21.2,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.21,18948.1,236.9,0.072,1.808,0.008,0.152,0.105,2.109,21.2,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.22,18112.4,226.4,0.078,1.945,0.008,0.165,0.106,2.128,21.2,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.10,39162.8,0.0,0.075,1.872,0.000,0.000,0.000,0.000,21.2,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.21,18835.8,235.4,0.074,1.842,0.008,0.151,0.102,2.049,21.2,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.23,17622.6,220.3,0.081,2.026,0.010,0.206,0.107,2.137,21.2,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.22,17894.8,223.7,0.082,2.054,0.008,0.153,0.105,2.104,21.2,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.22,18487.7,231.1,0.074,1.842,0.010,0.191,0.107,2.149,21.2,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.11,37882.2,0.0,0.078,1.960,0.000,0.000,0.000,0.000,21.2,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.21,19455.9,243.2,0.071,1.771,0.008,0.156,0.103,2.063,21.2,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.21,19011.4,237.6,0.075,1.870,0.008,0.154,0.103,2.064,21.2,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.23,17754.1,221.9,0.081,2.026,0.011,0.217,0.108,2.161,21.2,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.21,19074.2,238.4,0.072,1.807,0.009,0.180,0.108,2.157,21.2,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.09,43093.7,0.0,0.072,1.789,0.000,0.000,0.000,0.000,21.2,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.20,19749.0,246.9,0.067,1.684,0.008,0.167,0.104,2.076,21.2,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.20,19659.8,245.7,0.068,1.692,0.009,0.173,0.107,2.142,21.2,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.21,19262.2,240.8,0.073,1.826,0.009,0.188,0.106,2.125,21.2,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.20,20043.5,250.5,0.070,1.751,0.008,0.166,0.103,2.055,21.2,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.08,48692.1,0.0,0.067,1.667,0.000,0.000,0.000,0.000,21.2,32.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.20,20490.4,256.1,0.066,1.644,0.009,0.171,0.104,2.084,21.2,32.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.22,17867.1,223.3,0.065,1.633,0.008,0.168,0.103,2.060,21.2,32.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.19,20680.5,258.5,0.065,1.629,0.008,0.165,0.103,2.064,21.2,32.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.21,19047.3,238.1,0.071,1.785,0.009,0.173,0.112,2.237,21.2,32.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.08,49335.9,0.0,0.065,1.616,0.000,0.000,0.000,0.000,21.2,32.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.21,19151.4,239.4,0.075,1.863,0.009,0.176,0.105,2.096,21.2,32.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.21,19465.6,243.3,0.066,1.643,0.009,0.172,0.114,2.273,21.2,32.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.20,20202.8,252.5,0.068,1.694,0.009,0.172,0.104,2.084,21.2,32.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.20,19605.2,245.1,0.069,1.726,0.010,0.195,0.108,2.152,21.2,32.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.09,42142.1,0.0,0.076,1.891,0.000,0.000,0.000,0.000,21.2,32.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.20,20497.6,256.2,0.067,1.681,0.009,0.180,0.102,2.046,21.2,32.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.20,20069.0,250.9,0.070,1.741,0.009,0.183,0.103,2.064,21.2,32.0
38,151900,GPU (NVIDIA GeForce RTX 3080),0.20,20344.9,254.3,0.068,1.700,0.009,0.183,0.102,2.049,21.2,32.0
39,155900,GPU (NVIDIA GeForce RTX 3080),0.19,20537.1,256.7,0.067,1.672,0.009,0.181,0.102,2.050,21.2,32.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.09,43213.0,0.0,0.074,1.838,0.000,0.000,0.000,0.000,21.2,32.0
41,163900,GPU (NVIDIA GeForce RTX 3080),0.21,19099.2,238.7,0.075,1.869,0.010,0.195,0.106,2.113,21.2,32.0
42,167900,GPU (NVIDIA GeForce RTX 3080),0.20,20284.0,253.6,0.066,1.655,0.009,0.186,0.104,2.072,21.2,32.0
43,171900,GPU (NVIDIA GeForce RTX 3080),0.20,20047.6,250.6,0.071,1.763,0.009,0.183,0.103,2.061,21.2,32.0
44,175900,GPU (NVIDIA GeForce RTX 3080),0.20,20343.0,254.3,0.068,1.698,0.009,0.182,0.102,2.045,21.2,32.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.09,44081.3,0.0,0.074,1.844,0.000,0.000,0.000,0.000,21.2,32.0
46,183900,GPU (NVIDIA GeForce RTX 3080),0.20,20435.7,255.4,0.066,1.652,0.009,0.188,0.103,2.070,21.2,32.0
47,187900,GPU (NVIDIA GeForce RTX 3080),0.21,19468.1,243.4,0.076,1.890,0.009,0.185,0.103,2.054,21.2,32.0
48,191900,GPU (NVIDIA GeForce RTX 3080),0.20,20385.5,254.8,0.068,1.708,0.009,0.182,0.103,2.055,21.2,32.0
49,195900,GPU (NVIDIA GeForce RTX 3080),0.20,20081.0,251.0,0.070,1.756,0.009,0.188,0.104,2.070,21.2,32.0
50,199900,GPU (NVIDIA GeForce RTX 3080),0.09,46872.7,0.0,0.068,1.701,0.000,0.000,0.000,0.000,21.2,32.0
51,203900,GPU (NVIDIA GeForce RTX 3080),0.20,20243.9,253.0,0.068,1.691,0.009,0.183,0.103,2.058,21.2,32.0
52,207900,GPU (NVIDIA GeForce RTX 3080),0.20,19612.8,245.2,0.071,1.769,0.010,0.199,0.107,2.137,21.2,32.0
53,211900,GPU (NVIDIA GeForce RTX 3080),0.20,20007.7,250.1,0.068,1.708,0.009,0.187,0.105,2.091,21.2,32.0
54,215900,GPU (NVIDIA GeForce RTX 3080),0.21,19490.2,243.6,0.076,1.899,0.009,0.182,0.103,2.055,21.2,32.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.08,49105.2,0.0,0.066,1.658,0.000,0.000,0.000,0.000,21.2,32.0
56,223900,GPU (NVIDIA GeForce RTX 3080),0.20,19517.4,244.0,0.074,1.860,0.009,0.180,0.103,2.060,21.2,32.0
57,227900,GPU (NVIDIA GeForce RTX 3080),0.20,20137.4,251.7,0.071,1.766,0.009,0.182,0.103,2.055,21.2,32.0
58,231900,GPU (NVIDIA GeForce RTX 3080),0.20,20243.2,253.0,0.068,1.699,0.009,0.184,0.103,2.066,21.2,32.0
59,235900,GPU (NVIDIA GeForce RTX 3080),0.20,20363.3,254.5,0.068,1.699,0.009,0.186,0.103,2.064,21.2,32.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.09,43923.3,0.0,0.073,1.820,0.000,0.000,0.000,0.000,21.2,32.0
61,243900,GPU (NVIDIA GeForce RTX 3080),0.20,20032.9,250.4,0.070,1.743,0.009,0.183,0.103,2.056,21.2,32.0
62,247900,GPU (NVIDIA GeForce RTX 3080),0.20,19904.3,248.8,0.071,1.763,0.009,0.182,0.103,2.064,21.2,32.0
63,251900,GPU (NVIDIA GeForce RTX 3080),0.20,20332.2,254.2,0.067,1.672,0.010,0.196,0.105,2.090,21.2,32.0
64,255900,GPU (NVIDIA GeForce RTX 3080),0.21,18949.1,236.9,0.076,1.912,0.010,0.192,0.106,2.112,21.2,32.0
65,259900,GPU (NVIDIA GeForce RTX 3080),0.08,49374.4,0.0,0.065,1.614,0.000,0.000,0.000,0.000,21.2,32.0
66,263900,GPU (NVIDIA GeForce RTX 3080),0.19,20657.1,258.2,0.065,1.618,0.009,0.185,0.103,2.057,21.2,32.0
67,267900,GPU (NVIDIA GeForce RTX 3080),0.21,18888.2,236.1,0.076,1.890,0.010,0.207,0.108,2.163,21.2,32.0
68,271900,GPU (NVIDIA GeForce RTX 3080),0.21,19355.7,241.9,0.073,1.831,0.010,0.201,0.105,2.094,21.2,32.0
69,275900,GPU (NVIDIA GeForce RTX 3080),0.21,18775.9,234.7,0.077,1.928,0.010,0.205,0.108,2.156,21.2,32.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.09,46467.2,0.0,0.069,1.718,0.000,0.000,0.000,0.000,21.2,32.0
71,283900,GPU (NVIDIA GeForce RTX 3080),0.22,18434.4,230.4,0.076,1.895,0.011,0.212,0.112,2.242,21.2,32.0
72,287900,GPU (NVIDIA GeForce RTX 3080),0.21,18726.0,234.1,0.070,1.747,0.010,0.206,0.115,2.299,21.2,32.0
73,291900,GPU (NVIDIA GeForce RTX 3080),0.20,19867.1,248.3,0.072,1.806,0.010,0.196,0.103,2.057,21.2,32.0
74,295900,GPU (NVIDIA GeForce RTX 3080),0.21,19130.4,239.1,0.070,1.753,0.010,0.210,0.110,2.203,21.2,32.0
75,299900,GPU (NVIDIA GeForce RTX 3080),0.09,43432.8,0.0,0.074,1.840,0.000,0.000,0.000,0.000,21.2,32.0
76,303900,GPU (NVIDIA GeForce RTX 3080),0.20,19641.0,245.5,0.068,1.695,0.010,0.206,0.108,2.165,21.2,32.0
77,307900,GPU (NVIDIA GeForce RTX 3080),0.21,18959.4,237.0,0.079,1.984,0.010,0.193,0.104,2.089,21.2,32.0
78,311900,GPU (NVIDIA GeForce RTX 3080),0.20,19519.7,244.0,0.073,1.816,0.010,0.199,0.104,2.082,21.2,32.0
79,315900,GPU (NVIDIA GeForce RTX 3080),0.21,18818.7,235.2,0.073,1.829,0.011,0.215,0.111,2.217,21.2,32.0
80,319900,GPU (NVIDIA GeForce RTX 3080),0.09,44125.5,0.0,0.072,1.810,0.000,0.000,0.000,0.000,21.2,32.0
81,323900,GPU (NVIDIA GeForce RTX 3080),0.22,18476.0,230.9,0.077,1.937,0.012,0.236,0.106,2.116,21.2,32.0
82,327900,GPU (NVIDIA GeForce RTX 3080),0.23,17192.3,214.9,0.093,2.337,0.011,0.218,0.107,2.150,21.2,32.0
83,331900,GPU (NVIDIA GeForce RTX 3080),0.28,14434.4,180.4,0.087,2.170,0.012,0.237,0.112,2.240,21.2,32.0
84,335900,GPU (NVIDIA GeForce RTX 3080),0.20,19906.4,248.8,0.069,1.736,0.010,0.199,0.105,2.101,21.2,32.0
85,339900,GPU (NVIDIA GeForce RTX 3080),0.10,41123.5,0.0,0.077,1.930,0.000,0.000,0.000,0.000,21.2,32.0
86,343900,GPU (NVIDIA GeForce RTX 3080),0.20,19735.5,246.7,0.072,1.797,0.010,0.200,0.104,2.089,21.2,32.0
87,347900,GPU (NVIDIA GeForce RTX 3080),0.21,18833.4,235.4,0.079,1.975,0.010,0.196,0.103,2.070,21.2,32.0
88,351900,GPU (NVIDIA GeForce RTX 3080),0.21,19443.4,243.0,0.071,1.766,0.012,0.246,0.107,2.133,21.2,32.0
89,355900,GPU (NVIDIA GeForce RTX 3080),0.21,18827.3,235.3,0.079,1.976,0.010,0.200,0.104,2.073,21.2,32.0
