step,episode_return
99,-163.78117970218366
200,-151.6348116582591
301,-147.6915672582705
402,-147.04016653338928
503,-139.01918967476368
604,-154.76568344733852
705,-154.21851155963068
806,-139.28829920317364
907,-162.91257130625988
1008,-148.2129566449314
1109,-157.45332921518974
1210,-140.05569733040906
1311,-153.40169519416105
1412,-166.11282231916468
1513,-133.82506593469432
1614,-152.3023032145108
1715,-141.04201238101948
1816,-152.03467341806083
1917,-153.3115066931118
2018,-140.10554610750455
2119,-149.93372307889112
2220,-153.16576911472555
2321,-157.33138987434296
2422,-155.1889720403343
2523,-147.2855039920633
2624,-143.75107122240613
2725,-139.9148768849443
2826,-160.9276002165216
2927,-155.2386275054295
3028,-143.74510876978462
3129,-144.85974083095405
3230,-140.66813111730772
3331,-141.40831030675386
3432,-142.6344450885458
3533,-161.1756429001836
3634,-150.84126692060164
3735,-162.50595675519543
3836,-147.45646894269038
3937,-155.3454452433416
