step,episode_return,has_disturbance
99,-141.76334130511128,0
200,-152.2406641376637,0
301,-140.2278029392904,0
402,-148.6166178944218,0
503,-152.38859878438637,1
604,-142.72892657037534,0
705,-139.99691857944512,1
806,-154.57101319410071,0
907,-154.29603683501912,0
1008,-139.69000843286395,1
1109,-156.6761350351923,0
1210,-139.42227921415656,0
1311,-132.88445529837603,0
1412,-151.28141215280186,0
1513,-147.171626947251,1
1614,-142.6556982967094,1
1715,-145.39023358464652,1
1816,-156.24095840859584,0
1917,-149.50500115876235,0
2018,-148.98592891112048,0
2119,-156.3602161874541,0
2220,-150.08450266760147,0
2321,-152.32070883097174,1
2422,-141.12336968213876,0
2523,-147.09211512809065,1
2624,-145.8925576398712,0
2725,-148.39591014420327,1
2826,-160.2498441280194,0
2927,-141.48833835490709,0
3028,-147.10220007304002,1
3129,-152.4710555373173,1
3230,-139.9688342986532,0
3331,-157.30484796477063,1
3432,-162.114308270629,0
3533,-153.0266624907877,1
3634,-152.94380472291022,0
3735,-165.39855125405762,0
3836,-151.8483570632361,0
3937,-151.6767657320659,0
