step,episode_return,has_disturbance
99,-141.1805141908521,0
200,-148.62723815473342,0
301,-155.38449366933926,0
402,-153.31350804865542,0
503,-144.11385614089764,1
604,-142.99543504004063,0
705,-155.68360113877293,1
806,-141.74339605322518,0
907,-165.09106386326474,0
1008,-159.56512615372176,1
1109,-150.28048740915372,0
1210,-152.03981810904017,0
1311,-139.5958554549302,0
1412,-147.50820863020047,0
1513,-144.81243561818462,1
1614,-147.45948035399445,1
1715,-155.01346591826587,1
1816,-136.79523073385116,0
1917,-137.0941316107685,0
2018,-162.02333424525582,0
2119,-145.701163147447,0
2220,-141.17521452678,0
2321,-152.989824356089,1
2422,-149.39945268392245,0
2523,-143.43757376891256,1
2624,-154.06565717379914,0
2725,-156.77868156355254,1
2826,-142.51248537386667,0
2927,-144.935326150457,0
3028,-145.31947562437696,1
3129,-148.0369263263934,1
3230,-147.49860798930985,0
3331,-156.81508382052698,1
3432,-146.61648138664754,0
3533,-141.46444229281204,1
3634,-140.85781178587735,0
3735,-151.24750552845393,0
3836,-144.40406890346267,0
3937,-145.5319084642987,0
