step,episode_return
99,-143.53388091971337
200,-152.17292725929767
301,-147.07314602339693
402,-153.55904847894055
503,-152.2482718573571
604,-145.38423017286226
705,-133.26973677136604
806,-156.4128436337583
907,-145.80942937675752
1008,-147.8815511331502
1109,-152.06233004208067
1210,-150.99401076961124
1311,-150.25982666981378
1412,-153.4599802643557
1513,-146.66918691893702
1614,-153.9715146857061
1715,-150.54304818208365
1816,-145.71852921556433
1917,-153.7623259136866
2018,-134.14909440924316
2119,-157.9599824442063
2220,-159.76395026581676
2321,-146.3093128560796
2422,-171.51847123708652
2523,-148.03593068838106
2624,-145.47442802545834
2725,-162.0504441197963
2826,-141.36580867977187
2927,-153.0832510917375
3028,-138.50538243875485
3129,-140.2334135902947
3230,-145.41585195612097
3331,-163.49706501775665
3432,-147.0390957756149
3533,-150.93336020522685
3634,-145.2602861769804
3735,-154.4015251925653
3836,-144.7963327653673
3937,-146.9461752525157
