epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),1.25,3187.7,0.0,0.920,22.988,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),1.38,2904.5,0.0,0.879,21.973,0.000,0.000,0.000,0.000,10.3,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),12.79,312.8,39.1,0.775,19.372,2.130,4.259,9.810,19.621,20.3,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),12.26,326.2,40.8,0.733,18.337,2.119,4.238,9.330,18.660,20.3,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.56,7091.8,0.0,0.463,11.586,0.000,0.000,0.000,0.000,20.3,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),12.15,329.1,41.1,0.390,9.754,2.164,4.329,9.512,19.023,20.3,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),12.37,323.3,40.4,0.325,8.131,2.161,4.321,9.796,19.591,20.3,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),11.53,347.0,43.4,0.354,8.855,2.042,4.083,9.042,18.084,20.3,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),11.80,338.9,42.4,0.348,8.693,2.102,4.205,9.263,18.525,20.3,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.37,10861.2,0.0,0.282,7.062,0.000,0.000,0.000,0.000,20.3,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),12.27,325.9,40.7,0.983,24.574,2.062,4.124,9.154,18.308,20.3,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),12.52,319.5,39.9,0.933,23.316,2.200,4.400,9.311,18.622,20.3,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),12.27,326.0,40.8,0.718,17.943,2.155,4.311,9.332,18.665,20.3,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),11.52,347.1,43.4,0.346,8.652,1.996,3.993,9.094,18.188,20.3,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.38,10549.8,0.0,0.287,7.179,0.000,0.000,0.000,0.000,20.3,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),11.35,352.4,44.0,0.287,7.172,2.007,4.015,8.964,17.927,20.3,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),11.73,341.1,42.6,0.289,7.220,2.078,4.156,9.263,18.526,20.3,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),11.38,351.6,44.0,0.283,7.064,2.057,4.114,8.944,17.888,20.3,32.0
