epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,1.3
2,7900,,,,,,,,0,8000,2.6
3,11900,0.092313,1.569241,-1.8337,0.4392,0.3241,-102.87,100.0,100,12000,15.4
4,15900,0.035144,3.041858,-3.3849,0.6154,0.1442,,,0,16000,27.7
5,19900,,,,,,,,0,20000,28.3
6,23900,0.123805,4.253788,-4.5332,0.9905,0.1173,-61.89,101.0,100,24000,40.4
7,27900,0.159208,5.316255,-5.5594,0.8051,0.1113,,,0,28000,52.8
8,31900,0.185605,5.993729,-6.2035,0.9850,0.1105,-45.65,101.0,100,32000,64.3
9,35900,0.297069,6.790388,-7.0196,1.2644,0.1470,,,0,36000,76.1
10,39900,,,,,,,,0,40000,76.5
11,43900,0.331538,7.608903,-7.8032,1.2501,0.1410,-54.61,101.0,100,44000,88.7
12,47900,0.490355,8.185682,-8.4794,1.3194,0.1606,,,0,48000,101.3
13,51900,0.487896,8.648429,-8.8955,1.3183,0.1672,-56.02,101.0,100,52000,113.5
14,55900,0.597623,9.112192,-9.3962,1.5286,0.1951,,,0,56000,125.1
15,59900,,,,,,,,0,60000,125.4
16,63900,0.580965,9.401557,-9.7004,1.4185,0.2383,-54.95,101.0,100,64000,136.8
17,67900,0.684670,9.779046,-10.1109,1.6001,0.3419,,,0,68000,148.5
18,71900,0.690102,10.121496,-10.4376,1.3624,0.3517,-62.57,101.0,100,72000,159.9
19,75900,0.810548,10.293115,-10.7088,1.7114,0.5535,,,0,76000,171.7
20,79900,,,,,,,,0,80000,172.8
21,83900,0.792239,10.243837,-10.6715,1.6239,0.5842,-84.14,101.0,100,84000,185.1
22,87900,0.902839,10.530778,-10.9462,1.5719,0.7714,,,0,88000,197.6
23,91900,0.854172,10.625505,-11.0796,1.5746,1.0092,-64.86,101.0,100,92000,209.5
24,95900,0.914192,10.735205,-11.1725,1.7001,1.0592,,,0,96000,221.7
25,99900,,,,,,,,0,100000,222.6
26,103900,0.892693,10.842347,-11.2607,1.6009,1.1686,-64.52,101.0,100,104000,234.2
27,107900,0.991653,10.876037,-11.3216,1.7092,1.2877,,,0,108000,245.7
28,111900,1.004047,10.737469,-11.2136,1.7209,1.5370,-53.00,101.0,100,112000,256.9
29,115900,1.148241,10.736767,-11.1843,1.7098,1.5142,,,0,116000,268.5
30,119900,,,,,,,,0,120000,268.8
31,123900,1.112056,10.648851,-11.1124,1.6304,1.7218,-65.76,101.0,100,124000,280.6
32,127900,1.124081,10.655813,-11.1058,1.7496,1.8928,,,0,128000,292.6
33,131900,1.055782,10.522516,-11.0318,1.9633,2.1939,-61.77,101.0,100,132000,305.1
34,135900,1.065230,10.334312,-10.8695,1.6917,2.1338,,,0,136000,318.0
35,139900,,,,,,,,0,140000,319.1
36,143900,0.887152,9.812625,-10.5377,1.6148,2.4556,-68.55,101.0,100,144000,331.7
37,147900,0.705412,9.098186,-9.8215,1.4219,2.6064,,,0,148000,344.3
38,151900,0.669261,8.529596,-9.1875,1.4654,2.2470,-123.08,101.0,100,152000,356.2
39,155900,0.711679,8.332662,-8.9178,1.3807,2.2714,,,0,156000,368.1
40,159900,,,,,,,,0,160000,369.1
41,163900,0.644100,8.156833,-8.7697,1.3786,2.1452,-78.35,101.0,100,164000,380.6
42,167900,0.656300,8.108093,-8.6690,1.4194,2.1743,,,0,168000,391.9
43,171900,0.656354,8.012229,-8.5732,1.3989,2.2085,-83.42,101.0,100,172000,403.3
44,175900,0.611281,8.078920,-8.6045,1.4074,1.9029,,,0,176000,414.6
45,179900,,,,,,,,0,180000,415.0
46,183900,0.573893,8.160977,-8.6899,1.2684,1.8762,-116.94,101.0,100,184000,427.0
47,187900,0.601198,8.242044,-8.7902,1.3101,1.6895,,,0,188000,439.4
48,191900,0.637105,8.319201,-8.8691,1.3831,1.8747,-77.97,101.0,100,192000,451.6
49,195900,0.662069,8.388638,-8.9494,1.3750,2.0722,,,0,196000,464.1
50,199900,,,,,,,,0,200000,465.3
