step,episode_return
49,-45.76007147781288
100,-39.62649426309666
151,-48.47622268803374
202,-38.371006357125296
253,-38.29149061849928
304,-38.85558703040541
355,-43.73472419036987
406,-45.87127102513004
457,-42.89999275855862
508,-34.17491242983647
559,-48.280830406338495
610,-44.786185793420216
661,-38.42042887182069
712,-39.34018266960388
763,-38.4889212230944
814,-55.94124724161081
865,-41.25254590288725
916,-49.72371783937115
967,-39.89748138517885
1018,-44.43721690586938
1069,-40.05100671549422
1120,-45.03469490514639
1171,-44.99315742604868
1222,-43.56288056449743
1273,-46.89970041042376
1324,-43.629460691963054
1375,-44.3237484238631
1426,-43.6301410629269
1477,-41.50256262800643
1528,-50.01917592379226
1579,-53.83133438307875
1630,-43.95875053491424
1681,-46.253372281623676
1732,-44.12675051198477
1783,-43.955083196075734
1834,-49.771011720749186
1885,-37.32405587786344
1936,-42.79376035045457
1987,-41.44783105685581
2038,-41.713318670004256
2089,-44.13077427393063
2140,-44.74451966132304
2191,-39.93078983467038
2242,-43.805106230599314
2293,-43.02847525364475
2344,-45.99787527028761
2395,-40.32497478385318
2446,-45.875873359109136
2497,-37.90538052460466
2548,-48.563534963054316
2599,-42.80864863832296
2650,-51.453451133060355
2701,-44.525746925046754
2752,-39.72867458290758
2803,-44.53514646433553
2854,-33.964178605599564
2905,-37.37529132163051
2956,-40.22262945127839
3007,-39.99792003022065
3058,-39.36773365023814
3109,-45.26519627275783
3160,-47.68469045845814
3211,-48.969437733283975
3262,-42.08717463116262
3313,-50.24662871425386
3364,-48.73849128344858
3415,-45.94535842242459
3466,-41.539787021145145
3517,-37.88729552168737
3568,-42.450504880331984
3619,-34.19045283162073
3670,-49.724030013759545
3721,-34.25127496560078
3772,-46.7393365182262
3823,-38.930289187027135
3874,-46.8751987214431
3925,-40.70446449563513
3976,-42.93786369840913
