step,episode_return,has_disturbance
4900,-42.62622690823714,0
4900,-45.26228231561491,0
4900,-43.11380272084966,0
4900,-44.67297133153095,0
4900,-38.381060021075534,1
4900,-39.609465308515254,0
4900,-37.970337336882515,1
4900,-46.996060796033085,0
4900,-40.34670349646019,0
4900,-47.07584182322243,1
4900,-45.213862837342525,0
4900,-40.668519174588944,0
4900,-46.86417242003904,0
4900,-40.132212464883644,0
4900,-46.15782043020687,1
4900,-40.39003386828678,1
4900,-37.29533737015081,1
4900,-45.76485299160761,0
4900,-43.61705298715569,0
4900,-40.36635183971973,0
4900,-45.00471373699843,0
4900,-46.04879234400066,0
4900,-51.03863301605244,1
4900,-50.30659301128631,0
4900,-44.41209330485006,1
4900,-45.2632172956706,0
4900,-45.98712154086659,1
4900,-39.6392657867117,0
4900,-42.958749702131506,0
4900,-43.8117593517616,1
4900,-43.021336694054476,1
4900,-47.745904831315364,0
4900,-44.39019399634993,1
4900,-43.55912150542422,0
4900,-46.71257147790715,1
4900,-45.665769798446284,0
4900,-34.0181469208557,0
4900,-43.55802784153711,0
4900,-48.27901561331531,0
4900,-47.07341303509664,0
4900,-41.11257030554192,1
4900,-42.203242001508436,1
4900,-43.14491300736685,0
4900,-51.94743011207469,1
4900,-39.80522345524472,0
4900,-39.53767081776478,0
4900,-37.53178594535937,1
4900,-41.98681013547501,1
4900,-37.876393701582344,1
4900,-40.800582876425466,1
4900,-44.926519732624506,0
4900,-47.41786282485907,1
4900,-43.2177749367856,0
4900,-42.80705333836824,1
4900,-39.63125582131896,1
4900,-48.18658251335292,1
4900,-49.05698539226889,0
4900,-41.51324773414061,1
4900,-43.471037785370676,1
4900,-41.69639644669313,1
4900,-39.16031074000264,1
4900,-41.50138119065302,1
4900,-43.94927735440043,0
4900,-45.91847364404436,1
4900,-39.60559161111257,1
4900,-44.62404944625134,1
4900,-36.95164082726387,0
4900,-43.50874770851817,1
4900,-36.018667019301006,0
4900,-44.26098925684619,1
4900,-46.99891930822221,0
4900,-44.13011780680673,1
4900,-52.31302336508412,0
4900,-50.33958397389391,0
4900,-36.484118225864314,0
4900,-37.393483811466645,1
4900,-40.342981838442086,1
4900,-39.01864972446465,1
4900,-43.85241013063804,1
4900,-44.016264063912146,1
4900,-44.76993644217578,1
4900,-46.44776841483286,1
4900,-50.20005849000558,1
4900,-44.875039431632096,0
4900,-43.133649521302466,0
4900,-47.182796316151,1
4900,-43.672241804355224,0
4900,-37.33209204883647,1
4900,-42.51749708228826,0
4900,-40.572708093917385,0
4900,-42.35236682694627,1
4900,-43.98364808913799,0
4900,-40.37987625834464,1
4900,-47.848897935705175,0
4900,-46.17561174070426,1
4900,-41.03693138130717,1
4900,-49.43543200201981,0
4900,-38.13499313294072,1
4900,-49.047583477422265,0
4900,-43.0507266925452,1
49,-44.32017178336587,0
100,-39.77115612264317,0
151,-41.67055348594806,0
202,-38.977578765346465,0
253,-48.46676883498032,1
304,-47.00160954534659,0
355,-42.4832921524216,1
406,-41.98032885682685,0
457,-35.455836464667684,0
508,-38.55105071711659,1
559,-46.71043880715743,0
610,-46.22302809019957,0
661,-43.829525340528924,0
712,-41.96848669206431,0
763,-45.17609547830458,1
814,-49.54205775791781,1
865,-53.37106768980304,1
916,-41.3117099246911,0
967,-39.66424291859533,0
1018,-38.8347328601636,0
1069,-37.82790068009218,0
1120,-43.098340874826114,0
1171,-36.48289221788259,1
1222,-39.53658773103744,0
1273,-43.43545553795703,1
1324,-38.88346776110431,0
1375,-38.50172294632181,1
1426,-42.65862509708754,0
1477,-43.43309931200745,0
1528,-42.350358338431434,1
1579,-41.26445649304613,1
1630,-43.09690859773195,0
1681,-49.40405121701473,1
1732,-41.336299654358484,0
1783,-44.22116713692989,1
1834,-44.44260535628592,0
1885,-43.959075962236916,0
1936,-49.07552130814722,0
1987,-41.614097086591535,0
2038,-40.794690331836804,0
2089,-48.54657518730181,1
2140,-43.00294128576956,1
2191,-46.370631643884934,0
2242,-35.39309857525649,1
2293,-43.08281564613644,0
2344,-44.392178611141,0
2395,-43.89859973633004,1
2446,-45.10563347347665,1
2497,-46.29438507330936,1
2548,-34.13772276186307,1
2599,-43.73571540625879,0
2650,-44.62699558485489,1
2701,-41.394118131172846,0
2752,-47.86953079172628,1
2803,-44.84968788707536,1
2854,-41.69212097895041,1
2905,-37.1709026839861,0
2956,-49.22823835404595,1
3007,-45.791649091694566,1
3058,-45.892771236267016,1
3109,-46.75404500663131,1
3160,-44.88706385010447,1
3211,-48.498805469215014,0
3262,-42.00714123747582,1
3313,-42.07461642616517,1
3364,-39.09894450293095,1
3415,-41.804149590806816,0
3466,-44.95275930215109,1
3517,-44.941739262031724,0
3568,-37.99509817828593,1
3619,-44.53892520414176,0
3670,-45.24258754473237,1
3721,-45.75526202832448,0
3772,-43.99373571092442,0
3823,-46.21160155220246,0
3874,-48.70267296965797,1
3925,-39.23993075443273,1
3976,-40.61474004139855,1
