step,episode_return,has_disturbance
49,-43.13511606102818,0
100,-43.70572889073285,0
151,-44.906721173933605,0
202,-43.818773791107766,0
253,-43.536797855413205,1
304,-42.01607948298376,0
355,-45.985942006065905,1
406,-39.4903998302551,0
457,-39.92513824814861,0
508,-42.700815054756326,1
559,-42.40832634658136,0
610,-45.4186143778524,0
661,-38.06809696447382,0
712,-41.83464647728247,0
763,-36.88867801225731,1
814,-42.64652669269005,1
865,-43.17142970612181,1
916,-46.34795512572011,0
967,-38.202034454253834,0
1018,-48.40377270929263,0
1069,-44.52487663299883,0
1120,-40.90698861582632,0
1171,-41.90466163704454,1
1222,-38.66435043297978,0
1273,-42.02207843312192,1
1324,-42.60693468382394,0
1375,-43.833548249039154,1
1426,-42.31511312706726,0
1477,-46.333986969291814,0
1528,-40.85829778206965,1
1579,-33.680107104103456,1
1630,-39.09454222936721,0
1681,-41.98401369980484,1
1732,-30.667565690382027,0
1783,-42.12613277982598,1
1834,-42.42124328547028,0
1885,-55.20715670788215,0
1936,-42.05810285293452,0
1987,-46.01112157579712,0
2038,-44.435649509205405,0
2089,-37.45851333907365,1
2140,-49.32929127000219,1
2191,-48.02236678191541,0
2242,-44.45233504258905,1
2293,-42.273931123693075,0
2344,-41.94122879445999,0
2395,-38.22388670035479,1
2446,-41.0037602942482,1
2497,-33.370082527854166,1
2548,-42.56184298748712,1
2599,-52.8991434508075,0
2650,-49.66499541734852,1
2701,-43.37150763290571,0
2752,-50.349303660613785,1
2803,-40.48310567782894,1
2854,-37.89453332415231,1
2905,-45.53966209214973,0
2956,-42.315990677487925,1
3007,-43.971349640072106,1
3058,-40.6854332292578,1
3109,-43.984702243930776,1
3160,-46.45637303309411,1
3211,-42.18187875013427,0
3262,-43.33982078617539,1
3313,-43.32951631179761,1
3364,-43.6329268048198,1
3415,-43.7586617542714,0
3466,-44.61067347966063,1
3517,-39.68424849024179,0
3568,-43.53498505678123,1
3619,-47.34934872293532,0
3670,-44.337195577372114,1
3721,-44.166439435841305,0
3772,-46.296587129359665,0
3823,-42.436915187181135,0
3874,-36.60817032999364,1
3925,-43.05144366926993,1
3976,-37.399799938728286,1
