epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),1.04,3861.3,0.0,0.760,18.998,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),1.09,3672.5,0.0,0.764,19.104,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),13.77,290.6,36.3,0.886,22.143,3.204,6.407,9.604,19.209,20.0,30.0
4,15900,GPU (NVIDIA GeForce RTX 3080),12.84,311.6,38.9,0.637,15.918,3.229,6.458,8.903,17.807,20.0,30.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.32,12442.7,0.0,0.237,5.913,0.000,0.000,0.000,0.000,20.0,30.0
6,23900,GPU (NVIDIA GeForce RTX 3080),12.12,330.2,41.3,0.247,6.185,3.032,6.064,8.744,17.488,20.0,30.0
7,27900,GPU (NVIDIA GeForce RTX 3080),12.71,314.7,39.3,0.240,6.006,3.249,6.498,9.130,18.260,20.0,30.0
8,31900,GPU (NVIDIA GeForce RTX 3080),12.97,308.3,38.5,0.242,6.062,3.336,6.672,9.304,18.609,20.0,30.0
9,35900,GPU (NVIDIA GeForce RTX 3080),12.38,323.2,40.4,0.239,5.981,3.133,6.265,8.910,17.820,20.0,30.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.34,11774.4,0.0,0.252,6.289,0.000,0.000,0.000,0.000,20.0,30.0
11,43900,GPU (NVIDIA GeForce RTX 3080),11.52,347.3,43.4,0.304,7.592,2.800,5.601,8.323,16.645,20.0,30.0
12,47900,GPU (NVIDIA GeForce RTX 3080),12.02,332.7,41.6,0.451,11.281,2.959,5.918,8.534,17.067,20.0,30.0
13,51900,GPU (NVIDIA GeForce RTX 3080),13.08,305.9,38.2,0.509,12.736,3.312,6.625,9.176,18.351,20.0,30.0
14,55900,GPU (NVIDIA GeForce RTX 3080),13.56,295.0,36.9,0.982,24.541,3.348,6.695,9.160,18.320,20.0,30.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.93,4304.9,0.0,0.860,21.501,0.000,0.000,0.000,0.000,20.0,30.0
16,63900,GPU (NVIDIA GeForce RTX 3080),13.57,294.7,36.8,0.665,16.624,3.378,6.755,9.455,18.910,20.0,30.0
17,67900,GPU (NVIDIA GeForce RTX 3080),13.75,290.9,36.4,0.809,20.215,3.354,6.709,9.521,19.041,20.0,30.0
18,71900,GPU (NVIDIA GeForce RTX 3080),13.69,292.1,36.5,0.710,17.756,3.409,6.818,9.488,18.975,20.0,30.0
19,75900,GPU (NVIDIA GeForce RTX 3080),13.45,297.4,37.2,1.032,25.794,3.316,6.631,9.031,18.063,20.0,30.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.94,4234.5,0.0,0.886,22.158,0.000,0.000,0.000,0.000,20.0,30.0
21,83900,GPU (NVIDIA GeForce RTX 3080),13.42,298.1,37.3,0.874,21.839,3.319,6.638,9.149,18.299,20.0,30.0
22,87900,GPU (NVIDIA GeForce RTX 3080),13.10,305.3,38.2,0.740,18.495,3.244,6.488,9.048,18.096,20.0,30.0
23,91900,GPU (NVIDIA GeForce RTX 3080),13.28,301.2,37.6,0.781,19.521,3.234,6.469,9.184,18.368,20.0,30.0
24,95900,GPU (NVIDIA GeForce RTX 3080),13.18,303.5,37.9,0.713,17.828,3.297,6.594,9.099,18.197,20.0,30.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.68,5900.5,0.0,0.609,15.223,0.000,0.000,0.000,0.000,20.0,30.0
26,103900,GPU (NVIDIA GeForce RTX 3080),13.36,299.3,37.4,0.861,21.517,3.277,6.555,9.147,18.294,20.0,30.0
27,107900,GPU (NVIDIA GeForce RTX 3080),13.32,300.2,37.5,0.831,20.785,3.317,6.634,9.101,18.202,20.0,30.0
28,111900,GPU (NVIDIA GeForce RTX 3080),13.23,302.3,37.8,0.667,16.672,3.308,6.617,9.187,18.374,20.0,30.0
29,115900,GPU (NVIDIA GeForce RTX 3080),13.21,302.8,37.8,0.593,14.817,3.246,6.491,9.294,18.588,20.0,30.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.73,5476.8,0.0,0.651,16.282,0.000,0.000,0.000,0.000,20.0,30.0
31,123900,GPU (NVIDIA GeForce RTX 3080),13.27,301.3,37.7,0.620,15.506,3.336,6.671,9.239,18.479,20.0,30.0
32,127900,GPU (NVIDIA GeForce RTX 3080),13.24,302.1,37.8,0.671,16.785,3.307,6.615,9.189,18.378,20.0,30.0
33,131900,GPU (NVIDIA GeForce RTX 3080),13.22,302.5,37.8,0.756,18.900,3.267,6.533,9.118,18.237,20.0,30.0
34,135900,GPU (NVIDIA GeForce RTX 3080),13.16,303.9,38.0,0.447,11.165,3.334,6.667,9.301,18.602,20.0,30.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.62,6402.8,0.0,0.543,13.581,0.000,0.000,0.000,0.000,20.0,30.0
36,143900,GPU (NVIDIA GeForce RTX 3080),13.26,301.7,37.7,0.586,14.641,3.350,6.699,9.244,18.489,20.0,30.0
37,147900,GPU (NVIDIA GeForce RTX 3080),12.76,313.5,39.2,0.520,13.009,3.247,6.493,8.912,17.824,20.0,30.0
38,151900,GPU (NVIDIA GeForce RTX 3080),13.06,306.4,38.3,0.526,13.143,3.275,6.551,9.178,18.356,20.0,30.0
39,155900,GPU (NVIDIA GeForce RTX 3080),13.22,302.5,37.8,0.688,17.196,3.280,6.559,9.175,18.349,20.0,30.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.69,5767.0,0.0,0.618,15.450,0.000,0.000,0.000,0.000,20.0,30.0
41,163900,GPU (NVIDIA GeForce RTX 3080),13.22,302.5,37.8,0.563,14.074,3.362,6.724,9.217,18.435,20.0,30.0
42,167900,GPU (NVIDIA GeForce RTX 3080),13.11,305.2,38.2,0.490,12.261,3.315,6.630,9.224,18.448,20.0,30.0
43,171900,GPU (NVIDIA GeForce RTX 3080),13.13,304.8,38.1,0.507,12.680,3.273,6.546,9.255,18.509,20.0,30.0
44,175900,GPU (NVIDIA GeForce RTX 3080),13.20,303.1,37.9,0.589,14.733,3.258,6.516,9.273,18.546,20.0,30.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.66,6057.1,0.0,0.580,14.490,0.000,0.000,0.000,0.000,20.0,30.0
46,183900,GPU (NVIDIA GeForce RTX 3080),13.42,298.1,37.3,0.785,19.622,3.289,6.579,9.260,18.520,20.0,30.0
47,187900,GPU (NVIDIA GeForce RTX 3080),13.15,304.2,38.0,0.639,15.987,3.215,6.430,9.234,18.467,20.0,30.0
48,191900,GPU (NVIDIA GeForce RTX 3080),13.56,295.0,36.9,1.005,25.132,3.283,6.566,9.211,18.422,20.0,30.0
49,195900,GPU (NVIDIA GeForce RTX 3080),12.96,308.7,38.6,0.787,19.673,3.266,6.533,8.832,17.664,20.0,30.0
50,199900,GPU (NVIDIA GeForce RTX 3080),1.26,3170.7,0.0,1.216,30.390,0.000,0.000,0.000,0.000,20.0,30.0
51,203900,GPU (NVIDIA GeForce RTX 3080),13.64,293.2,36.6,0.962,24.049,3.360,6.721,9.274,18.547,20.0,30.0
52,207900,GPU (NVIDIA GeForce RTX 3080),13.88,288.2,36.0,1.150,28.742,3.414,6.828,9.269,18.539,20.0,30.0
53,211900,GPU (NVIDIA GeForce RTX 3080),13.13,304.5,38.1,0.555,13.879,3.318,6.636,9.194,18.388,20.0,30.0
54,215900,GPU (NVIDIA GeForce RTX 3080),12.12,330.1,41.3,0.266,6.650,3.055,6.109,8.704,17.408,20.0,30.0
55,219900,GPU (NVIDIA GeForce RTX 3080),0.33,12166.0,0.0,0.237,5.931,0.000,0.000,0.000,0.000,20.0,30.0
56,223900,GPU (NVIDIA GeForce RTX 3080),10.97,364.7,45.6,0.246,6.140,2.715,5.429,7.914,15.827,20.0,30.0
57,227900,GPU (NVIDIA GeForce RTX 3080),12.50,319.9,40.0,0.238,5.947,3.122,6.243,9.054,18.108,20.0,30.0
58,231900,GPU (NVIDIA GeForce RTX 3080),12.42,322.1,40.3,0.233,5.832,3.110,6.220,8.976,17.952,20.0,30.0
59,235900,GPU (NVIDIA GeForce RTX 3080),12.15,329.3,41.2,0.357,8.922,3.081,6.163,8.620,17.240,20.0,30.0
60,239900,GPU (NVIDIA GeForce RTX 3080),0.46,8704.9,0.0,0.368,9.192,0.000,0.000,0.000,0.000,20.0,30.0
61,243900,GPU (NVIDIA GeForce RTX 3080),13.22,302.5,37.8,0.936,23.408,3.184,6.369,8.985,17.970,20.0,30.0
62,247900,GPU (NVIDIA GeForce RTX 3080),13.40,298.6,37.3,0.875,21.872,3.314,6.628,9.146,18.292,20.0,30.0
63,251900,GPU (NVIDIA GeForce RTX 3080),13.60,294.1,36.8,0.853,21.319,3.365,6.729,9.298,18.596,20.0,30.0
64,255900,GPU (NVIDIA GeForce RTX 3080),13.65,293.1,36.6,0.842,21.038,3.362,6.724,9.372,18.744,20.0,30.0
65,259900,GPU (NVIDIA GeForce RTX 3080),1.08,3695.3,0.0,1.017,25.425,0.000,0.000,0.000,0.000,20.0,30.0
66,263900,GPU (NVIDIA GeForce RTX 3080),13.63,293.6,36.7,1.065,26.616,3.369,6.738,9.127,18.255,20.0,30.0
67,267900,GPU (NVIDIA GeForce RTX 3080),13.81,289.6,36.2,1.127,28.176,3.366,6.732,9.256,18.512,20.0,30.0
68,271900,GPU (NVIDIA GeForce RTX 3080),14.10,283.6,35.5,1.115,27.878,3.464,6.927,9.457,18.913,20.0,30.0
69,275900,GPU (NVIDIA GeForce RTX 3080),13.77,290.6,36.3,1.037,25.924,3.385,6.770,9.281,18.561,20.0,30.0
70,279900,GPU (NVIDIA GeForce RTX 3080),0.98,4067.9,0.0,0.917,22.929,0.000,0.000,0.000,0.000,20.0,30.0
71,283900,GPU (NVIDIA GeForce RTX 3080),13.76,290.6,36.3,0.747,18.675,3.377,6.754,9.543,19.086,20.0,30.0
72,287900,GPU (NVIDIA GeForce RTX 3080),13.73,291.3,36.4,0.886,22.160,3.381,6.762,9.421,18.842,20.0,30.0
73,291900,GPU (NVIDIA GeForce RTX 3080),13.45,297.5,37.2,0.997,24.926,3.250,6.500,9.135,18.270,20.0,30.0
74,295900,GPU (NVIDIA GeForce RTX 3080),13.72,291.6,36.4,1.212,30.296,3.299,6.597,9.155,18.311,20.0,30.0
75,299900,GPU (NVIDIA GeForce RTX 3080),1.34,2978.0,0.0,1.285,32.118,0.000,0.000,0.000,0.000,20.0,30.0
76,303900,GPU (NVIDIA GeForce RTX 3080),12.98,308.3,38.5,0.877,21.937,3.161,6.321,8.856,17.712,20.0,30.0
1,3900,GPU (NVIDIA GeForce RTX 3080),2.21,1807.6,0.0,1.115,27.885,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),3.34,1198.2,0.0,1.393,34.817,0.000,0.000,0.000,0.000,10.2,24.0
1,3999,GPU (NVIDIA GeForce RTX 3080),0.37,10925.2,0.0,0.209,0.052,0.000,0.000,0.000,0.000,1.1,2.0
