epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,1.0
2,7900,,,,,,-42.88,50.0,100,8000,2.1
3,11900,0.166077,0.666864,-0.8596,0.9475,0.0459,-11.64,51.0,100,12000,15.9
4,15900,0.075487,1.146976,-1.3638,1.2035,0.4569,-12.67,51.0,100,16000,28.7
5,19900,,,,,,,,0,20000,29.1
6,23900,0.048534,1.352966,-1.5870,1.2039,0.3119,-10.86,51.0,100,24000,41.2
7,27900,0.046337,1.613619,-1.8037,1.0964,0.3677,-10.81,51.0,100,28000,53.9
8,31900,0.060605,1.904360,-2.0651,1.1127,0.5538,-9.59,51.0,100,32000,66.9
9,35900,0.080995,2.142652,-2.2889,1.1565,0.5379,-9.28,51.0,100,36000,79.2
10,39900,,,,,,,,0,40000,79.6
11,43900,0.105025,2.374018,-2.5076,1.1255,0.5401,-9.25,51.0,100,44000,91.1
12,47900,0.132630,2.568258,-2.6944,1.1099,0.6938,-8.86,51.0,100,48000,103.1
13,51900,0.163357,2.775393,-2.8955,1.1266,0.6606,-10.90,51.0,100,52000,116.2
14,55900,0.193551,2.925690,-3.0454,1.1187,0.6711,-9.23,51.0,100,56000,129.7
15,59900,,,,,,,,0,60000,130.7
16,63900,0.211727,3.022891,-3.1420,1.0246,0.5841,-8.37,51.0,100,64000,144.3
17,67900,0.230973,3.115561,-3.2342,1.1353,0.5580,-9.31,51.0,100,68000,158.0
18,71900,0.253021,3.208462,-3.3249,1.0855,0.3875,-9.44,51.0,100,72000,171.7
19,75900,0.268927,3.278526,-3.3941,1.0635,0.3518,,,0,76000,185.1
20,79900,,,,,,-9.44,51.0,100,80000,186.1
21,83900,0.277428,3.329524,-3.4444,0.9514,0.3106,-8.98,51.0,100,84000,199.5
22,87900,0.286893,3.383721,-3.4976,0.9471,0.3377,-9.08,51.0,100,88000,212.6
23,91900,0.288649,3.441259,-3.5495,0.8693,0.3023,-10.01,51.0,100,92000,225.9
24,95900,0.301452,3.503873,-3.6091,0.9722,0.2997,,,0,96000,239.1
25,99900,,,,,,-8.96,51.0,100,100000,239.8
26,103900,0.307076,3.551700,-3.6555,0.9110,0.2796,-8.09,51.0,100,104000,253.1
27,107900,0.317832,3.598031,-3.7005,0.9374,0.3028,-8.48,51.0,100,108000,266.4
28,111900,0.316352,3.638257,-3.7410,0.8318,0.3168,,,0,112000,279.7
29,115900,0.326000,3.663886,-3.7678,0.8139,0.3587,-8.41,51.0,100,116000,292.9
30,119900,,,,,,-7.74,51.0,100,120000,293.6
31,123900,0.332425,3.677281,-3.7800,0.9873,0.3217,-7.91,51.0,100,124000,306.9
32,127900,0.340529,3.702992,-3.8030,0.8677,0.3662,-8.24,51.0,100,128000,320.1
33,131900,0.344736,3.718330,-3.8184,0.8855,0.3175,,,0,132000,333.4
34,135900,0.357037,3.736497,-3.8345,0.8336,0.3528,-8.17,51.0,100,136000,346.5
35,139900,,,,,,-8.14,51.0,100,140000,347.1
36,143900,0.353602,3.747216,-3.8456,0.8539,0.3567,-7.90,51.0,100,144000,360.4
37,147900,0.354917,3.740571,-3.8394,0.8145,0.3604,-7.43,51.0,100,148000,373.2
38,151900,0.353937,3.740990,-3.8392,0.8250,0.3525,,,0,152000,386.2
39,155900,0.358487,3.730231,-3.8300,0.8261,0.3252,-8.42,51.0,100,156000,399.4
40,159900,,,,,,-8.17,51.0,100,160000,400.1
41,163900,0.351758,3.726333,-3.8249,0.7840,0.3805,-7.94,51.0,100,164000,413.4
42,167900,0.358843,3.708864,-3.8079,0.8379,0.3442,,,0,168000,426.5
43,171900,0.360149,3.685546,-3.7875,0.7615,0.3805,-7.99,51.0,100,172000,439.6
44,175900,0.362196,3.664637,-3.7670,0.7782,0.3810,-8.61,51.0,100,176000,452.8
45,179900,,,,,,-8.12,51.0,100,180000,453.5
46,183900,0.358631,3.636002,-3.7398,0.8246,0.3880,-7.98,51.0,100,184000,466.9
47,187900,0.355761,3.602126,-3.7054,0.7795,0.4261,,,0,188000,480.0
48,191900,0.353121,3.574299,-3.6761,0.7454,0.3790,-7.63,51.0,100,192000,493.6
49,195900,0.351278,3.542977,-3.6434,0.7608,0.4132,-7.34,51.0,100,196000,506.5
50,199900,,,,,,-7.32,51.0,100,200000,507.8
51,203900,0.344387,3.519388,-3.6189,0.7663,0.3802,-7.81,51.0,100,204000,521.4
52,207900,0.337983,3.490930,-3.5892,0.7372,0.4039,,,0,208000,535.3
53,211900,0.332907,3.469866,-3.5674,0.7553,0.4149,-7.89,51.0,100,212000,548.5
54,215900,0.323566,3.448429,-3.5451,0.7201,0.3965,-7.64,51.0,100,216000,560.6
55,219900,,,,,,-8.01,51.0,100,220000,560.9
56,223900,0.320028,3.430224,-3.5256,0.7170,0.3877,,,0,224000,571.9
57,227900,0.318337,3.408777,-3.5039,0.6940,0.3568,-7.36,51.0,100,228000,584.4
58,231900,0.315650,3.389168,-3.4850,0.7304,0.4070,-7.19,51.0,100,232000,596.8
59,235900,0.312889,3.372294,-3.4676,0.6478,0.3867,-7.26,51.0,100,236000,608.9
60,239900,,,,,,-7.18,51.0,100,240000,609.4
61,243900,0.306391,3.354746,-3.4479,0.6829,0.3922,,,0,244000,622.6
62,247900,0.309301,3.342063,-3.4351,0.6456,0.4012,-7.35,51.0,100,248000,636.0
63,251900,0.312147,3.320900,-3.4139,0.6966,0.3631,-6.30,51.0,100,252000,649.6
64,255900,0.310672,3.303730,-3.3957,0.6848,0.3745,-7.04,51.0,100,256000,663.3
65,259900,,,,,,-6.71,51.0,100,260000,664.4
66,263900,0.313500,3.292484,-3.3818,0.7092,0.3599,,,0,264000,678.0
67,267900,0.303094,3.280567,-3.3701,0.7321,0.3829,-6.78,51.0,100,268000,691.8
68,271900,0.305307,3.268382,-3.3575,0.6950,0.3486,-6.58,51.0,100,272000,705.9
69,275900,0.301836,3.256982,-3.3462,0.6546,0.3804,-6.81,51.0,100,276000,719.7
70,279900,,,,,,,,0,280000,720.6
71,283900,0.300433,3.244944,-3.3324,0.6780,0.3476,-6.57,51.0,100,284000,734.4
72,287900,0.294829,3.234522,-3.3203,0.6274,0.3617,-6.68,51.0,100,288000,748.1
73,291900,0.294760,3.223874,-3.3105,0.6911,0.3599,-6.76,51.0,100,292000,761.6
74,295900,0.293178,3.214127,-3.3001,0.6230,0.3751,-6.78,51.0,100,296000,775.3
75,299900,,,,,,,,0,300000,776.7
76,303900,0.290603,3.198778,-3.2861,0.6501,0.3546,-6.65,51.0,100,304000,789.6
1,3900,,,,,,,,0,4000,2.2
2,7900,,,,,,-43.24,50.0,100,8000,5.6
1,3999,,,,,,-43.03,51.0,78,4000,0.4
