epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),1.24,3221.9,0.0,0.973,24.326,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),1.38,2899.8,0.0,0.931,23.284,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),14.11,283.6,35.4,1.098,27.458,3.266,6.531,9.679,19.357,20.0,30.0
4,15900,GPU (NVIDIA GeForce RTX 3080),13.37,299.1,37.4,0.783,19.584,3.363,6.725,9.152,18.304,20.0,30.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.95,4198.0,0.0,0.906,22.653,0.000,0.000,0.000,0.000,20.0,30.0
6,23900,GPU (NVIDIA GeForce RTX 3080),14.08,284.0,35.5,1.048,26.197,3.465,6.931,9.505,19.009,20.0,30.0
7,27900,GPU (NVIDIA GeForce RTX 3080),13.92,287.3,35.9,0.909,22.731,3.434,6.868,9.505,19.011,20.0,30.0
8,31900,GPU (NVIDIA GeForce RTX 3080),13.97,286.3,35.8,1.037,25.918,3.377,6.754,9.489,18.978,20.0,30.0
9,35900,GPU (NVIDIA GeForce RTX 3080),13.98,286.0,35.8,1.432,35.795,3.385,6.770,9.110,18.219,20.0,30.0
10,39900,GPU (NVIDIA GeForce RTX 3080),1.49,2691.7,0.0,1.438,35.942,0.000,0.000,0.000,0.000,20.0,30.0
11,43900,GPU (NVIDIA GeForce RTX 3080),13.86,288.6,36.1,1.206,30.145,3.301,6.602,9.297,18.594,20.0,30.0
12,47900,GPU (NVIDIA GeForce RTX 3080),13.66,292.8,36.6,1.161,29.022,3.263,6.527,9.172,18.344,20.0,30.0
13,51900,GPU (NVIDIA GeForce RTX 3080),14.04,284.9,35.6,1.238,30.954,3.358,6.716,9.375,18.751,20.0,30.0
14,55900,GPU (NVIDIA GeForce RTX 3080),13.39,298.8,37.4,0.722,18.046,3.327,6.654,9.263,18.526,20.0,30.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.82,4905.1,0.0,0.740,18.509,0.000,0.000,0.000,0.000,20.0,30.0
16,63900,GPU (NVIDIA GeForce RTX 3080),13.76,290.8,36.3,1.036,25.910,3.330,6.660,9.332,18.663,20.0,30.0
17,67900,GPU (NVIDIA GeForce RTX 3080),13.39,298.7,37.3,0.913,22.834,3.328,6.656,9.025,18.050,20.0,30.0
18,71900,GPU (NVIDIA GeForce RTX 3080),14.05,284.8,35.6,1.409,35.229,3.314,6.629,9.261,18.522,20.0,30.0
19,75900,GPU (NVIDIA GeForce RTX 3080),13.37,299.1,37.4,0.934,23.343,3.261,6.521,9.109,18.217,20.0,30.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.87,4582.6,0.0,0.797,19.917,0.000,0.000,0.000,0.000,20.0,30.0
21,83900,GPU (NVIDIA GeForce RTX 3080),13.27,301.5,37.7,0.766,19.148,3.270,6.539,9.143,18.286,20.0,30.0
