epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,,,0,4000,1.2
2,7900,,,,,,,,0,8000,2.6
3,11900,0.019628,-0.435618,0.1369,0.2253,0.0532,,,0,12000,16.7
4,15900,0.036957,-2.131143,1.6252,0.3752,0.0296,,,0,16000,30.1
5,19900,,,,,,,,0,20000,31.1
6,23900,0.039139,-3.770435,3.1329,0.4842,0.0356,,,0,24000,45.1
7,27900,0.040718,-5.089967,4.4790,0.6791,0.0545,,,0,28000,59.1
8,31900,0.035433,-6.101543,5.5830,0.7700,0.0411,,,0,32000,73.0
9,35900,0.029048,-6.912881,6.4335,0.8057,0.0486,,,0,36000,87.0
10,39900,,,,,,,,0,40000,88.5
11,43900,0.023473,-7.626921,7.1847,0.7478,0.0471,,,0,44000,102.4
12,47900,0.019242,-8.029792,7.6723,0.7943,0.0594,,,0,48000,116.0
13,51900,0.015207,-8.183051,7.9043,0.7523,0.0768,,,0,52000,130.1
14,55900,0.012347,-8.209412,7.9959,0.7210,0.0940,,,0,56000,143.5
15,59900,,,,,,,,0,60000,144.3
16,63900,0.009713,-8.163278,7.9716,0.7332,0.0576,,,0,64000,158.0
17,67900,0.007719,-8.189900,8.0043,0.6764,0.0481,,,0,68000,171.4
18,71900,0.006582,-8.097814,7.9415,0.6203,0.0387,,,0,72000,185.5
19,75900,0.005552,-7.971597,7.8411,0.6219,0.0418,,,0,76000,198.8
20,79900,,,,,,,,0,80000,199.7
21,83900,0.004370,-7.834560,7.7272,0.5603,0.0339,,,0,84000,213.0
22,87900,0.003474,-7.659971,7.5717,0.5087,0.0308,,,0,88000,225.9
23,91900,0.002978,-7.465500,7.3932,0.4809,0.0332,,,0,92000,239.4
24,95900,0.002610,-7.268817,7.2020,0.5025,0.0309,,,0,96000,252.4
25,99900,,,,,,31.89,1000.0,100,100000,253.1
26,103900,0.460865,-7.161150,7.0859,1.7292,0.1252,,,0,104000,266.4
27,107900,0.420854,-7.792739,7.7037,1.3606,0.0984,,,0,108000,279.8
28,111900,0.440226,-7.810695,7.7163,1.3096,0.0680,,,0,112000,293.0
29,115900,0.398873,-7.822516,7.7116,1.3132,0.0630,,,0,116000,306.0
30,119900,,,,,,,,0,120000,306.7
31,123900,0.392332,-7.879045,7.7514,1.3431,0.0811,,,0,124000,320.2
32,127900,0.366371,-7.931605,7.7902,1.3603,0.0762,,,0,128000,333.4
33,131900,0.339421,-8.011885,7.8673,1.3228,0.0680,,,0,132000,346.3
34,135900,0.303358,-8.089881,7.9441,1.2479,0.0745,,,0,136000,359.8
35,139900,,,,,,,,0,140000,360.4
36,143900,0.286004,-8.182693,8.0304,1.3779,0.0699,,,0,144000,373.3
37,147900,0.263365,-8.291298,8.1373,1.2662,0.0627,,,0,148000,386.4
38,151900,0.270859,-8.383438,8.2358,1.3571,0.0821,,,0,152000,399.4
39,155900,0.265596,-8.465690,8.3230,1.3801,0.0782,,,0,156000,412.8
40,159900,,,,,,,,0,160000,413.5
41,163900,0.233371,-8.968421,8.7883,1.4503,0.0711,,,0,164000,426.6
42,167900,0.227397,-9.548329,9.2960,1.2521,0.0805,,,0,168000,440.0
43,171900,0.226618,-10.389940,10.0908,1.2681,0.0807,,,0,172000,452.9
44,175900,0.212052,-11.284761,10.9641,1.2045,0.0611,,,0,176000,466.4
45,179900,,,,,,,,0,180000,467.2
46,183900,0.210416,-11.914038,11.6111,1.3105,0.0612,,,0,184000,480.3
47,187900,0.200262,-12.505206,12.1548,1.2345,0.0846,,,0,188000,493.5
48,191900,0.206073,-13.268314,12.9606,1.2215,0.0910,,,0,192000,506.8
49,195900,0.205112,-13.680763,13.4373,1.1991,0.0777,,,0,196000,520.6
50,199900,,,,,,,,0,200000,522.1
51,203900,0.313343,-13.922900,13.7087,1.3750,0.0897,32.38,1001.0,100,204000,536.0
52,207900,0.428361,-14.421091,14.1450,1.4239,0.0829,,,0,208000,550.2
53,211900,0.420325,-14.813399,14.5480,1.4496,0.1110,,,0,212000,564.6
54,215900,0.453699,-15.172603,14.9022,1.5268,0.1100,,,0,216000,578.8
55,219900,,,,,,,,0,220000,580.1
56,223900,0.426591,-15.601881,15.2843,1.3224,0.1217,,,0,224000,594.1
57,227900,0.496814,-16.064030,15.7334,1.4585,0.1093,,,0,228000,607.5
58,231900,0.505701,-16.517691,16.1800,1.5812,0.1151,,,0,232000,621.0
59,235900,0.525375,-16.972067,16.6145,1.5272,0.1052,,,0,236000,634.7
60,239900,,,,,,,,0,240000,635.8
61,243900,0.572932,-17.454544,17.0853,1.7235,0.1351,,,0,244000,649.6
62,247900,0.592761,-17.927322,17.5282,1.8369,0.1864,,,0,248000,663.1
63,251900,0.566572,-18.352436,17.9797,1.7075,0.1701,,,0,252000,676.9
64,255900,0.582679,-18.883378,18.4745,1.7514,0.1108,,,0,256000,690.5
65,259900,,,,,,,,0,260000,691.7
66,263900,0.564702,-19.234011,18.9033,2.0054,0.1307,,,0,264000,705.5
67,267900,0.550558,-19.453986,19.1514,1.9410,0.1412,,,0,268000,719.5
68,271900,0.607233,-19.674455,19.3811,2.1884,0.1287,,,0,272000,733.2
69,275900,0.651452,-19.841768,19.5574,2.1304,0.1279,,,0,276000,747.0
70,279900,,,,,,,,0,280000,748.3
71,283900,0.598629,-20.078262,19.7574,2.3504,0.1588,,,0,284000,761.3
72,287900,0.611369,-20.489385,20.1346,2.4705,0.1574,,,0,288000,774.0
73,291900,0.573578,-20.857692,20.4996,2.1202,0.1524,,,0,292000,786.5
74,295900,0.633570,-21.298604,20.9143,2.1999,0.1359,,,0,296000,797.7
1,3900,,,,,,,,0,4000,1.7
2,7900,,,,,,,,0,8000,4.2
1,3999,,,,,,-2.58,1000.7,3,4000,0.5
