epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),1.57,2553.2,0.0,1.217,30.432,0.000,0.000,0.000,0.000,1.1,2.0
2,7900,GPU (NVIDIA GeForce RTX 3080),1.29,3090.8,0.0,0.945,23.635,0.000,0.000,0.000,0.000,10.2,24.0
3,11900,GPU (NVIDIA GeForce RTX 3080),12.65,316.1,39.5,0.856,21.391,2.186,4.371,9.537,19.074,20.2,32.0
4,15900,GPU (NVIDIA GeForce RTX 3080),11.90,336.2,42.0,0.630,15.752,2.113,4.225,9.069,18.138,20.2,32.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.63,6395.0,0.0,0.538,13.439,0.000,0.000,0.000,0.000,20.2,32.0
6,23900,GPU (NVIDIA GeForce RTX 3080),11.85,337.6,42.2,0.481,12.015,2.119,4.239,9.159,18.317,20.2,32.0
7,27900,GPU (NVIDIA GeForce RTX 3080),12.21,327.7,41.0,0.398,9.946,2.176,4.353,9.539,19.079,20.2,32.0
8,31900,GPU (NVIDIA GeForce RTX 3080),11.75,340.4,42.6,0.398,9.956,2.105,4.210,9.158,18.316,20.2,32.0
9,35900,GPU (NVIDIA GeForce RTX 3080),11.23,356.2,44.5,0.444,11.102,2.022,4.043,8.672,17.343,20.2,32.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.47,8531.9,0.0,0.379,9.485,0.000,0.000,0.000,0.000,20.2,32.0
11,43900,GPU (NVIDIA GeForce RTX 3080),12.82,312.1,39.0,1.293,32.315,2.139,4.277,9.316,18.632,20.2,32.0
12,47900,GPU (NVIDIA GeForce RTX 3080),12.81,312.3,39.0,1.001,25.036,2.209,4.417,9.482,18.963,20.2,32.0
13,51900,GPU (NVIDIA GeForce RTX 3080),13.06,306.3,38.3,1.288,32.209,2.176,4.353,9.526,19.052,20.2,32.0
14,55900,GPU (NVIDIA GeForce RTX 3080),12.16,329.0,41.1,0.966,24.138,2.089,4.178,9.031,18.062,20.2,32.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.60,6676.9,0.0,0.513,12.833,0.000,0.000,0.000,0.000,20.2,32.0
16,63900,GPU (NVIDIA GeForce RTX 3080),11.26,355.2,44.4,0.427,10.682,2.043,4.085,8.700,17.401,20.2,32.0
17,67900,GPU (NVIDIA GeForce RTX 3080),11.55,346.3,43.3,0.472,11.795,2.082,4.163,8.901,17.802,20.2,32.0
18,71900,GPU (NVIDIA GeForce RTX 3080),11.48,348.5,43.6,0.376,9.411,2.031,4.061,8.981,17.961,20.2,32.0
19,75900,GPU (NVIDIA GeForce RTX 3080),11.27,355.0,44.4,0.384,9.599,1.967,3.934,8.829,17.659,20.2,32.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.47,8538.9,0.0,0.378,9.455,0.000,0.000,0.000,0.000,20.2,32.0
21,83900,GPU (NVIDIA GeForce RTX 3080),12.76,313.6,39.2,1.275,31.875,2.166,4.333,9.241,18.483,20.2,32.0
22,87900,GPU (NVIDIA GeForce RTX 3080),12.57,318.2,39.8,0.943,23.585,2.207,4.414,9.338,18.677,20.2,32.0
23,91900,GPU (NVIDIA GeForce RTX 3080),12.37,323.3,40.4,1.033,25.820,2.111,4.222,9.153,18.306,20.2,32.0
24,95900,GPU (NVIDIA GeForce RTX 3080),12.31,324.9,40.6,1.051,26.272,2.104,4.207,9.064,18.129,20.2,32.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.93,4309.9,0.0,0.830,20.744,0.000,0.000,0.000,0.000,20.2,32.0
26,103900,GPU (NVIDIA GeForce RTX 3080),12.63,316.8,39.6,1.216,30.395,2.132,4.264,9.187,18.373,20.2,32.0
27,107900,GPU (NVIDIA GeForce RTX 3080),12.42,322.2,40.3,1.153,28.821,2.108,4.215,9.063,18.126,20.2,32.0
28,111900,GPU (NVIDIA GeForce RTX 3080),12.25,326.4,40.8,0.888,22.200,2.103,4.206,9.178,18.356,20.2,32.0
29,115900,GPU (NVIDIA GeForce RTX 3080),11.35,352.3,44.0,0.431,10.776,1.991,3.981,8.814,17.629,20.2,32.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.46,8672.7,0.0,0.371,9.265,0.000,0.000,0.000,0.000,20.2,32.0
31,123900,GPU (NVIDIA GeForce RTX 3080),11.56,346.1,43.3,0.373,9.330,2.046,4.091,9.043,18.085,20.2,32.0
32,127900,GPU (NVIDIA GeForce RTX 3080),11.54,346.6,43.3,0.366,9.149,2.045,4.091,9.037,18.074,20.2,32.0
33,131900,GPU (NVIDIA GeForce RTX 3080),11.36,352.1,44.0,0.375,9.377,2.017,4.035,8.878,17.756,20.2,32.0
34,135900,GPU (NVIDIA GeForce RTX 3080),11.83,338.0,42.3,0.494,12.356,2.108,4.216,9.143,18.287,20.2,32.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.75,5305.2,0.0,0.673,16.813,0.000,0.000,0.000,0.000,20.2,32.0
36,143900,GPU (NVIDIA GeForce RTX 3080),12.52,319.6,39.9,0.973,24.314,2.117,4.234,9.346,18.691,20.2,32.0
37,147900,GPU (NVIDIA GeForce RTX 3080),12.61,317.1,39.6,1.020,25.493,2.144,4.287,9.366,18.732,20.2,32.0
38,151900,GPU (NVIDIA GeForce RTX 3080),12.29,325.4,40.7,0.733,18.329,2.181,4.363,9.268,18.536,20.2,32.0
39,155900,GPU (NVIDIA GeForce RTX 3080),12.34,324.2,40.5,0.969,24.228,2.153,4.307,9.132,18.264,20.2,32.0
40,159900,GPU (NVIDIA GeForce RTX 3080),1.38,2892.8,0.0,1.305,32.633,0.000,0.000,0.000,0.000,20.2,32.0
41,163900,GPU (NVIDIA GeForce RTX 3080),12.03,332.6,41.6,0.603,15.076,2.190,4.379,9.140,18.280,20.2,32.0
42,167900,GPU (NVIDIA GeForce RTX 3080),12.36,323.5,40.4,1.031,25.782,2.080,4.160,9.134,18.269,20.2,32.0
43,171900,GPU (NVIDIA GeForce RTX 3080),11.95,334.8,41.9,0.701,17.525,2.113,4.227,9.039,18.078,20.2,32.0
44,175900,GPU (NVIDIA GeForce RTX 3080),12.03,332.6,41.6,0.787,19.677,2.096,4.192,9.015,18.030,20.2,32.0
