epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,0.75,19.0,149,4000,1.6
2,7900,,,,,,2.61,24.7,112,8000,2.9
3,11900,0.153272,-2.109816,1.2491,1.1708,0.0143,26.08,49.2,20,12000,15.5
4,15900,0.394462,-4.484340,3.6064,2.8575,0.0943,-15.72,64.5,4,16000,27.4
5,19900,,,,,,11.62,111.9,64,20000,28.0
6,23900,1.035828,-6.456525,5.4483,5.5226,0.1906,11.77,152.5,26,24000,39.9
7,27900,1.462222,-9.396179,8.2912,9.0121,0.3060,21.41,112.7,12,28000,52.1
8,31900,2.002520,-12.693198,11.3874,11.9975,0.4260,-15.15,128.2,33,32000,63.8
9,35900,2.781715,-16.829235,15.3935,18.6103,0.4478,168.88,211.0,5,36000,75.1
10,39900,,,,,,221.68,188.1,17,40000,75.5
11,43900,3.724652,-20.963206,19.5275,24.0128,0.4045,200.41,203.4,16,44000,88.4
12,47900,4.486074,-24.771857,23.3949,30.3561,0.4799,86.46,159.9,16,48000,101.2
13,51900,5.287813,-28.495570,27.2105,37.3297,0.5744,201.06,193.6,10,52000,114.2
14,55900,6.157989,-32.066926,30.8844,42.3254,0.5964,212.91,187.4,34,56000,126.4
15,59900,,,,,,280.70,217.3,21,60000,127.0
16,63900,7.226763,-35.264132,34.0983,49.5376,0.7229,125.49,138.0,38,64000,138.3
17,67900,8.246260,-38.621399,37.4459,57.9981,0.8808,226.12,203.8,34,68000,149.8
18,71900,9.371054,-41.773743,40.5843,64.5447,0.9131,212.92,182.5,22,72000,161.3
19,75900,10.402208,-44.814183,43.5746,71.9795,1.0007,143.96,149.2,23,76000,172.6
20,79900,,,,,,103.54,136.7,46,80000,173.0
21,83900,11.902130,-47.882932,46.6285,79.8878,1.1064,79.84,125.3,35,84000,185.8
22,87900,13.837152,-50.866173,49.5763,87.6777,1.1726,47.82,108.7,35,88000,198.3
23,91900,14.985177,-53.860261,52.5437,90.1761,1.2316,72.80,117.8,40,92000,210.7
24,95900,15.908199,-57.105277,55.7322,94.8550,1.2577,90.22,98.2,29,96000,223.0
25,99900,,,,,,122.92,114.3,51,100000,224.0
26,103900,18.628600,-60.392770,58.9762,108.5006,1.4423,105.15,103.6,28,104000,236.6
