epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,-6.65,25.3,37,4000,0.3
2,7900,,,,,,-10.61,38.8,23,8000,0.6
3,11900,0.520351,-2.406875,1.5960,1.8900,0.0116,,,0,12000,2.0
4,15900,0.793727,-4.975675,3.2448,3.9184,0.5048,,,0,16000,3.2
5,19900,,,,,,,,0,20000,3.4
6,23900,0.833292,-7.430228,5.4543,5.5395,0.8467,-114.40,198.0,2,24000,4.7
7,27900,0.938004,-10.553289,8.7453,6.5106,1.0426,-74.65,221.5,2,28000,5.9
8,31900,0.969926,-13.417433,11.8667,6.3434,0.9072,,,0,32000,7.2
9,35900,0.976689,-16.199029,14.7760,6.4222,0.8657,,,0,36000,8.5
10,39900,,,,,,-61.61,327.0,1,40000,8.8
11,43900,1.075036,-18.903358,17.5624,7.0989,0.9304,-34.40,364.6,5,44000,10.0
12,47900,1.288383,-21.450127,20.1956,7.6128,0.9269,-37.89,445.5,2,48000,11.3
13,51900,1.314780,-23.935582,22.7512,7.3942,0.9287,-54.50,500.7,3,52000,12.5
14,55900,1.504812,-26.376765,25.2034,8.2800,0.9800,58.13,424.4,9,56000,13.8
15,59900,,,,,,91.07,561.3,3,60000,14.0
16,63900,1.465658,-28.747909,27.6332,7.9794,0.9460,94.69,209.4,5,64000,15.3
17,67900,1.459951,-30.993507,29.9074,8.0438,1.0172,103.65,275.7,3,68000,16.5
18,71900,1.423696,-33.197292,32.1309,7.4927,0.9901,333.51,484.0,1,72000,17.9
19,75900,1.463713,-35.322608,34.2694,8.2757,1.0730,297.40,627.0,3,76000,19.1
20,79900,,,,,,136.57,194.0,3,80000,19.3
21,83900,1.462520,-37.422563,36.3797,8.3864,1.1467,137.16,399.5,2,84000,20.6
22,87900,1.430091,-39.451782,38.4278,8.2390,1.1165,179.34,203.0,2,88000,21.8
23,91900,1.456434,-41.370971,40.3643,8.2720,1.1386,150.79,444.0,2,92000,23.1
24,95900,1.425639,-43.245811,42.2440,8.0452,1.1896,241.40,485.5,2,96000,24.3
25,99900,,,,,,269.46,932.2,37,100000,24.6
26,103900,2.138558,-45.113103,44.1228,9.4005,1.2553,230.16,789.4,23,104000,25.9
27,107900,2.838315,-47.265193,46.2834,10.1345,1.2167,221.05,607.4,29,108000,27.1
28,111900,3.356729,-49.555389,48.5542,13.1578,1.3032,137.95,161.9,16,112000,28.4
29,115900,3.781253,-51.758366,50.7493,15.6204,1.3407,193.34,197.0,14,116000,29.6
30,119900,,,,,,96.50,93.2,6,120000,29.9
31,123900,3.769789,-53.907144,52.8821,15.5411,1.3231,243.09,236.4,16,124000,31.1
32,127900,4.261212,-55.920053,54.8986,18.5053,1.4369,122.96,115.1,10,128000,32.4
33,131900,4.062104,-57.883389,56.8538,18.6253,1.3973,110.22,119.7,3,132000,33.6
34,135900,4.052088,-59.758983,58.7146,17.8143,1.4871,182.92,167.0,3,136000,34.9
35,139900,,,,,,206.14,199.8,5,140000,35.1
36,143900,4.109654,-61.729604,60.6736,18.0787,1.4918,391.60,585.4,7,144000,36.4
37,147900,4.129511,-63.631871,62.5670,17.0955,1.5908,323.66,458.7,3,148000,37.6
38,151900,4.189177,-65.490487,64.4194,17.6451,1.5221,319.71,381.5,4,152000,38.9
39,155900,4.385146,-67.299802,66.2339,19.5280,1.5618,500.99,697.2,8,156000,40.1
40,159900,,,,,,360.37,297.8,8,160000,40.4
41,163900,4.694129,-69.071204,68.0013,19.7383,1.5174,249.43,451.4,5,164000,41.6
42,167900,5.045597,-70.755301,69.6813,22.1923,1.6585,317.79,355.0,5,168000,42.9
43,171900,4.776513,-72.431439,71.3475,20.9027,1.5602,446.38,847.5,2,172000,44.1
44,175900,5.080028,-74.112189,73.0237,21.4926,1.7291,476.90,407.8,5,176000,45.5
45,179900,,,,,,281.17,526.5,2,180000,45.7
46,183900,5.040921,-75.719778,74.6238,18.4190,1.6210,211.91,216.3,9,184000,47.0
47,187900,5.326845,-77.281938,76.1862,21.2803,1.7285,493.63,455.2,5,188000,48.3
48,191900,6.028941,-78.854923,77.7498,27.1050,1.8416,64.41,50.2,6,192000,49.5
49,195900,5.637905,-80.357048,79.2472,24.7364,1.7077,373.42,472.8,6,196000,50.9
50,199900,,,,,,233.11,512.0,2,200000,51.1
51,203900,6.242404,-81.822920,80.7111,26.0061,1.8570,519.26,879.6,19,204000,52.4
52,207900,6.485716,-83.483760,82.3640,23.7245,1.8138,447.98,780.5,17,208000,53.6
53,211900,7.433565,-85.119127,83.9950,28.1261,1.7492,221.60,377.7,15,212000,54.9
54,215900,7.745592,-86.805687,85.6811,26.7222,1.9014,303.45,397.4,12,216000,56.2
55,219900,,,,,,477.24,570.2,8,220000,56.5
56,223900,8.375731,-88.621247,87.4771,28.8661,1.9042,321.83,480.2,17,224000,57.7
57,227900,8.745892,-90.310671,89.1725,35.6635,1.9217,250.32,343.1,21,228000,59.0
58,231900,10.075625,-92.237585,91.0659,36.9077,1.9346,217.30,240.1,14,232000,60.3
59,235900,10.770565,-93.907052,92.7556,41.1234,2.0988,197.50,229.9,9,236000,61.6
60,239900,,,,,,350.50,587.0,4,240000,61.8
61,243900,9.856378,-95.602699,94.4406,40.0232,2.0642,334.18,512.1,9,244000,63.0
62,247900,10.644446,-97.184666,96.0196,39.5872,2.0667,255.58,262.6,8,248000,64.3
63,251900,10.527418,-98.941717,97.7919,40.7516,2.0994,359.15,493.8,5,252000,65.6
64,255900,10.986064,-100.459426,99.3077,43.8146,2.1542,387.29,428.1,8,256000,66.8
65,259900,,,,,,371.29,579.5,10,260000,67.1
66,263900,10.841070,-102.053120,100.8839,40.4479,2.2375,324.81,345.6,5,264000,68.3
