epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3999,,,,,,-74.30,181.1,22,4000,1.0
2,7999,,,,,,160.16,274.9,14,8000,2.5
3,11999,2.334071,-282.475007,270.1872,32.0714,5.1677,-34.61,275.5,15,12000,47.1
1,3900,,,,,,-11.35,24.4,31,4000,0.3
2,7900,,,,,,-11.70,45.5,13,8000,0.6
3,11900,0.482710,-2.178702,1.4986,1.8844,0.0281,17.75,90.8,24,12000,1.9
4,15900,0.748414,-3.413175,1.8674,3.7192,0.6103,,,0,16000,3.1
5,19900,,,,,,-97.97,146.7,3,20000,3.4
6,23900,1.031191,-5.977908,4.2335,6.1066,0.8151,,,0,24000,4.6
7,27900,1.054202,-9.169132,7.5511,7.0086,1.1926,,,0,28000,5.9
8,31900,0.999236,-12.228062,10.7839,7.2891,1.1976,,,0,32000,7.2
9,35900,0.920744,-15.084252,13.8192,6.6743,1.1075,,,0,36000,8.5
10,39900,,,,,,-5.52,302.0,3,40000,8.7
11,43900,1.005449,-17.822682,16.6747,6.5384,1.0828,27.76,344.0,2,44000,10.0
12,47900,1.147959,-20.505065,19.4400,6.2850,0.9542,83.91,464.5,4,48000,11.3
13,51900,1.344770,-22.985162,21.9738,6.9320,1.1206,66.97,351.0,4,52000,12.5
14,55900,1.322410,-25.330824,24.3592,7.3298,1.1694,217.23,538.0,1,56000,13.8
15,59900,,,,,,157.55,550.0,2,60000,14.0
16,63900,1.318574,-27.695978,26.7316,6.8338,1.0859,183.13,549.5,2,64000,15.3
17,67900,1.321583,-30.024972,29.0749,6.7924,1.0826,159.55,180.0,1,68000,16.7
18,71900,1.328990,-32.293196,31.3673,6.7614,1.0698,,,0,72000,17.9
19,75900,1.429256,-34.569420,33.6533,7.4323,1.0769,269.33,473.2,6,76000,19.2
20,79900,,,,,,297.29,580.0,4,80000,19.4
21,83900,1.489047,-36.861872,35.9314,7.3945,1.0482,348.74,826.5,2,84000,20.7
22,87900,1.571708,-39.122105,38.2019,7.9733,1.1458,314.04,475.4,7,88000,21.9
23,91900,1.707210,-41.362138,40.4458,8.5016,1.1433,496.44,872.2,4,92000,23.2
