epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,-11.35,25.3,29,19,4000,0.3
2,7900,,,,,,,-23.31,45.4,14,5,8000,0.6
3,11900,0.465330,-1.875657,1.3712,1.7349,0.0270,0.0096,18.53,92.0,6,1,12000,2.3
4,15900,0.793725,-1.431459,0.8130,3.1300,0.2734,0.0000,-96.80,140.5,2,1,16000,3.9
5,19900,,,,,,,,,0,0,20000,4.1
6,23900,0.810030,-1.325104,-0.1781,3.9972,0.7782,0.0000,-237.27,226.0,1,1,24000,5.8
7,27900,1.176682,-2.815578,1.0488,5.9714,1.4062,0.0000,-120.07,127.5,2,1,28000,7.3
8,31900,1.333688,-4.512502,2.8337,6.9972,1.5653,0.0000,-10.46,35.0,1,0,32000,8.9
9,35900,1.157929,-7.069819,5.4417,7.4108,1.3117,0.0154,,,0,0,36000,10.5
10,39900,,,,,,,,,0,0,40000,10.8
11,43900,1.058254,-9.262034,7.8428,7.1152,1.1807,0.0270,,,0,0,44000,12.4
12,47900,0.933625,-11.355541,10.0580,6.7145,1.1487,0.0296,,,0,0,48000,14.0
13,51900,0.840173,-13.398658,12.1953,6.3831,1.1045,0.0345,,,0,0,52000,15.6
14,55900,0.787266,-15.272987,14.1697,6.2022,1.1595,0.0343,-143.41,527.0,1,0,56000,17.2
15,59900,,,,,,,,,0,0,60000,17.4
16,63900,0.755701,-17.059079,16.0347,6.2097,1.2419,0.0388,-170.83,594.0,2,0,64000,19.1
17,67900,0.785354,-18.673302,17.7520,6.2340,1.1452,0.0441,50.85,147.0,1,0,68000,20.7
18,71900,0.796535,-20.126121,19.2880,6.2581,1.1603,0.0486,-3.84,15.0,1,1,72000,22.3
19,75900,0.746845,-21.483475,20.7196,6.0865,1.1632,0.0523,66.30,129.0,1,1,76000,23.9
20,79900,,,,,,,,,0,0,80000,24.1
21,83900,0.736399,-22.786077,22.0657,6.0261,1.1764,0.0552,-238.52,826.0,1,1,84000,25.7
22,87900,0.698435,-24.040764,23.3564,5.7115,1.1037,0.0581,62.69,140.5,2,0,88000,27.3
23,91900,0.707507,-25.266676,24.6123,5.7275,1.1053,0.0621,70.70,137.0,1,0,92000,28.9
24,95900,0.651028,-26.425825,25.8079,5.4408,1.0859,0.0635,,,0,0,96000,30.5
25,99900,,,,,,,187.65,1000.0,50,17,100000,30.8
26,103900,1.007897,-27.535225,26.9547,5.6661,1.1162,0.0667,162.99,756.8,32,13,104000,32.4
27,107900,1.627445,-28.779268,28.2511,7.5215,1.1700,0.0727,111.15,454.6,28,14,108000,34.1
28,111900,1.770782,-29.961767,29.4747,7.2607,1.1664,0.0724,115.39,467.4,14,6,112000,35.7
29,115900,1.819531,-31.080447,30.5926,6.9699,1.1947,0.0752,175.39,470.2,5,3,116000,37.4
30,119900,,,,,,,19.78,71.0,2,1,120000,37.6
31,123900,1.868921,-32.229480,31.7382,6.5986,1.1868,0.0774,240.11,490.0,3,2,124000,39.2
32,127900,1.803288,-33.392592,32.8954,6.5301,1.2617,0.0807,122.65,161.0,1,0,128000,40.8
33,131900,1.965299,-34.562402,34.0503,6.6534,1.2922,0.0833,395.71,641.5,2,1,132000,42.5
34,135900,1.900414,-35.736845,35.2321,6.3737,1.2929,0.0870,,,0,0,136000,44.1
35,139900,,,,,,,220.99,339.2,6,2,140000,44.4
36,143900,2.063714,-36.817826,36.3303,6.8609,1.2925,0.0934,215.30,319.6,5,1,144000,46.0
37,147900,2.119211,-37.882709,37.3973,7.1922,1.3125,0.0976,172.57,252.3,11,5,148000,47.6
38,151900,2.243919,-38.948205,38.4746,7.5899,1.3483,0.1004,292.57,475.5,2,1,152000,49.3
39,155900,2.256039,-39.962093,39.4929,7.9128,1.2067,0.1054,211.62,296.0,4,3,156000,50.9
40,159900,,,,,,,248.91,301.5,2,0,160000,51.1
41,163900,2.216638,-40.987047,40.5107,7.8571,1.3738,0.1084,239.25,302.6,5,2,164000,52.8
42,167900,2.338732,-41.961495,41.4941,8.0320,1.3269,0.1122,197.51,227.0,2,1,168000,54.5
43,171900,2.557897,-42.891408,42.4267,8.7413,1.2668,0.1198,327.05,418.8,8,4,172000,56.1
44,175900,2.479525,-43.810236,43.3654,9.0270,1.3530,0.1253,94.97,234.5,4,2,176000,57.7
45,179900,,,,,,,128.99,174.0,2,2,180000,57.9
46,183900,2.536481,-44.719744,44.2675,9.2250,1.3949,0.1282,292.61,428.5,2,2,184000,59.6
47,187900,2.505212,-45.562173,45.1185,8.9835,1.3812,0.1281,371.08,571.8,4,2,188000,61.2
48,191900,2.510126,-46.362500,45.9254,8.5697,1.3749,0.1288,511.75,841.0,2,2,192000,62.8
49,195900,2.587474,-47.090532,46.6781,8.9523,1.4021,0.1327,257.27,335.0,3,2,196000,64.4
50,199900,,,,,,,286.74,316.0,5,4,200000,64.7
51,203900,2.851162,-47.875811,47.4561,9.8507,1.4864,0.1401,503.07,909.3,39,20,204000,66.4
52,207900,3.240775,-48.695547,48.2926,10.6827,1.4579,0.1425,552.27,821.8,16,10,208000,68.1
53,211900,3.518064,-49.558157,49.1481,11.5416,1.4736,0.1449,494.10,715.5,13,7,212000,69.7
54,215900,3.564154,-50.506615,50.0753,10.7896,1.4744,0.1487,355.14,555.5,6,4,216000,71.3
55,219900,,,,,,,324.99,309.0,3,2,220000,71.6
56,223900,3.776568,-51.458384,51.0352,11.4942,1.5020,0.1538,301.88,433.3,3,3,224000,73.2
57,227900,3.771835,-52.412501,51.9828,11.8664,1.5295,0.1569,209.70,189.8,4,3,228000,74.9
58,231900,3.792998,-53.363828,52.9272,11.8617,1.4866,0.1623,502.57,559.2,5,2,232000,76.6
59,235900,3.961328,-54.294771,53.8503,11.8352,1.6092,0.1682,305.79,254.3,6,3,236000,78.2
60,239900,,,,,,,342.45,380.2,12,6,240000,78.4
61,243900,4.177907,-55.311231,54.8576,13.6232,1.5631,0.1753,331.00,403.8,14,8,244000,80.1
62,247900,4.352995,-56.320403,55.8674,14.1751,1.5722,0.1772,382.52,529.9,14,7,248000,81.8
63,251900,4.675142,-57.281415,56.8244,15.8266,1.6002,0.1795,140.01,116.4,11,7,252000,83.5
64,255900,4.810802,-58.244839,57.7975,15.6544,1.7451,0.1853,324.95,367.0,12,6,256000,85.1
