epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,-7.53,24.9,37,18,4000,0.3,,,
2,7900,,,,,,,-10.36,45.8,11,5,8000,0.6,,,
3,11900,0.470525,-1.394909,0.9426,1.9343,0.1338,0.0032,22.80,97.5,13,9,12000,2.3,,,
4,15900,0.809379,-2.140086,0.8796,3.9622,0.4880,0.0000,,,0,0,16000,4.0,,,
5,19900,,,,,,,,,0,0,20000,4.2,,,
6,23900,0.966644,-1.979929,0.9285,6.1013,1.0295,0.0000,-76.34,162.2,9,3,24000,5.8,,,
7,27900,1.251591,-4.054593,3.0343,7.8231,1.6371,0.0000,-69.91,236.5,2,1,28000,7.5,,,
8,31900,1.254031,-6.250439,5.1564,8.2226,1.4854,0.0000,,,0,0,32000,9.1,,,
9,35900,1.121149,-8.696938,7.6482,8.2643,1.2924,0.0000,,,0,0,36000,10.7,,,
10,39900,,,,,,,16.68,269.0,1,0,40000,11.0,,,
11,43900,1.005719,-11.099572,10.1204,7.1522,1.0821,0.0000,86.30,355.0,7,7,44000,12.6,,,
12,47900,1.067286,-13.544334,12.6271,7.3050,0.9873,0.0000,94.54,363.6,5,2,48000,14.5,0.711903,0.598603,0.056650
13,51900,1.169976,-15.998053,15.1333,7.6619,0.9791,0.0000,121.17,373.4,9,4,52000,16.4,0.364590,0.261393,0.051598
14,55900,1.249151,-18.353255,17.5314,7.6525,1.0485,0.0000,168.42,356.0,8,5,56000,18.3,0.227470,0.135874,0.045798
15,59900,,,,,,,117.53,251.4,5,3,60000,18.5,,,
16,63900,1.247817,-20.621848,19.8294,7.5731,1.0485,0.0000,154.09,582.5,2,1,64000,20.4,0.201076,0.125789,0.037643
17,67900,1.279132,-22.882471,22.0903,7.7007,1.0833,0.0000,287.88,652.0,1,0,68000,22.3,0.146737,0.101373,0.022682
18,71900,1.313252,-25.129727,24.3553,7.8034,1.0411,0.0000,,,0,0,72000,24.1,0.039818,0.014109,0.012854
19,75900,1.313875,-27.381608,26.5999,7.7154,1.0463,0.0000,171.09,205.0,1,1,76000,26.0,0.026187,0.008746,0.008720
20,79900,,,,,,,293.71,388.0,4,3,80000,26.2,,,
21,83900,1.383623,-29.568995,28.7905,8.0190,1.1039,0.0000,442.18,767.5,2,1,84000,28.2,0.060112,0.043040,0.008536
22,87900,1.401738,-31.690195,30.9092,8.3699,1.1910,0.0000,239.45,280.0,1,0,88000,30.0,0.057154,0.044001,0.006577
23,91900,1.410200,-33.840521,33.0441,8.5260,1.2332,0.0000,340.93,456.0,5,2,92000,31.9,0.017134,0.007624,0.004755
24,95900,1.504425,-35.959247,35.1775,9.1901,1.1256,0.0000,44.67,41.0,1,1,96000,33.8,0.046944,0.034743,0.006100
25,99900,,,,,,,428.69,969.2,35,21,100000,34.0,,,
26,103900,1.901873,-38.032983,37.2378,9.9095,1.1454,0.0000,379.37,878.2,16,8,104000,36.0,0.272645,0.230715,0.020965
27,107900,2.309248,-40.303202,39.5318,10.2209,1.2110,0.0129,273.21,486.0,14,3,108000,37.9,0.101935,0.078917,0.011509
28,111900,2.484777,-42.206119,41.5887,11.4793,1.3402,0.0579,371.82,570.2,15,8,112000,39.8,0.057193,0.039411,0.008891
29,115900,3.033807,-43.973296,43.3920,13.4821,1.3819,0.0615,142.15,123.6,11,6,116000,41.8,0.066125,0.049477,0.008324
30,119900,,,,,,,128.33,104.4,8,4,120000,42.0,,,
31,123900,3.005149,-45.649136,45.0708,14.1647,1.4082,0.0682,576.20,802.2,4,2,124000,44.0,0.149052,0.121772,0.013640
32,127900,3.023581,-47.307967,46.7494,13.1370,1.3745,0.0797,293.92,250.3,7,1,128000,45.9,0.079006,0.058093,0.010456
33,131900,3.278218,-48.842869,48.3072,15.0359,1.4123,0.0895,529.00,534.0,2,2,132000,47.8,0.058193,0.041949,0.008122
34,135900,3.246658,-50.238151,49.7098,14.5370,1.4277,0.0950,219.47,182.5,2,1,136000,49.7,0.041006,0.029007,0.006000
35,139900,,,,,,,464.38,427.0,6,2,140000,49.9,,,
36,143900,3.381021,-51.593468,51.0815,14.5581,1.5701,0.1027,455.68,608.6,11,6,144000,51.8,0.045283,0.035996,0.004643
37,147900,3.668103,-52.915496,52.4094,16.4921,1.5778,0.1100,375.92,408.0,11,5,148000,53.7,0.107616,0.091840,0.007888
38,151900,3.849842,-54.146129,53.6565,16.5859,1.6436,0.1207,464.26,562.0,10,6,152000,55.7,0.042343,0.031915,0.005214
39,155900,4.280591,-55.477140,54.9678,20.0920,1.6043,0.1289,319.61,352.3,6,2,156000,57.6,0.062091,0.051320,0.005386
40,159900,,,,,,,415.53,478.8,8,5,160000,57.8,,,
41,163900,4.365920,-56.723463,56.2109,19.4633,1.6221,0.1337,429.35,529.6,5,2,164000,59.7,0.077965,0.066710,0.005627
42,167900,4.417001,-57.937467,57.4109,19.5278,1.7609,0.1435,259.86,168.5,6,2,168000,61.6,0.061222,0.050024,0.005599
43,171900,4.801932,-59.156654,58.6179,21.7640,1.7706,0.1484,212.74,125.2,5,1,172000,63.5,0.029788,0.022485,0.003652
44,175900,4.893374,-60.416380,59.8611,22.4775,1.7605,0.1579,410.70,495.0,2,2,176000,65.4,0.023612,0.017147,0.003232
45,179900,,,,,,,355.83,534.0,4,1,180000,65.7,,,
46,183900,5.000788,-61.513920,60.9808,23.2852,1.8569,0.1627,368.48,451.7,6,4,184000,67.6,0.051098,0.044068,0.003515
47,187900,4.991010,-62.721417,62.1613,21.6455,1.8095,0.1646,,,0,0,188000,69.5,0.020322,0.014007,0.003158
48,191900,4.915010,-63.968553,63.4038,20.2745,1.7692,0.1715,604.37,829.2,4,2,192000,71.4,0.007415,0.002960,0.002228
49,195900,5.183769,-65.111977,64.5452,24.2035,1.8890,0.1772,514.36,473.2,5,2,196000,73.3,0.042708,0.035597,0.003555
50,199900,,,,,,,,,0,0,200000,73.5,,,
51,203900,5.560916,-66.328947,65.7854,24.8245,1.8401,0.1822,666.18,1001.0,21,14,204000,75.4,0.115649,0.102430,0.006609
52,207900,5.858692,-67.650015,67.0658,23.3501,1.8980,0.1872,648.19,807.4,11,7,208000,77.4,0.079277,0.068387,0.005445
53,211900,5.739455,-69.128548,68.5330,22.3968,1.8889,0.1908,598.70,822.8,8,3,212000,79.4,0.043058,0.035557,0.003751
54,215900,5.731020,-70.713247,70.1175,24.1457,1.8892,0.1976,378.47,716.0,3,3,216000,81.3,0.026762,0.020413,0.003175
55,219900,,,,,,,633.27,782.5,4,2,220000,81.5,,,
56,223900,6.056752,-72.338895,71.7253,23.5218,1.8747,0.2029,574.34,591.9,9,3,224000,83.5,0.033468,0.027431,0.003018
57,227900,6.818357,-74.113243,73.4663,28.0800,1.9356,0.2153,479.96,420.6,14,8,228000,85.4,0.043868,0.035780,0.004044
58,231900,7.103342,-75.802645,75.1649,25.3319,1.9566,0.2127,632.07,470.8,6,4,232000,87.3,0.038089,0.031416,0.003336
59,235900,7.565424,-77.467706,76.8403,30.0430,2.0462,0.2296,196.78,99.0,3,3,236000,89.2,0.018431,0.013467,0.002482
60,239900,,,,,,,872.88,721.4,7,1,240000,89.4,,,
61,243900,7.788166,-79.098068,78.4478,29.2861,2.0865,0.2356,574.69,585.4,10,7,244000,91.3,0.039395,0.033090,0.003153
62,247900,8.138893,-80.695089,80.0237,31.7629,2.1051,0.2418,587.13,616.8,13,8,248000,93.3,0.090259,0.078843,0.005708
63,251900,8.708673,-82.525982,81.8682,31.8953,2.1907,0.2483,442.73,405.4,8,3,252000,95.2,0.050752,0.042629,0.004062
64,255900,9.362722,-84.112618,83.4446,35.7473,2.2240,0.2603,598.09,473.0,10,5,256000,97.1,0.073785,0.063190,0.005298
65,259900,,,,,,,410.50,412.1,7,2,260000,97.3,,,
66,263900,10.343933,-85.955344,85.2466,41.1148,2.2999,0.2729,666.57,576.3,11,4,264000,99.2,0.055366,0.046841,0.004262
67,267900,10.574776,-87.662568,86.9518,40.2674,2.2649,0.2772,291.36,371.4,7,5,268000,101.2,0.060650,0.051348,0.004651
68,271900,10.579636,-89.568052,88.8474,41.9355,2.4007,0.2902,412.94,200.3,3,2,272000,103.2,0.020576,0.015501,0.002537
69,275900,11.327488,-91.423496,90.6906,41.4595,2.5051,0.2931,,,0,0,276000,105.3,0.023270,0.018229,0.002520
70,279900,,,,,,,787.95,352.5,6,3,280000,105.5,,,
71,283900,11.518155,-93.129375,92.3726,45.7258,2.4666,0.3118,508.01,360.1,7,6,284000,107.5,0.020257,0.015587,0.002335
72,287900,12.161175,-94.669499,93.9276,49.8986,2.5393,0.3263,832.08,369.9,11,1,288000,109.5,0.033149,0.027538,0.002806
73,291900,12.984034,-96.258416,95.5066,54.1635,2.4366,0.3305,1240.12,696.4,7,4,292000,111.4,0.046152,0.038978,0.003587
74,295900,13.566773,-97.906012,97.1291,54.2549,2.6001,0.3413,797.35,873.2,4,4,296000,113.5,0.060858,0.052769,0.004044
75,299900,,,,,,,1010.74,494.0,3,1,300000,113.7,,,
76,303900,13.829467,-99.574676,98.8233,51.5465,2.7491,0.3548,899.29,760.4,15,7,304000,115.6,0.026847,0.021405,0.002721
77,307900,14.799044,-101.346756,100.5533,54.6851,2.7172,0.3612,899.56,843.0,6,3,308000,117.7,0.076974,0.067035,0.004970
78,311900,15.256782,-103.110161,102.3262,53.7400,2.8358,0.3762,1084.63,766.5,4,2,312000,119.8,0.028723,0.023090,0.002817
79,315900,16.182949,-104.887645,104.1178,57.9786,2.7594,0.3926,800.44,453.3,3,2,316000,121.8,0.026057,0.020519,0.002769
80,319900,,,,,,,608.04,522.0,2,1,320000,122.0,,,
81,323900,15.432949,-106.678324,105.9029,53.8695,2.8382,0.3837,1047.38,1001.0,5,4,324000,124.2,0.018643,0.014039,0.002302
82,327900,16.885373,-108.450460,107.6504,60.2848,2.9485,0.4017,1375.81,1001.0,5,3,328000,126.1,0.039821,0.033365,0.003228
83,331900,17.623644,-110.354575,109.5635,67.1253,2.9570,0.4155,371.42,356.2,4,1,332000,128.0,0.034851,0.029335,0.002758
84,335900,16.605369,-112.155396,111.3591,60.4524,2.9078,0.4200,1293.24,860.3,3,1,336000,130.0,0.028489,0.023407,0.002541
85,339900,,,,,,,1091.50,490.6,5,3,340000,130.2,,,
86,343900,17.670710,-113.935390,113.1525,63.9322,3.1723,0.4334,1329.83,907.0,5,3,344000,132.1,0.059553,0.050818,0.004367
87,347900,18.572217,-115.999461,115.2117,67.2635,3.1466,0.4343,981.73,826.0,5,2,348000,134.0,0.046115,0.039550,0.003282
88,351900,18.925845,-117.898725,117.0517,73.8679,3.1216,0.4606,1534.33,645.0,4,2,352000,136.0,0.028224,0.023326,0.002449
