step,episode_return,has_disturbance
1200,-14.025776670815123,0
1200,3.1388819280084483,0
1300,-6.5343168351633025,1
1700,-13.107981858126246,1
1800,4.37586411848051,1
1900,7.56264044487189,0
2000,-3.172130157264368,0
2100,-5.219898050611184,1
2100,-12.47994828245803,1
2100,-13.934759718822239,0
2300,-15.968158568884828,0
2300,-29.621068327577937,1
2400,-18.148188410258413,1
2400,-23.88931638072802,0
2500,-9.591442194242884,0
2700,7.323893545613204,0
2800,0.23446900048350372,0
2900,-22.005366182765425,0
2900,-15.00075096542028,0
3100,6.5071277579322295,0
3100,-5.404176406266311,1
3200,6.670499811673748,0
3600,-19.346448420990587,0
3600,-34.966922590396734,1
3700,1.5841405150578498,0
3700,-17.67190142865923,1
3700,-33.776617823992744,0
3800,-8.271167138944046,0
4000,-16.733147467570916,1
4100,-3.8557412165669174,0
4100,-25.113215065271238,0
4200,-15.149892697818078,1
4200,-65.22815941153858,1
4300,-29.213952797813892,1
4400,4.333611598085792,0
4600,-10.71530989928018,1
4700,9.706328707469856,0
4900,-13.568117435150915,1
4900,-4.073011070003558,0
4900,-23.521330388184516,1
5100,-11.190691858563289,1
5100,-27.86247279026577,1
5200,-16.934328524942714,0
5500,5.056207348367371,1
15500,-90.5829348759485,0
15500,-61.852355885460334,0
15500,-101.71315821903738,0
15500,-122.99743770939342,0
15500,-106.47305496954863,0
15500,-102.567850753068,1
15500,-79.18397806714687,1
15500,-79.30705431878599,0
15500,-127.1447245036018,0
15500,-131.04302770003358,1
15500,-112.78306812933866,0
15600,-109.90923617029256,0
15600,-98.51078736022882,0
15600,-80.09873866482512,0
15600,-118.86398901820972,1
15600,-121.21627017037042,0
15600,-92.271206386264,0
15600,-113.95781871286944,0
15700,-101.33580328464993,0
15700,-94.8466061103145,1
15700,-107.5449892579228,0
15700,-123.15905999450922,1
15700,-98.83489999526003,0
15700,-92.17782872820534,1
15700,-106.25024039427629,0
15800,-102.55409040351549,1
22900,-166.65306638051118,0
24200,-330.2166697422075,0
25300,-181.23454036505342,0
25400,-280.58447933026116,1
25400,-313.0124838710591,1
25400,-363.30999383971914,1
25400,-285.71474139273823,1
25400,-316.13117746538586,0
25400,-217.75854258399636,0
25400,-304.5831018895901,0
25400,-50.577242405569436,0
25400,-305.20762488098836,1
25400,-310.44668314952156,1
25400,-272.1055212934072,1
25400,-339.41008417671577,0
25400,-297.5043552148543,0
25400,-313.9620016904186,0
25400,-313.2721436352102,1
25500,-169.06252343501035,1
25500,-316.44905594457515,1
