epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,-8.87,21.9,26,4000,0.3
2,7900,,,,,,-18.53,42.2,19,8000,0.6
3,11900,0.475271,-1.922557,1.2811,1.7943,0.0943,23.73,81.8,12,12000,2.0
4,15900,0.785668,-2.514687,1.8554,3.3779,0.1869,,,0,16000,3.2
5,19900,,,,,,,,0,20000,3.5
6,23900,1.144580,-3.710544,1.6375,5.6506,0.9954,-192.10,184.0,5,24000,4.8
7,27900,1.069961,-6.651671,4.3242,6.1878,1.3947,-127.48,241.0,1,28000,6.1
8,31900,1.048986,-9.736818,7.6253,6.1200,1.6040,,,0,32000,7.3
9,35900,0.985350,-12.775243,10.9275,6.4079,1.3507,,,0,36000,8.7
10,39900,,,,,,-203.62,371.5,2,40000,8.9
11,43900,0.997720,-15.512942,13.8513,6.2418,1.4637,-169.16,304.0,3,44000,10.2
12,47900,1.080343,-18.215701,16.6894,6.6579,1.4445,-48.28,373.7,3,48000,11.5
13,51900,1.136659,-20.697335,19.3042,6.1873,1.2980,-48.31,379.8,4,52000,12.7
14,55900,1.172133,-23.085919,21.7582,6.4208,1.3188,-19.07,438.0,4,56000,14.0
15,59900,,,,,,33.58,480.6,7,60000,14.2
16,63900,1.322175,-25.436431,24.1721,7.1664,1.2359,-14.50,320.4,8,64000,15.5
17,67900,1.386377,-27.765197,26.5469,6.9625,1.1906,56.49,540.0,1,68000,16.9
18,71900,1.340146,-30.064542,28.8999,7.0151,1.1488,-27.30,690.0,1,72000,18.1
19,75900,1.353744,-32.317642,31.1782,6.6639,1.1405,171.91,483.0,2,76000,19.5
20,79900,,,,,,49.61,782.5,4,80000,19.7
21,83900,1.433155,-34.567434,33.4425,7.1504,1.2218,119.54,299.3,3,84000,21.0
22,87900,1.510783,-36.805752,35.6922,7.4381,1.2137,214.89,209.0,2,88000,22.3
23,91900,1.569370,-38.984747,37.8749,7.5599,1.2315,247.65,438.3,3,92000,23.5
24,95900,1.649687,-41.126772,40.0248,8.5038,1.2286,160.22,928.5,2,96000,24.8
25,99900,,,,,,191.50,952.7,38,100000,25.1
26,103900,2.123559,-43.205995,42.1064,9.2444,1.2978,195.37,656.8,19,104000,26.3
27,107900,2.627372,-45.530249,44.4350,10.2714,1.3443,177.37,581.3,17,108000,27.6
28,111900,2.922827,-47.887252,46.7862,12.5131,1.3446,347.22,695.5,6,112000,28.9
29,115900,3.108924,-50.198225,49.1018,12.6272,1.3469,185.41,234.4,9,116000,30.3
30,119900,,,,,,283.95,238.0,5,120000,30.5
31,123900,3.092861,-52.521172,51.4351,14.3972,1.3804,342.75,432.8,12,124000,31.8
32,127900,3.417464,-54.828585,53.7315,14.5638,1.4101,255.38,257.8,9,128000,33.0
33,131900,3.538203,-57.084883,55.9872,14.9749,1.4585,196.35,146.5,4,132000,34.3
34,135900,3.887572,-59.329729,58.2038,16.4482,1.4958,394.93,320.8,4,136000,35.7
35,139900,,,,,,315.86,301.7,13,140000,35.9
36,143900,4.338893,-61.476635,60.3536,17.4367,1.5220,713.84,1001.0,1,144000,37.2
37,147900,4.252080,-63.576322,62.4400,18.8548,1.5538,267.34,345.4,5,148000,38.5
38,151900,4.455674,-65.618841,64.4739,19.5011,1.6754,455.61,412.6,7,152000,39.8
39,155900,4.727907,-67.633831,66.4767,19.5972,1.6482,403.77,481.1,9,156000,41.1
40,159900,,,,,,405.65,545.4,7,160000,41.3
41,163900,4.996598,-69.652053,68.4847,21.3972,1.6592,498.69,849.8,5,164000,42.6
42,167900,5.060033,-71.682628,70.5072,21.4213,1.7449,106.45,81.3,3,168000,43.9
43,171900,4.930029,-73.641419,72.4726,20.4757,1.7498,377.48,271.3,3,172000,45.2
44,175900,5.545481,-75.596236,74.4252,25.3921,1.7951,227.10,220.2,11,176000,46.5
45,179900,,,,,,262.34,423.8,6,180000,46.7
46,183900,5.839989,-77.462608,76.2775,25.3471,1.7446,355.48,335.5,11,184000,47.9
47,187900,6.176179,-79.209908,78.0373,27.4273,1.7591,443.61,461.5,4,188000,49.2
48,191900,6.492029,-81.044653,79.8592,27.3693,1.7703,402.14,390.8,5,192000,50.5
49,195900,6.445256,-82.778406,81.5946,28.2623,1.8493,516.64,474.8,5,196000,51.8
50,199900,,,,,,85.95,73.0,2,200000,52.0
51,203900,7.004512,-84.437399,83.2415,28.2964,1.7983,439.24,773.2,34,204000,53.3
52,207900,7.488572,-86.303465,85.1019,30.1575,1.7938,360.93,614.4,16,208000,54.6
53,211900,8.418248,-88.298167,87.0757,35.7276,1.8944,304.40,363.9,12,212000,55.9
54,215900,8.752728,-90.150775,88.9178,35.3545,1.8939,309.56,547.8,8,216000,57.1
55,219900,,,,,,47.04,64.0,1,220000,57.4
56,223900,8.477920,-92.022920,90.7915,31.1246,2.0335,352.73,454.8,6,224000,58.7
57,227900,9.243279,-93.732425,92.4905,36.8007,1.9426,432.65,726.8,8,228000,59.9
58,231900,9.335950,-95.497032,94.2646,36.1688,2.0212,293.43,595.5,4,232000,61.2
59,235900,9.700208,-97.243254,96.0167,36.6218,2.0857,200.15,369.0,7,236000,62.5
60,239900,,,,,,484.27,597.4,8,240000,62.7
61,243900,9.674876,-99.060663,97.8281,37.8706,2.0420,280.36,285.7,9,244000,64.0
62,247900,9.950132,-100.719149,99.4892,37.5769,2.0718,414.37,570.2,6,248000,65.3
63,251900,11.237723,-102.303782,101.0564,39.6337,2.0394,416.28,482.0,13,252000,66.5
64,255900,11.043304,-104.029609,102.7941,45.8908,2.1898,466.99,483.4,7,256000,67.8
65,259900,,,,,,287.62,374.1,11,260000,68.1
66,263900,11.869884,-105.717805,104.4668,45.5938,2.0848,319.68,335.0,7,264000,69.3
67,267900,11.496323,-107.335305,106.0802,41.6411,2.0997,541.80,346.2,6,268000,70.7
68,271900,12.026349,-108.857358,107.5991,42.0332,2.1786,347.61,214.6,5,272000,72.0
69,275900,11.964936,-110.507473,109.2411,45.1561,2.1004,344.75,691.4,5,276000,73.2
70,279900,,,,,,421.35,392.8,6,280000,73.5
71,283900,12.644910,-111.894556,110.6405,49.5929,2.1924,299.62,465.2,6,284000,74.8
72,287900,12.687986,-113.481957,112.2182,46.0955,2.1402,456.49,473.5,8,288000,76.0
73,291900,13.037382,-114.901156,113.6320,47.8519,2.2849,158.09,221.6,7,292000,77.3
74,295900,14.465981,-116.233421,114.9809,48.8844,2.3298,322.51,190.3,7,296000,78.6
75,299900,,,,,,316.46,531.4,5,300000,78.8
76,303900,14.107413,-117.547267,116.2674,56.5158,2.2074,555.32,947.4,17,304000,80.1
77,307900,14.807319,-118.955581,117.6821,53.4166,2.3530,494.42,751.0,11,308000,81.4
78,311900,15.578586,-120.401557,119.1411,58.1936,2.3391,614.21,615.7,16,312000,82.7
79,315900,15.729513,-121.920158,120.6541,54.1657,2.3784,326.90,445.2,8,316000,84.0
80,319900,,,,,,485.39,461.0,6,320000,84.2
81,323900,15.747061,-123.339062,122.0582,58.3049,2.3617,409.13,352.6,9,324000,85.5
82,327900,17.012417,-124.640719,123.3655,61.8031,2.4443,291.82,237.5,12,328000,86.7
83,331900,18.096540,-126.042606,124.7486,67.9672,2.4789,515.37,360.5,13,332000,88.1
84,335900,18.602094,-127.246673,125.9325,74.5656,2.5315,443.52,546.5,11,336000,89.3
85,339900,,,,,,412.47,434.1,7,340000,89.6
86,343900,18.053104,-128.566022,127.2577,65.2688,2.5870,916.14,781.2,5,344000,90.9
87,347900,19.396951,-129.781166,128.4503,80.3737,2.6016,520.26,448.3,6,348000,92.1
88,351900,18.993810,-131.194363,129.8423,75.6250,2.6056,545.18,410.6,13,352000,93.4
89,355900,19.160905,-132.489426,131.1566,68.1842,2.5431,338.99,242.4,11,356000,94.7
90,359900,,,,,,433.98,343.3,6,360000,94.9
91,363900,20.556787,-133.512192,132.1848,78.2605,2.5643,287.63,425.6,11,364000,96.3
92,367900,20.885148,-134.605891,133.2725,84.4437,2.7147,321.54,290.3,7,368000,97.6
93,371900,20.512126,-135.623585,134.2903,78.9241,2.6926,275.04,331.4,5,372000,98.9
94,375900,20.478707,-136.445553,135.1330,87.1342,2.6811,477.82,628.0,7,376000,100.1
95,379900,,,,,,325.81,364.8,9,380000,100.4
96,383900,21.160486,-137.419028,136.0990,84.3002,2.7590,483.33,414.4,13,384000,101.6
97,387900,22.561848,-138.350211,137.0253,83.9663,2.6513,376.22,457.0,6,388000,102.9
98,391900,22.103057,-139.136242,137.8131,90.2625,2.7830,218.51,348.6,9,392000,104.2
99,395900,22.745748,-140.139149,138.8105,84.7206,2.7223,246.94,376.0,7,396000,105.5
100,399900,,,,,,173.54,125.3,3,400000,105.7
