method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Ant-v5,1521.1574430493713,0.0,841.2,1,50,nan,,,,,,,,
vanilla,force,Ant-v5,139.22416389713868,0.0,89.76,1,50,26.923076923076923,,,,,,,,
vanilla,params,Ant-v5,1362.4767557486455,0.0,783.72,1,50,nan,,,,,,,,
vanilla,noise,Ant-v5,941.4596565229463,0.0,604.66,1,50,nan,,,,,,,,
vanilla,combined,Ant-v5,131.33300672685783,0.0,85.22,1,50,nan,,,,,,,,
rarl,nominal,Ant-v5,1206.6122729430622,0.0,612.64,1,50,nan,,,,,,,,
rarl,force,Ant-v5,155.9971774965724,0.0,81.58,1,50,19.333333333333332,,,,,,,,
rarl,params,Ant-v5,834.6130291464403,0.0,605.48,1,50,nan,,,,,,,,
rarl,noise,Ant-v5,957.4049237335983,0.0,577.96,1,50,nan,,,,,,,,
rarl,combined,Ant-v5,109.49535006137208,0.0,73.56,1,50,nan,,,,,,,,
sa_mdp,nominal,Ant-v5,865.8645954467917,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,force,Ant-v5,44.61287204006053,0.0,85.92,1,50,16.27777777777778,,,,,,,,
sa_mdp,params,Ant-v5,857.5557672966607,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,noise,Ant-v5,883.8305247749968,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,combined,Ant-v5,56.26463213033125,0.0,77.38,1,50,nan,,,,,,,,
dr,nominal,Ant-v5,2482.1663896868918,0.0,965.66,1,50,nan,,,,,,,,
dr,force,Ant-v5,154.11431666829765,0.0,83.46,1,50,32.81818181818182,,,,,,,,
dr,params,Ant-v5,2283.820388719323,0.0,928.72,1,50,nan,,,,,,,,
dr,noise,Ant-v5,1424.068111664682,0.0,805.26,1,50,nan,,,,,,,,
dr,combined,Ant-v5,128.78177654152915,0.0,75.28,1,50,nan,,,,,,,,
rzsm,nominal,Ant-v5,1544.0097952309754,0.0,870.28,1,50,nan,0.0,0.0,0.0,0.4860274854069955,0.0,22365.0,0.0,21149.0
rzsm,force,Ant-v5,115.38727589624128,0.0,88.08,1,50,15.4,0.06043956043956044,0.35135135135135137,0.10313739632167328,0.43528610354223435,143.0,2223.0,264.0,1774.0
rzsm,params,Ant-v5,1415.9428413688076,0.0,885.44,1,50,nan,1.0,0.540544813877846,0.7017579871853143,0.540544813877846,23931.0,0.0,20341.0,0.0
rzsm,noise,Ant-v5,1420.1510790846755,0.0,883.78,1,50,nan,1.0,0.5240670755165313,0.6877217990407888,0.5240670755165313,23158.0,0.0,21031.0,0.0
rzsm,combined,Ant-v5,128.86734096578925,0.0,87.2,1,50,nan,1.0,0.5052752293577981,0.6713393265275026,0.5052752293577981,2203.0,0.0,2157.0,0.0
