method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Ant-v5,1521.1574430493713,739.9161292237685,841.2,50,14.3,,,,,,,,
vanilla,force,seed_0,Ant-v5,139.22416389713868,138.55270346355667,89.76,50,1.5,,,,,,,,
vanilla,params,seed_0,Ant-v5,1362.4767557486455,722.3722595953913,783.72,50,13.0,,,,,,,,
vanilla,noise,seed_0,Ant-v5,941.4596565229463,667.9106059756546,604.66,50,10.5,,,,,,,,
vanilla,combined,seed_0,Ant-v5,131.33300672685783,116.05934837439476,85.22,50,1.5,,,,,,,,
rarl,nominal,seed_0,Ant-v5,1206.6122729430622,748.2117118991492,612.64,50,10.0,,,,,,,,
rarl,force,seed_0,Ant-v5,155.9971774965724,111.54562222538338,81.58,50,1.4,,,,,,,,
rarl,params,seed_0,Ant-v5,834.6130291464403,604.4724095304025,605.48,50,10.1,,,,,,,,
rarl,noise,seed_0,Ant-v5,957.4049237335983,551.7562810840192,577.96,50,10.0,,,,,,,,
rarl,combined,seed_0,Ant-v5,109.49535006137208,100.71777263638222,73.56,50,1.3,,,,,,,,
sa_mdp,nominal,seed_0,Ant-v5,865.8645954467917,23.381916673400507,1000.0,50,18.4,,,,,,,,
sa_mdp,force,seed_0,Ant-v5,44.61287204006053,122.91025274858318,85.92,50,1.5,,,,,,,,
sa_mdp,params,seed_0,Ant-v5,857.5557672966607,30.983066372836785,1000.0,50,17.9,,,,,,,,
sa_mdp,noise,seed_0,Ant-v5,883.8305247749968,20.079390711868914,1000.0,50,18.5,,,,,,,,
sa_mdp,combined,seed_0,Ant-v5,56.26463213033125,92.32505719419325,77.38,50,1.4,,,,,,,,
dr,nominal,seed_0,Ant-v5,2482.1663896868918,557.589511268244,965.66,50,16.1,,,,,,,,
dr,force,seed_0,Ant-v5,154.11431666829765,133.93812833808957,83.46,50,1.4,,,,,,,,
dr,params,seed_0,Ant-v5,2283.820388719323,524.8998084974893,928.72,50,15.7,,,,,,,,
dr,noise,seed_0,Ant-v5,1424.068111664682,690.894923839031,805.26,50,14.0,,,,,,,,
dr,combined,seed_0,Ant-v5,128.78177654152915,93.10122142395396,75.28,50,1.3,,,,,,,,
rzsm,nominal,seed_0,Ant-v5,1544.0097952309754,542.6498655920016,870.28,50,46.9,0.0,0.0,0.0,0.4860274854069955,0,22365,0,21149
rzsm,force,seed_0,Ant-v5,115.38727589624128,173.90665334798865,88.08,50,4.8,0.06043956043956044,0.35135135135135137,0.10313739632167328,0.43528610354223435,143,2223,264,1774
rzsm,params,seed_0,Ant-v5,1415.9428413688076,552.7149567981942,885.44,50,48.2,1.0,0.540544813877846,0.7017579871853143,0.540544813877846,23931,0,20341,0
rzsm,noise,seed_0,Ant-v5,1420.1510790846755,518.4354191392098,883.78,50,48.6,1.0,0.5240670755165313,0.6877217990407888,0.5240670755165313,23158,0,21031,0
rzsm,combined,seed_0,Ant-v5,128.86734096578925,142.71033531861062,87.2,50,4.8,1.0,0.5052752293577981,0.6713393265275026,0.5052752293577981,2203,0,2157,0
