method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Ant-v5,1028.320336108186,252.40700571505502,724.54,5,10,nan,,,,,,,,
vanilla,force,Ant-v5,320.20353366484045,126.35279936442492,203.92000000000002,5,10,27.242424242424242,,,,,,,,
vanilla,params,Ant-v5,1039.2318666881763,282.321416035032,818.0,5,10,nan,,,,,,,,
vanilla,noise,Ant-v5,1084.9547884875064,363.28906492124,734.9199999999998,5,10,nan,,,,,,,,
vanilla,combined,Ant-v5,232.26251875373646,56.56941965855037,170.95999999999998,5,10,nan,,,,,,,,
rarl,nominal,Ant-v5,1584.23914859164,353.127628320337,788.02,5,10,nan,,,,,,,,
rarl,force,Ant-v5,344.2481694055588,36.06452833113696,193.2,5,10,15.737301587301587,,,,,,,,
rarl,params,Ant-v5,1310.683139756076,183.17814926551077,741.58,5,10,nan,,,,,,,,
rarl,noise,Ant-v5,1348.9498065052378,403.03158230818366,730.8399999999999,5,10,nan,,,,,,,,
rarl,combined,Ant-v5,339.7122864998305,140.63325041958169,199.26,5,10,nan,,,,,,,,
sa_mdp,nominal,Ant-v5,2111.9485330272087,625.6219215361567,753.5800000000002,5,10,nan,,,,,,,,
sa_mdp,force,Ant-v5,529.659983025872,171.50509392643846,201.62,5,10,19.95642857142857,,,,,,,,
sa_mdp,params,Ant-v5,2021.433970241788,475.3091387714205,778.8,5,10,nan,,,,,,,,
sa_mdp,noise,Ant-v5,2105.2756008059305,915.8483666471626,777.2,5,10,nan,,,,,,,,
sa_mdp,combined,Ant-v5,482.77899834830885,133.16600402981808,212.42000000000002,5,10,nan,,,,,,,,
dr,nominal,Ant-v5,2157.126278982987,509.0491446826484,850.46,5,10,nan,,,,,,,,
dr,force,Ant-v5,368.3994829860625,96.79976854398336,160.89999999999998,5,10,8.723809523809525,,,,,,,,
dr,params,Ant-v5,1855.683552479403,459.7794191416339,774.0600000000001,5,10,nan,,,,,,,,
dr,noise,Ant-v5,2146.7650931285975,505.4597957890427,850.8399999999999,5,10,nan,,,,,,,,
dr,combined,Ant-v5,470.3033927310015,58.1722135552634,202.12000000000003,5,10,nan,,,,,,,,
rzsm,nominal,Ant-v5,1534.845824795461,277.0900651750332,853.22,5,10,nan,0.0,0.0,0.0,0.7593964800967661,0.0,2047.6,0.0,6484.6
rzsm,force,Ant-v5,414.9992922911164,113.04773798086057,255.11999999999998,5,10,14.558333333333332,0.034621759054515325,0.27958019954217395,0.061478723251932224,0.70499191621698,26.0,704.4,64.2,1756.6
rzsm,params,Ant-v5,1367.561015431089,378.4747846863159,845.3399999999999,5,10,nan,1.0,0.23596174887199667,0.37970898708850165,0.23596174887199667,2015.2,0.0,6438.2,0.0
rzsm,noise,Ant-v5,1427.9066369156292,391.29985809520946,842.9399999999999,5,10,nan,1.0,0.24060790311478236,0.3849377062728776,0.24060790311478236,2018.6,0.0,6410.8,0.0
rzsm,combined,Ant-v5,379.81873021847315,103.97989134896012,247.3,5,10,nan,1.0,0.2737513016282991,0.426082142511733,0.2737513016282991,690.4,0.0,1782.6,0.0
