method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Ant-v5,749.9016980495684,749.1997160996522,477.24,50,8.5,,,,,,,,
vanilla,nominal,seed_1,Ant-v5,724.5479910232689,521.2867459040582,576.42,50,11.1,,,,,,,,
vanilla,nominal,seed_2,Ant-v5,904.2719238794391,797.787700526276,453.38,50,8.0,,,,,,,,
vanilla,nominal,seed_3,Ant-v5,651.6383827673641,419.0935021768012,581.56,50,10.5,,,,,,,,
vanilla,nominal,seed_4,Ant-v5,688.1308188138523,507.4497053232737,592.6,50,10.9,,,,,,,,
vanilla,force,seed_0,Ant-v5,626.9935100130789,611.8436363659753,420.66,50,7.6,,,,,,,,
vanilla,force,seed_1,Ant-v5,534.3898674887947,454.1833825761104,497.76,50,8.7,,,,,,,,
vanilla,force,seed_2,Ant-v5,805.1119204420628,641.014023223064,493.84,50,9.0,,,,,,,,
vanilla,force,seed_3,Ant-v5,503.5265736942363,428.1581996963429,492.78,50,8.9,,,,,,,,
vanilla,force,seed_4,Ant-v5,591.3787924435898,420.2095262250616,474.92,50,8.2,,,,,,,,
vanilla,params,seed_0,Ant-v5,538.3014900520634,605.1847630680124,411.64,50,6.8,,,,,,,,
vanilla,params,seed_1,Ant-v5,572.9039006074786,446.9913751478741,620.94,50,10.6,,,,,,,,
vanilla,params,seed_2,Ant-v5,616.2250614220306,658.5437737021763,441.08,50,7.5,,,,,,,,
vanilla,params,seed_3,Ant-v5,612.3206838322673,557.4162438264462,498.64,50,8.6,,,,,,,,
vanilla,params,seed_4,Ant-v5,440.74300150067336,339.3702899161664,410.2,50,7.4,,,,,,,,
vanilla,noise,seed_0,Ant-v5,967.9031530655442,748.2347015239731,532.84,50,9.2,,,,,,,,
vanilla,noise,seed_1,Ant-v5,613.5081006243865,476.6197699234327,495.12,50,8.9,,,,,,,,
vanilla,noise,seed_2,Ant-v5,725.3559519051621,665.454337132462,390.64,50,7.1,,,,,,,,
vanilla,noise,seed_3,Ant-v5,432.09217351965367,437.215900721851,436.96,50,7.7,,,,,,,,
vanilla,noise,seed_4,Ant-v5,448.3228389764504,347.29968018278964,434.06,50,8.0,,,,,,,,
vanilla,combined,seed_0,Ant-v5,525.3747439588667,542.9302459867744,448.46,50,8.1,,,,,,,,
vanilla,combined,seed_1,Ant-v5,446.1231970218321,347.1533068149895,335.9,50,6.1,,,,,,,,
vanilla,combined,seed_2,Ant-v5,437.6709582483615,489.82312145986515,327.28,50,6.0,,,,,,,,
vanilla,combined,seed_3,Ant-v5,415.7083957095534,368.80320010329797,415.36,50,7.6,,,,,,,,
vanilla,combined,seed_4,Ant-v5,347.1537192757525,267.3116653205283,401.92,50,7.6,,,,,,,,
rarl,nominal,seed_0,Ant-v5,1454.2214399449479,767.9930036352853,749.2,50,13.1,,,,,,,,
