method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,HalfCheetah-v5,5030.770899291981,230.75611763075716,1000.0,5,250,nan,,,,,,,,
vanilla,force,HalfCheetah-v5,5023.244240858325,231.20833605493567,1000.0,5,250,7.177466204725349,,,,,,,,
vanilla,params,HalfCheetah-v5,4724.581516398345,284.76062516605606,1000.0,5,250,nan,,,,,,,,
vanilla,noise,HalfCheetah-v5,3906.191871590722,410.40432857203393,1000.0,5,250,nan,,,,,,,,
vanilla,combined,HalfCheetah-v5,3512.9052771654096,350.85482359284333,1000.0,5,250,nan,,,,,,,,
rarl,nominal,HalfCheetah-v5,5552.197025192216,193.41803257576402,1000.0,5,250,nan,,,,,,,,
rarl,force,HalfCheetah-v5,5533.57670050614,188.20324792142694,1000.0,5,250,8.052379635887684,,,,,,,,
rarl,params,HalfCheetah-v5,4984.002985294994,197.3076534915906,1000.0,5,250,nan,,,,,,,,
rarl,noise,HalfCheetah-v5,3930.7743035935937,557.4072339929522,1000.0,5,250,nan,,,,,,,,
rarl,combined,HalfCheetah-v5,3440.1187548706453,586.1041218935738,1000.0,5,250,nan,,,,,,,,
sa_mdp,nominal,HalfCheetah-v5,4714.37983063253,553.9761842980381,1000.0,5,250,nan,,,,,,,,
sa_mdp,force,HalfCheetah-v5,4695.656958799585,552.5283492657386,1000.0,5,250,8.643707445319382,,,,,,,,
sa_mdp,params,HalfCheetah-v5,4429.205894911371,478.8349394250741,1000.0,5,250,nan,,,,,,,,
sa_mdp,noise,HalfCheetah-v5,3853.818469945117,235.25208434203108,1000.0,5,250,nan,,,,,,,,
sa_mdp,combined,HalfCheetah-v5,3571.720661895021,182.95174424362165,1000.0,5,250,nan,,,,,,,,
dr,nominal,HalfCheetah-v5,4616.105863329678,389.44687204200085,1000.0,5,250,nan,,,,,,,,
dr,force,HalfCheetah-v5,4598.807879340052,377.1848498394497,1000.0,5,250,9.388695990340015,,,,,,,,
dr,params,HalfCheetah-v5,4419.43859012377,407.4984707306232,1000.0,5,250,nan,,,,,,,,
dr,noise,HalfCheetah-v5,3751.803349208539,452.7877397466869,1000.0,5,250,nan,,,,,,,,
dr,combined,HalfCheetah-v5,3538.081905917659,354.22066623542304,1000.0,5,250,nan,,,,,,,,
rzsm,nominal,HalfCheetah-v5,4008.545475784563,1324.2674796680578,1000.0,5,250,nan,0.0,0.0,0.0,0.6327472000000001,0.0,91813.2,0.0,158186.8
rzsm,force,HalfCheetah-v5,4011.8455145114267,1311.6192349980442,1000.0,5,250,10.170037977190642,0.035656610076641726,0.36202881276346993,0.06368548296592966,0.6209439999999999,3328.6,88894.4,5869.6,151907.4
rzsm,params,HalfCheetah-v5,3824.972947504312,1292.8436009576858,1000.0,5,250,nan,1.0,0.3659224,0.5222093075264883,0.3659224,91480.6,0.0,158519.4,0.0
rzsm,noise,HalfCheetah-v5,3275.0903251779914,1251.205261022687,1000.0,5,250,nan,1.0,0.4070496,0.5685749353340045,0.4070496,101762.4,0.0,148237.6,0.0
rzsm,combined,HalfCheetah-v5,3122.6653774409715,1145.0093157165381,1000.0,5,250,nan,1.0,0.4124784,0.5762078351185455,0.4124784,103119.6,0.0,146880.4,0.0
