method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,HalfCheetah-v5,3382.070836556931,33.27314498209243,1000.0,50,7.2,,,,,,,,
vanilla,nominal,seed_1,HalfCheetah-v5,2483.1757519140806,43.30346657579222,1000.0,50,7.1,,,,,,,,
vanilla,nominal,seed_2,HalfCheetah-v5,2719.0291541272413,35.960688508052826,1000.0,50,7.1,,,,,,,,
vanilla,nominal,seed_3,HalfCheetah-v5,2866.7245987142246,35.495487068390695,1000.0,50,7.0,,,,,,,,
vanilla,nominal,seed_4,HalfCheetah-v5,2801.541965820066,23.10248418765084,1000.0,50,7.0,,,,,,,,
vanilla,force,seed_0,HalfCheetah-v5,3383.1105523376887,40.88416791300551,1000.0,50,7.2,,,,,,,,
vanilla,force,seed_1,HalfCheetah-v5,2491.062556317322,35.54068064866472,1000.0,50,7.2,,,,,,,,
vanilla,force,seed_2,HalfCheetah-v5,2708.9294489524273,43.22822741799801,1000.0,50,7.3,,,,,,,,
vanilla,force,seed_3,HalfCheetah-v5,2870.4569919311616,35.21611691442588,1000.0,50,7.1,,,,,,,,
vanilla,force,seed_4,HalfCheetah-v5,2800.9115884010143,23.96016355002177,1000.0,50,7.1,,,,,,,,
vanilla,params,seed_0,HalfCheetah-v5,3166.3402155637405,206.9380437523843,1000.0,50,6.9,,,,,,,,
vanilla,params,seed_1,HalfCheetah-v5,2416.503763916943,189.44690208731666,1000.0,50,6.9,,,,,,,,
vanilla,params,seed_2,HalfCheetah-v5,2643.5460103294436,113.67231553853502,1000.0,50,7.0,,,,,,,,
vanilla,params,seed_3,HalfCheetah-v5,2757.823355909884,244.01576417880798,1000.0,50,7.0,,,,,,,,
vanilla,params,seed_4,HalfCheetah-v5,2733.3015066361536,180.32512776919182,1000.0,50,7.0,,,,,,,,
vanilla,noise,seed_0,HalfCheetah-v5,3241.3731881938293,61.04520693032229,1000.0,50,7.7,,,,,,,,
vanilla,noise,seed_1,HalfCheetah-v5,2436.626742016985,55.86106756937498,1000.0,50,7.6,,,,,,,,
vanilla,noise,seed_2,HalfCheetah-v5,2650.204471146904,75.08823569572063,1000.0,50,7.5,,,,,,,,
vanilla,noise,seed_3,HalfCheetah-v5,2764.6650562373375,61.60404292397435,1000.0,50,7.6,,,,,,,,
vanilla,noise,seed_4,HalfCheetah-v5,2738.8492468404597,55.96435069437752,1000.0,50,8.0,,,,,,,,
vanilla,combined,seed_0,HalfCheetah-v5,3002.605250995722,228.73993276814159,1000.0,50,8.2,,,,,,,,
vanilla,combined,seed_1,HalfCheetah-v5,2333.1020387522467,348.4629500244132,1000.0,50,8.0,,,,,,,,
vanilla,combined,seed_2,HalfCheetah-v5,2572.8340330886517,130.60124798399903,1000.0,50,8.1,,,,,,,,
vanilla,combined,seed_3,HalfCheetah-v5,2609.822947276215,331.7840036630843,1000.0,50,7.9,,,,,,,,
vanilla,combined,seed_4,HalfCheetah-v5,2627.862837366618,206.09467010039864,1000.0,50,7.8,,,,,,,,
rarl,nominal,seed_0,HalfCheetah-v5,2845.7829783047637,28.69474637955241,1000.0,50,6.8,,,,,,,,
rarl,nominal,seed_1,HalfCheetah-v5,2974.582185307347,30.033540583816023,1000.0,50,7.2,,,,,,,,
rarl,nominal,seed_2,HalfCheetah-v5,3333.7710904957853,47.49604581616783,1000.0,50,7.4,,,,,,,,
rarl,nominal,seed_3,HalfCheetah-v5,3543.0726876350986,43.162824419264346,1000.0,50,7.1,,,,,,,,
rarl,nominal,seed_4,HalfCheetah-v5,2867.8983967462486,17.05374501486474,1000.0,50,7.4,,,,,,,,
rarl,force,seed_0,HalfCheetah-v5,2837.2928007900314,25.04942238858111,1000.0,50,7.5,,,,,,,,
rarl,force,seed_1,HalfCheetah-v5,2984.868276290575,33.32812589951846,1000.0,50,7.1,,,,,,,,
rarl,force,seed_2,HalfCheetah-v5,3338.73805589677,51.93347177236047,1000.0,50,7.4,,,,,,,,
rarl,force,seed_3,HalfCheetah-v5,3526.58008993776,44.58171138182234,1000.0,50,7.5,,,,,,,,
rarl,force,seed_4,HalfCheetah-v5,2867.7399493539515,18.43473381236464,1000.0,50,7.2,,,,,,,,
rarl,params,seed_0,HalfCheetah-v5,2790.695421560042,98.80591338083991,1000.0,50,6.9,,,,,,,,
rarl,params,seed_1,HalfCheetah-v5,2986.234401966346,108.18760299008868,1000.0,50,6.9,,,,,,,,
rarl,params,seed_2,HalfCheetah-v5,3229.4169872520724,272.1449067863948,1000.0,50,6.8,,,,,,,,
rarl,params,seed_3,HalfCheetah-v5,3474.251927503195,174.7573601322689,1000.0,50,7.4,,,,,,,,
rarl,params,seed_4,HalfCheetah-v5,2841.81001313713,113.2080319771938,1000.0,50,7.7,,,,,,,,
rarl,noise,seed_0,HalfCheetah-v5,2727.485658173986,46.537998852832935,1000.0,50,7.5,,,,,,,,
rarl,noise,seed_1,HalfCheetah-v5,2785.061393694499,244.54643640831495,1000.0,50,7.4,,,,,,,,
rarl,noise,seed_2,HalfCheetah-v5,3209.515585775814,63.747741388174454,1000.0,50,7.4,,,,,,,,
rarl,noise,seed_3,HalfCheetah-v5,3398.5071275695077,55.38987741171696,1000.0,50,7.4,,,,,,,,
rarl,noise,seed_4,HalfCheetah-v5,2810.745429432531,24.3645764589665,1000.0,50,7.5,,,,,,,,
rarl,combined,seed_0,HalfCheetah-v5,2675.3254724303974,116.63337966571152,1000.0,50,7.7,,,,,,,,
rarl,combined,seed_1,HalfCheetah-v5,2744.3835096396915,241.83111497635997,1000.0,50,7.6,,,,,,,,
rarl,combined,seed_2,HalfCheetah-v5,3127.5014263245703,124.89446260960877,1000.0,50,7.5,,,,,,,,
