method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Hopper-v5,367.8653150685206,98.74314715121884,162.452,5,50,nan,,,,,,,,
vanilla,force,Hopper-v5,357.14080807563545,94.69558785272834,160.10399999999998,5,50,15.67987541811135,,,,,,,,
vanilla,params,Hopper-v5,327.3373032670579,79.95701766166499,148.096,5,50,nan,,,,,,,,
vanilla,noise,Hopper-v5,289.2724914613857,49.131916071733905,122.492,5,50,nan,,,,,,,,
vanilla,combined,Hopper-v5,281.7550599236142,52.90979353024374,120.324,5,50,nan,,,,,,,,
rarl,nominal,Hopper-v5,429.8351168610131,98.05692228169161,154.93599999999998,5,50,nan,,,,,,,,
rarl,force,Hopper-v5,409.4162640263602,96.36881388861963,149.62,5,50,6.639599839935974,,,,,,,,
rarl,params,Hopper-v5,396.31580679102296,77.66780011069403,147.692,5,50,nan,,,,,,,,
rarl,noise,Hopper-v5,421.44735558498877,74.39685540648762,153.93599999999998,5,50,nan,,,,,,,,
rarl,combined,Hopper-v5,383.9427051949095,79.87722130016134,144.50799999999998,5,50,nan,,,,,,,,
sa_mdp,nominal,Hopper-v5,406.1831516874211,118.49335424635663,155.10399999999998,5,50,nan,,,,,,,,
sa_mdp,force,Hopper-v5,398.45783481169644,119.04560725275739,153.024,5,50,7.821921296296296,,,,,,,,
sa_mdp,params,Hopper-v5,378.2287938316184,84.93520983312875,148.596,5,50,nan,,,,,,,,
sa_mdp,noise,Hopper-v5,370.9011096481041,90.85741293220073,142.87199999999999,5,50,nan,,,,,,,,
sa_mdp,combined,Hopper-v5,370.06380052715883,75.48647313341863,145.032,5,50,nan,,,,,,,,
dr,nominal,Hopper-v5,471.22500977891684,74.22016060593495,163.632,5,50,nan,,,,,,,,
dr,force,Hopper-v5,492.6067295090206,89.19788930034252,171.604,5,50,7.005082358284329,,,,,,,,
dr,params,Hopper-v5,456.6435795973918,78.77611988927437,164.34,5,50,nan,,,,,,,,
dr,noise,Hopper-v5,419.7067307737437,77.23065110490833,152.24,5,50,nan,,,,,,,,
dr,combined,Hopper-v5,400.7955155111316,72.56912489175787,150.368,5,50,nan,,,,,,,,
rzsm,nominal,Hopper-v5,294.4902039948371,56.08389345945974,140.824,5,50,nan,0.0,0.0,0.0,0.5148023247381313,0.0,3409.2,0.0,3632.0
rzsm,force,Hopper-v5,300.60347718862823,62.44278025920014,143.684,5,50,10.227712490456243,0.004654549102457833,0.49833546907134946,0.009212611350074373,0.5007548824931042,16.6,3565.6,19.2,3582.8
rzsm,params,Hopper-v5,312.37558534253475,63.725257933438634,146.59199999999998,5,50,nan,1.0,0.4922797433687909,0.6563854379700113,0.4922797433687909,3565.8,0.0,3763.8,0.0
rzsm,noise,Hopper-v5,301.7957843755231,44.64565989938501,137.756,5,50,nan,1.0,0.4710122433052747,0.6391007415240936,0.4710122433052747,3232.8,0.0,3655.0,0.0
rzsm,combined,Hopper-v5,300.83401791233604,46.49181477897515,137.452,5,50,nan,1.0,0.4730593053969717,0.6414216241342252,0.4730593053969717,3225.8,0.0,3646.8,0.0
