method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Hopper-v5,209.16735518854105,24.247411048327635,100.48,50,1.3,,,,,,,,
vanilla,nominal,seed_1,Hopper-v5,394.2526014910778,110.35165199499266,178.96,50,2.1,,,,,,,,
vanilla,nominal,seed_2,Hopper-v5,359.97136848299107,27.248847923151807,129.34,50,1.4,,,,,,,,
vanilla,nominal,seed_3,Hopper-v5,357.4110236893878,10.120574153623531,127.06,50,1.6,,,,,,,,
vanilla,nominal,seed_4,Hopper-v5,518.5242264906054,110.56875422963768,276.42,50,3.7,,,,,,,,
vanilla,force,seed_0,Hopper-v5,207.8824951032661,24.835239886819846,100.08,50,1.4,,,,,,,,
vanilla,force,seed_1,Hopper-v5,357.3030350100552,146.46388203915583,167.88,50,2.3,,,,,,,,
vanilla,force,seed_2,Hopper-v5,357.9336650802346,43.96171259201451,129.18,50,1.7,,,,,,,,
vanilla,force,seed_3,Hopper-v5,355.26397728450496,10.647122733814491,126.48,50,1.7,,,,,,,,
vanilla,force,seed_4,Hopper-v5,507.32086790011635,144.40024513270794,276.9,50,3.8,,,,,,,,
vanilla,params,seed_0,Hopper-v5,214.44794675562315,25.74922000003372,97.56,50,1.3,,,,,,,,
vanilla,params,seed_1,Hopper-v5,348.0627119208791,121.18014145483201,160.34,50,1.9,,,,,,,,
vanilla,params,seed_2,Hopper-v5,291.8237988391669,122.81445138347603,114.06,50,1.4,,,,,,,,
vanilla,params,seed_3,Hopper-v5,322.69209303967716,93.28464968522563,122.64,50,1.4,,,,,,,,
vanilla,params,seed_4,Hopper-v5,459.6599657799432,155.58729692510363,245.88,50,2.9,,,,,,,,
vanilla,noise,seed_0,Hopper-v5,200.46191668080021,38.05750112338972,96.2,50,1.1,,,,,,,,
vanilla,noise,seed_1,Hopper-v5,299.3529022166274,138.99652085277538,135.98,50,1.6,,,,,,,,
vanilla,noise,seed_2,Hopper-v5,319.3293996529181,130.3504426895303,111.08,50,1.3,,,,,,,,
vanilla,noise,seed_3,Hopper-v5,345.1751799796804,48.4159424526801,128.68,50,1.5,,,,,,,,
vanilla,noise,seed_4,Hopper-v5,282.04305877690234,143.4958456459668,140.52,50,1.7,,,,,,,,
vanilla,combined,seed_0,Hopper-v5,197.6676789875688,46.06627878123263,92.86,50,1.2,,,,,,,,
vanilla,combined,seed_1,Hopper-v5,326.7056185714731,142.49738683704848,148.06,50,1.9,,,,,,,,
vanilla,combined,seed_2,Hopper-v5,304.44965795820394,127.37200451704418,116.36,50,1.4,,,,,,,,
vanilla,combined,seed_3,Hopper-v5,336.10519085892685,79.19365861878202,128.12,50,1.6,,,,,,,,
vanilla,combined,seed_4,Hopper-v5,243.84715324189855,150.04097770849734,116.22,50,1.4,,,,,,,,
rarl,nominal,seed_0,Hopper-v5,373.6444348483317,162.05269420262965,138.92,50,1.5,,,,,,,,
rarl,nominal,seed_1,Hopper-v5,584.554541267111,76.95186529604435,174.08,50,2.0,,,,,,,,
rarl,nominal,seed_2,Hopper-v5,301.925828421891,25.758312492692085,130.36,50,1.6,,,,,,,,
rarl,nominal,seed_3,Hopper-v5,398.7656221221652,28.30234492935493,143.04,50,1.6,,,,,,,,
