method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Humanoid-v5,336.74457019676726,52.92362862979031,68.36,5,10,nan,,,,,,,,
vanilla,force,Humanoid-v5,342.89917574558706,61.01887333073079,69.88,5,10,14.0,,,,,,,,
vanilla,params,Humanoid-v5,335.69325614984746,66.29003016365156,67.56,5,10,nan,,,,,,,,
vanilla,noise,Humanoid-v5,332.93824505762694,55.0416143548628,67.0,5,10,nan,,,,,,,,
vanilla,combined,Humanoid-v5,360.4903481221464,86.15051273957259,72.34,5,10,nan,,,,,,,,
rarl,nominal,Humanoid-v5,437.91499703036425,74.18216030226658,93.2,5,10,nan,,,,,,,,
rarl,force,Humanoid-v5,429.76776031427215,73.698792662326,91.72,5,10,5.0,,,,,,,,
rarl,params,Humanoid-v5,407.1336122111121,55.78952470741917,87.8,5,10,nan,,,,,,,,
rarl,noise,Humanoid-v5,430.57381242727786,65.11185377934578,92.36,5,10,nan,,,,,,,,
rarl,combined,Humanoid-v5,436.9039529993137,80.64703239594641,92.17999999999999,5,10,nan,,,,,,,,
sa_mdp,nominal,Humanoid-v5,434.5279677110726,65.31064403583622,88.44,5,10,nan,,,,,,,,
sa_mdp,force,Humanoid-v5,451.87497224732385,50.687562947578606,92.28,5,10,5.0,,,,,,,,
sa_mdp,params,Humanoid-v5,420.1448419578486,35.15183035686241,86.34,5,10,nan,,,,,,,,
sa_mdp,noise,Humanoid-v5,449.66604231959644,43.3073114780648,91.4,5,10,nan,,,,,,,,
sa_mdp,combined,Humanoid-v5,413.9085447363893,32.18101296713218,84.36,5,10,nan,,,,,,,,
rzsm,nominal,Humanoid-v5,333.9433372772303,55.660280320792246,65.16,5,10,nan,0.0,0.0,0.0,0.7235874313182362,0.0,180.6,0.0,471.0
rzsm,force,Humanoid-v5,334.5342482942809,56.97260515318564,65.35999999999999,5,10,5.0,0.00975609756097561,0.16,0.018390804597701153,0.7286240110854587,1.6,178.4,2.4,471.2
rzsm,params,Humanoid-v5,342.8738626296654,55.643814634247015,67.47999999999999,5,10,nan,1.0,0.2725374673732935,0.4195612517035213,0.2725374673732935,185.2,0.0,489.6,0.0
rzsm,noise,Humanoid-v5,331.1546437653691,50.02272184065005,65.28,5,10,nan,1.0,0.2759333011369677,0.4224042617226602,0.2759333011369677,183.4,0.0,469.4,0.0
rzsm,combined,Humanoid-v5,336.0797194614605,52.93817209653191,65.72,5,10,nan,1.0,0.2809086000096265,0.42846066615449024,0.2809086000096265,187.2,0.0,470.0,0.0
