method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Humanoid-v5,261.4495315197777,71.19947006790838,51.96,50,4.6,,,,,,,,
vanilla,force,seed_0,Humanoid-v5,272.76644549607823,59.98415171721878,54.24,50,5.2,,,,,,,,
vanilla,params,seed_0,Humanoid-v5,235.18227555536944,73.4010441287205,47.3,50,3.9,,,,,,,,
vanilla,noise,seed_0,Humanoid-v5,227.44656788515317,64.88032417049486,45.84,50,3.4,,,,,,,,
vanilla,combined,seed_0,Humanoid-v5,232.3537192054569,73.85103165588224,46.66,50,3.5,,,,,,,,
rarl,nominal,seed_0,Humanoid-v5,264.3981341918228,69.03955165734529,52.6,50,3.9,,,,,,,,
rarl,force,seed_0,Humanoid-v5,254.0671983933198,71.09494639202127,50.64,50,3.7,,,,,,,,
rarl,params,seed_0,Humanoid-v5,233.1878698898873,75.15009328022413,46.9,50,3.5,,,,,,,,
rarl,noise,seed_0,Humanoid-v5,248.60314332651188,67.94980014576292,49.76,50,4.0,,,,,,,,
rarl,combined,seed_0,Humanoid-v5,211.15060112021615,71.47115889651965,42.62,50,3.3,,,,,,,,
sa_mdp,nominal,seed_0,Humanoid-v5,262.5405066240494,62.9123117403397,52.32,50,4.1,,,,,,,,
sa_mdp,force,seed_0,Humanoid-v5,247.2400343892856,74.78742973914633,49.34,50,3.7,,,,,,,,
sa_mdp,params,seed_0,Humanoid-v5,229.02815533201556,68.06579269991626,46.42,50,3.5,,,,,,,,
sa_mdp,noise,seed_0,Humanoid-v5,258.77833547307,68.57461190377617,51.72,50,4.7,,,,,,,,
sa_mdp,combined,seed_0,Humanoid-v5,206.89539276615866,70.9276973005897,41.74,50,3.5,,,,,,,,
dr,nominal,seed_0,Humanoid-v5,261.4918570280225,66.43941715364184,51.98,50,4.0,,,,,,,,
dr,force,seed_0,Humanoid-v5,258.417932841634,67.72361621590396,51.6,50,3.9,,,,,,,,
dr,params,seed_0,Humanoid-v5,214.78376619094652,64.77281763587749,43.36,50,3.5,,,,,,,,
dr,noise,seed_0,Humanoid-v5,242.33836076505904,64.23637477036523,48.48,50,3.8,,,,,,,,
dr,combined,seed_0,Humanoid-v5,204.95191920719935,66.45397228412548,41.42,50,3.3,,,,,,,,
rzsm,nominal,seed_0,Humanoid-v5,235.6409342449689,69.83353600503644,47.14,50,10.4,0.0,0.0,0.0,0.8472634705133645,0,360,0,1997
rzsm,force,seed_0,Humanoid-v5,278.8347569208413,68.92892438144153,55.12,50,11.5,0.0,0.0,0.0,0.8323657474600871,0,458,4,2294
rzsm,params,seed_0,Humanoid-v5,223.43320810424262,75.10422922263346,44.66,50,12.1,1.0,0.1930138826690551,0.3235735735735736,0.1930138826690551,431,0,1802,0
rzsm,noise,seed_0,Humanoid-v5,259.5277364307865,67.86969601516532,51.78,50,10.7,1.0,0.16608729239088452,0.28486253726399474,0.16608729239088452,430,0,2159,0
rzsm,combined,seed_0,Humanoid-v5,243.99425437478882,64.53932608891081,48.86,50,9.0,1.0,0.14735980352026198,0.25686764181234395,0.14735980352026198,360,0,2083,0
