method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,InvertedDoublePendulum-v5,36.84823112815021,0.0,5.16,1,50,nan,,,,,,,,
vanilla,force,InvertedDoublePendulum-v5,36.503304283563565,0.0,5.12,1,50,nan,,,,,,,,
vanilla,params,InvertedDoublePendulum-v5,37.35388027490908,0.0,5.22,1,50,nan,,,,,,,,
vanilla,noise,InvertedDoublePendulum-v5,36.858164761363994,0.0,5.16,1,50,nan,,,,,,,,
vanilla,combined,InvertedDoublePendulum-v5,36.83572274982139,0.0,5.16,1,50,nan,,,,,,,,
rarl,nominal,InvertedDoublePendulum-v5,37.19755630868901,0.0,5.2,1,50,nan,,,,,,,,
rarl,force,InvertedDoublePendulum-v5,36.320742906956966,0.0,5.1,1,50,nan,,,,,,,,
rarl,params,InvertedDoublePendulum-v5,36.231375962663826,0.0,5.1,1,50,nan,,,,,,,,
rarl,noise,InvertedDoublePendulum-v5,37.04080004498937,0.0,5.18,1,50,nan,,,,,,,,
rarl,combined,InvertedDoublePendulum-v5,37.16986699704047,0.0,5.2,1,50,nan,,,,,,,,
sa_mdp,nominal,InvertedDoublePendulum-v5,36.70115390221677,0.0,5.14,1,50,nan,,,,,,,,
sa_mdp,force,InvertedDoublePendulum-v5,36.31722481559636,0.0,5.1,1,50,nan,,,,,,,,
sa_mdp,params,InvertedDoublePendulum-v5,37.921954238551,0.0,5.28,1,50,nan,,,,,,,,
sa_mdp,noise,InvertedDoublePendulum-v5,36.67194532707787,0.0,5.14,1,50,nan,,,,,,,,
sa_mdp,combined,InvertedDoublePendulum-v5,37.19649301533102,0.0,5.2,1,50,nan,,,,,,,,
dr,nominal,InvertedDoublePendulum-v5,37.39299156433485,0.0,5.22,1,50,nan,,,,,,,,
dr,force,InvertedDoublePendulum-v5,36.69005299761219,0.0,5.14,1,50,nan,,,,,,,,
dr,params,InvertedDoublePendulum-v5,36.6649355077817,0.0,5.14,1,50,nan,,,,,,,,
dr,noise,InvertedDoublePendulum-v5,36.31070360119736,0.0,5.1,1,50,nan,,,,,,,,
dr,combined,InvertedDoublePendulum-v5,37.794208765903015,0.0,5.26,1,50,nan,,,,,,,,
rzsm,nominal,InvertedDoublePendulum-v5,36.862950384170915,0.0,5.16,1,50,nan,0.0,0.0,0.0,0.7248062015503876,0.0,71.0,0.0,187.0
rzsm,force,InvertedDoublePendulum-v5,35.968463311278455,0.0,5.06,1,50,nan,0.0,0.0,0.0,0.6798418972332015,0.0,81.0,0.0,172.0
rzsm,params,InvertedDoublePendulum-v5,36.274320910649095,0.0,5.1,1,50,nan,1.0,0.2980392156862745,0.45921450151057397,0.2980392156862745,76.0,0.0,179.0,0.0
rzsm,noise,InvertedDoublePendulum-v5,36.146424608008516,0.0,5.08,1,50,nan,1.0,0.2992125984251969,0.4606060606060607,0.2992125984251969,76.0,0.0,178.0,0.0
rzsm,combined,InvertedDoublePendulum-v5,36.99708431319534,0.0,5.18,1,50,nan,1.0,0.32432432432432434,0.489795918367347,0.32432432432432434,84.0,0.0,175.0,0.0
