method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,InvertedDoublePendulum-v5,36.84823112815021,3.252763884372904,5.16,50,0.4,,,,,,,,
vanilla,force,seed_0,InvertedDoublePendulum-v5,36.503304283563565,2.890180269649061,5.12,50,0.3,,,,,,,,
vanilla,params,seed_0,InvertedDoublePendulum-v5,37.35388027490908,4.236451013441437,5.22,50,0.3,,,,,,,,
vanilla,noise,seed_0,InvertedDoublePendulum-v5,36.858164761363994,3.246880814795239,5.16,50,0.3,,,,,,,,
vanilla,combined,seed_0,InvertedDoublePendulum-v5,36.83572274982139,3.8095673700390065,5.16,50,0.3,,,,,,,,
rarl,nominal,seed_0,InvertedDoublePendulum-v5,37.19755630868901,3.568592236424445,5.2,50,0.3,,,,,,,,
rarl,force,seed_0,InvertedDoublePendulum-v5,36.320742906956966,2.679083983284695,5.1,50,0.4,,,,,,,,
rarl,params,seed_0,InvertedDoublePendulum-v5,36.231375962663826,3.759840399996123,5.1,50,0.4,,,,,,,,
rarl,noise,seed_0,InvertedDoublePendulum-v5,37.04080004498937,3.413984416885073,5.18,50,0.4,,,,,,,,
rarl,combined,seed_0,InvertedDoublePendulum-v5,37.16986699704047,3.6572998900745617,5.2,50,0.4,,,,,,,,
sa_mdp,nominal,seed_0,InvertedDoublePendulum-v5,36.70115390221677,3.106485772414311,5.14,50,0.4,,,,,,,,
sa_mdp,force,seed_0,InvertedDoublePendulum-v5,36.31722481559636,2.668276219918056,5.1,50,0.4,,,,,,,,
sa_mdp,params,seed_0,InvertedDoublePendulum-v5,37.921954238551,4.1196499574871215,5.28,50,0.4,,,,,,,,
sa_mdp,noise,seed_0,InvertedDoublePendulum-v5,36.67194532707787,3.0824753028903613,5.14,50,0.4,,,,,,,,
sa_mdp,combined,seed_0,InvertedDoublePendulum-v5,37.19649301533102,4.066876393166638,5.2,50,0.5,,,,,,,,
dr,nominal,seed_0,InvertedDoublePendulum-v5,37.39299156433485,3.7035710013246383,5.22,50,0.5,,,,,,,,
dr,force,seed_0,InvertedDoublePendulum-v5,36.69005299761219,3.089829691759435,5.14,50,0.5,,,,,,,,
dr,params,seed_0,InvertedDoublePendulum-v5,36.6649355077817,3.1352481013552036,5.14,50,0.5,,,,,,,,
dr,noise,seed_0,InvertedDoublePendulum-v5,36.31070360119736,2.6697427006545116,5.1,50,0.5,,,,,,,,
dr,combined,seed_0,InvertedDoublePendulum-v5,37.794208765903015,4.423664538909037,5.26,50,0.5,,,,,,,,
rzsm,nominal,seed_0,InvertedDoublePendulum-v5,36.862950384170915,3.267475802297511,5.16,50,1.3,0.0,0.0,0.0,0.7248062015503876,0,71,0,187
rzsm,force,seed_0,InvertedDoublePendulum-v5,35.968463311278455,2.114264689968613,5.06,50,1.2,0.0,0.0,0.0,0.6798418972332015,0,81,0,172
rzsm,params,seed_0,InvertedDoublePendulum-v5,36.274320910649095,4.158546884243126,5.1,50,1.2,1.0,0.2980392156862745,0.45921450151057397,0.2980392156862745,76,0,179,0
rzsm,noise,seed_0,InvertedDoublePendulum-v5,36.146424608008516,2.419571107174344,5.08,50,1.1,1.0,0.2992125984251969,0.4606060606060607,0.2992125984251969,76,0,178,0
rzsm,combined,seed_0,InvertedDoublePendulum-v5,36.99708431319534,3.9662391871264298,5.18,50,1.1,1.0,0.32432432432432434,0.489795918367347,0.32432432432432434,84,0,175,0
