method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,InvertedPendulum-v5,1000.0,0.0,1000.0,5,50,nan,,,,,,,,
vanilla,force,InvertedPendulum-v5,603.7719999999999,229.90290423567947,604.4119999999999,5,50,10.0,,,,,,,,
vanilla,params,InvertedPendulum-v5,918.9159999999999,75.22503561979882,919.0040000000001,5,50,nan,,,,,,,,
vanilla,noise,InvertedPendulum-v5,589.9440000000001,238.29867893884767,590.58,5,50,nan,,,,,,,,
vanilla,combined,InvertedPendulum-v5,109.848,44.386768478905964,110.84399999999998,5,50,nan,,,,,,,,
rarl,nominal,InvertedPendulum-v5,1000.0,0.0,1000.0,5,50,nan,,,,,,,,
rarl,force,InvertedPendulum-v5,766.624,192.1869091899862,767.0519999999999,5,50,10.0,,,,,,,,
rarl,params,InvertedPendulum-v5,910.124,54.87462568437255,910.2360000000001,5,50,nan,,,,,,,,
rarl,noise,InvertedPendulum-v5,502.01599999999996,229.8012342525601,502.75999999999993,5,50,nan,,,,,,,,
rarl,combined,InvertedPendulum-v5,119.64000000000001,20.376472707512455,120.64000000000001,5,50,nan,,,,,,,,
sa_mdp,nominal,InvertedPendulum-v5,1000.0,0.0,1000.0,5,50,nan,,,,,,,,
sa_mdp,force,InvertedPendulum-v5,449.76800000000003,329.011771363883,450.4959999999999,5,50,10.0,,,,,,,,
sa_mdp,params,InvertedPendulum-v5,879.8639999999999,64.34605367852795,879.9959999999999,5,50,nan,,,,,,,,
sa_mdp,noise,InvertedPendulum-v5,151.628,114.01975169241511,152.608,5,50,nan,,,,,,,,
sa_mdp,combined,InvertedPendulum-v5,54.028,18.192467012475245,55.028,5,50,nan,,,,,,,,
dr,nominal,InvertedPendulum-v5,1000.0,0.0,1000.0,5,50,nan,,,,,,,,
dr,force,InvertedPendulum-v5,618.604,183.26971267506258,619.2280000000001,5,50,10.0,,,,,,,,
dr,params,InvertedPendulum-v5,967.3040000000001,33.08875676117193,967.344,5,50,nan,,,,,,,,
dr,noise,InvertedPendulum-v5,599.5640000000001,204.75866981400327,600.2120000000001,5,50,nan,,,,,,,,
dr,combined,InvertedPendulum-v5,119.53600000000002,39.516144346330144,120.53600000000002,5,50,nan,,,,,,,,
rzsm,nominal,InvertedPendulum-v5,1000.0,0.0,1000.0,5,50,nan,0.0,0.0,0.0,0.566188,0.0,21690.6,0.0,28309.4
rzsm,force,InvertedPendulum-v5,724.812,133.99401335880643,725.34,5,50,10.0,0.2811923809407397,0.4412673823369479,0.3291764928591257,0.5600815578514665,3915.0,10439.0,5367.8,16545.2
rzsm,params,InvertedPendulum-v5,915.268,55.08544577290813,915.368,5,50,nan,1.0,0.3856846031454209,0.5223580675568534,0.3856846031454209,18016.6,0.0,27751.8,0.0
rzsm,noise,InvertedPendulum-v5,839.144,126.12028950172925,839.4680000000001,5,50,nan,1.0,0.3692265355265422,0.5015048236292616,0.3692265355265422,16448.0,0.0,25525.4,0.0
rzsm,combined,InvertedPendulum-v5,116.704,14.259898456861464,117.704,5,50,nan,1.0,0.3998105052517662,0.5516817383901539,0.3998105052517662,2457.6,0.0,3427.6,0.0
