method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,nominal,seed_1,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,nominal,seed_2,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,nominal,seed_3,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,nominal,seed_4,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,force,seed_0,InvertedPendulum-v5,708.12,310.73072844506385,708.72,50,1.3,,,,,,,,
vanilla,force,seed_1,InvertedPendulum-v5,293.9,259.7162490103382,294.86,50,0.5,,,,,,,,
vanilla,force,seed_2,InvertedPendulum-v5,889.72,237.76240577517717,889.96,50,1.6,,,,,,,,
vanilla,force,seed_3,InvertedPendulum-v5,373.34,300.2216254702515,374.24,50,0.7,,,,,,,,
vanilla,force,seed_4,InvertedPendulum-v5,753.78,294.3144773877085,754.28,50,1.4,,,,,,,,
vanilla,params,seed_0,InvertedPendulum-v5,814.54,378.34546171455526,814.74,50,1.4,,,,,,,,
vanilla,params,seed_1,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,params,seed_2,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
vanilla,params,seed_3,InvertedPendulum-v5,854.1,334.7912334575085,854.26,50,1.5,,,,,,,,
vanilla,params,seed_4,InvertedPendulum-v5,925.94,251.2155576392513,926.02,50,1.6,,,,,,,,
vanilla,noise,seed_0,InvertedPendulum-v5,218.78,204.56131501337197,219.76,50,0.4,,,,,,,,
vanilla,noise,seed_1,InvertedPendulum-v5,627.46,396.0148588121411,628.04,50,1.2,,,,,,,,
vanilla,noise,seed_2,InvertedPendulum-v5,805.08,321.7981255383567,805.46,50,1.5,,,,,,,,
vanilla,noise,seed_3,InvertedPendulum-v5,435.36,315.14255567917195,436.26,50,0.8,,,,,,,,
vanilla,noise,seed_4,InvertedPendulum-v5,863.04,226.24985834249708,863.38,50,1.6,,,,,,,,
vanilla,combined,seed_0,InvertedPendulum-v5,60.54,78.04311885105567,61.54,50,0.1,,,,,,,,
vanilla,combined,seed_1,InvertedPendulum-v5,89.1,76.51385495451134,90.1,50,0.2,,,,,,,,
vanilla,combined,seed_2,InvertedPendulum-v5,155.2,162.2284808533939,156.2,50,0.3,,,,,,,,
vanilla,combined,seed_3,InvertedPendulum-v5,74.1,55.426076895266554,75.1,50,0.1,,,,,,,,
vanilla,combined,seed_4,InvertedPendulum-v5,170.3,220.26177607565052,171.28,50,0.3,,,,,,,,
rarl,nominal,seed_0,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
rarl,nominal,seed_1,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
rarl,nominal,seed_2,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
rarl,nominal,seed_3,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.8,,,,,,,,
rarl,nominal,seed_4,InvertedPendulum-v5,1000.0,0.0,1000.0,50,1.7,,,,,,,,
rarl,force,seed_0,InvertedPendulum-v5,439.18,293.09211453056867,440.08,50,0.8,,,,,,,,
rarl,force,seed_1,InvertedPendulum-v5,890.82,239.61307894186413,891.04,50,1.6,,,,,,,,
rarl,force,seed_2,InvertedPendulum-v5,666.1,316.82065904861696,666.74,50,1.2,,,,,,,,
rarl,force,seed_3,InvertedPendulum-v5,972.32,97.51931911165089,972.4,50,1.8,,,,,,,,
rarl,force,seed_4,InvertedPendulum-v5,864.7,249.41244956898203,865.0,50,1.6,,,,,,,,
rarl,params,seed_0,InvertedPendulum-v5,936.76,224.37616272679236,936.84,50,1.6,,,,,,,,
