method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Pusher-v5,-51.824763029455035,0.0,100.0,1,50,nan,,,,,,,,
vanilla,force,Pusher-v5,-54.27617924588904,0.0,100.0,1,50,1.0,,,,,,,,
vanilla,params,Pusher-v5,-53.75152685774434,0.0,100.0,1,50,nan,,,,,,,,
vanilla,noise,Pusher-v5,-53.888037068526145,0.0,100.0,1,50,nan,,,,,,,,
vanilla,combined,Pusher-v5,-53.953916009624685,0.0,100.0,1,50,nan,,,,,,,,
rarl,nominal,Pusher-v5,-53.10849000829727,0.0,100.0,1,50,nan,,,,,,,,
rarl,force,Pusher-v5,-53.50796918086591,0.0,100.0,1,50,1.0,,,,,,,,
rarl,params,Pusher-v5,-53.21035270656688,0.0,100.0,1,50,nan,,,,,,,,
rarl,noise,Pusher-v5,-53.68556072570481,0.0,100.0,1,50,nan,,,,,,,,
rarl,combined,Pusher-v5,-53.766866575582526,0.0,100.0,1,50,nan,,,,,,,,
sa_mdp,nominal,Pusher-v5,-54.29608486232215,0.0,100.0,1,50,nan,,,,,,,,
sa_mdp,force,Pusher-v5,-53.51065512003678,0.0,100.0,1,50,1.0,,,,,,,,
sa_mdp,params,Pusher-v5,-53.46013375871375,0.0,100.0,1,50,nan,,,,,,,,
sa_mdp,noise,Pusher-v5,-53.2694630822202,0.0,100.0,1,50,nan,,,,,,,,
sa_mdp,combined,Pusher-v5,-54.19070736017423,0.0,100.0,1,50,nan,,,,,,,,
dr,nominal,Pusher-v5,-53.91997698950484,0.0,100.0,1,50,nan,,,,,,,,
dr,force,Pusher-v5,-52.99752819477761,0.0,100.0,1,50,1.0,,,,,,,,
dr,params,Pusher-v5,-53.36169614315906,0.0,100.0,1,50,nan,,,,,,,,
dr,noise,Pusher-v5,-53.50089878231636,0.0,100.0,1,50,nan,,,,,,,,
dr,combined,Pusher-v5,-52.637839849931964,0.0,100.0,1,50,nan,,,,,,,,
rzsm,nominal,Pusher-v5,-52.38326762891697,0.0,100.0,1,50,nan,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0
rzsm,force,Pusher-v5,-53.493339372930016,0.0,100.0,1,50,1.0,0.0048,1.0,0.009554140127388535,0.0048,24.0,4976.0,0.0,0.0
rzsm,params,Pusher-v5,-53.32647305178298,0.0,100.0,1,50,nan,1.0,1.0,1.0,1.0,5000.0,0.0,0.0,0.0
rzsm,noise,Pusher-v5,-52.98305652734862,0.0,100.0,1,50,nan,1.0,1.0,1.0,1.0,5000.0,0.0,0.0,0.0
rzsm,combined,Pusher-v5,-53.36751998318195,0.0,100.0,1,50,nan,1.0,0.9998,0.9998999899989999,0.9998,4999.0,0.0,1.0,0.0
