method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Pusher-v5,-51.824763029455035,3.444154959895195,100.0,50,5.5,,,,,,,,
vanilla,force,seed_0,Pusher-v5,-54.27617924588904,4.194593163890111,100.0,50,9.0,,,,,,,,
vanilla,params,seed_0,Pusher-v5,-53.75152685774434,3.4886482112387927,100.0,50,7.7,,,,,,,,
vanilla,noise,seed_0,Pusher-v5,-53.888037068526145,3.908368534557917,100.0,50,7.4,,,,,,,,
vanilla,combined,seed_0,Pusher-v5,-53.953916009624685,4.416789477517677,100.0,50,7.4,,,,,,,,
rarl,nominal,seed_0,Pusher-v5,-53.10849000829727,4.54119608585674,100.0,50,7.7,,,,,,,,
rarl,force,seed_0,Pusher-v5,-53.50796918086591,4.4622643996664495,100.0,50,7.4,,,,,,,,
rarl,params,seed_0,Pusher-v5,-53.21035270656688,4.064629092455938,100.0,50,7.5,,,,,,,,
rarl,noise,seed_0,Pusher-v5,-53.68556072570481,4.542414138328685,100.0,50,7.7,,,,,,,,
rarl,combined,seed_0,Pusher-v5,-53.766866575582526,4.230682350713259,100.0,50,7.7,,,,,,,,
sa_mdp,nominal,seed_0,Pusher-v5,-54.29608486232215,4.277251566467874,100.0,50,8.1,,,,,,,,
sa_mdp,force,seed_0,Pusher-v5,-53.51065512003678,3.2948909307431533,100.0,50,8.3,,,,,,,,
sa_mdp,params,seed_0,Pusher-v5,-53.46013375871375,4.008014048078161,100.0,50,8.3,,,,,,,,
sa_mdp,noise,seed_0,Pusher-v5,-53.2694630822202,3.779545900412269,100.0,50,8.2,,,,,,,,
sa_mdp,combined,seed_0,Pusher-v5,-54.19070736017423,3.6842570211119483,100.0,50,8.4,,,,,,,,
dr,nominal,seed_0,Pusher-v5,-53.91997698950484,4.260859021386985,100.0,50,8.3,,,,,,,,
dr,force,seed_0,Pusher-v5,-52.99752819477761,3.800958155116764,100.0,50,7.3,,,,,,,,
dr,params,seed_0,Pusher-v5,-53.36169614315906,4.64425359036632,100.0,50,6.6,,,,,,,,
dr,noise,seed_0,Pusher-v5,-53.50089878231636,3.594699997103649,100.0,50,6.0,,,,,,,,
dr,combined,seed_0,Pusher-v5,-52.637839849931964,4.61868377131928,100.0,50,6.0,,,,,,,,
rzsm,nominal,seed_0,Pusher-v5,-52.38326762891697,3.6340098779968164,100.0,50,16.4,0.0,0.0,0.0,0.0,0,5000,0,0
rzsm,force,seed_0,Pusher-v5,-53.493339372930016,3.867260339123838,100.0,50,13.1,0.0048,1.0,0.009554140127388535,0.0048,24,4976,0,0
rzsm,params,seed_0,Pusher-v5,-53.32647305178298,4.09856891467995,100.0,50,13.0,1.0,1.0,1.0,1.0,5000,0,0,0
rzsm,noise,seed_0,Pusher-v5,-52.98305652734862,3.8023749968702854,100.0,50,13.1,1.0,1.0,1.0,1.0,5000,0,0,0
rzsm,combined,seed_0,Pusher-v5,-53.36751998318195,3.700955696501159,100.0,50,13.4,1.0,0.9998,0.9998999899989999,0.9998,4999,0,1,0
