method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Reacher-v5,-11.35902578305145,0.0,50.0,1,50,nan,,,,,,,,
vanilla,force,Reacher-v5,-10.518415909418582,0.0,50.0,1,50,nan,,,,,,,,
vanilla,params,Reacher-v5,-11.052268908805216,0.0,50.0,1,50,nan,,,,,,,,
vanilla,noise,Reacher-v5,-10.329205371932016,0.0,50.0,1,50,nan,,,,,,,,
vanilla,combined,Reacher-v5,-10.76582852622551,0.0,50.0,1,50,nan,,,,,,,,
rarl,nominal,Reacher-v5,-11.08778992455278,0.0,50.0,1,50,nan,,,,,,,,
rarl,force,Reacher-v5,-10.368512958058052,0.0,50.0,1,50,nan,,,,,,,,
rarl,params,Reacher-v5,-10.95221631778374,0.0,50.0,1,50,nan,,,,,,,,
rarl,noise,Reacher-v5,-10.957499025850172,0.0,50.0,1,50,nan,,,,,,,,
rarl,combined,Reacher-v5,-10.557785158010779,0.0,50.0,1,50,nan,,,,,,,,
sa_mdp,nominal,Reacher-v5,-11.515316887138923,0.0,50.0,1,50,nan,,,,,,,,
sa_mdp,force,Reacher-v5,-10.875485846821626,0.0,50.0,1,50,nan,,,,,,,,
sa_mdp,params,Reacher-v5,-11.213136922248419,0.0,50.0,1,50,nan,,,,,,,,
sa_mdp,noise,Reacher-v5,-11.146213562258465,0.0,50.0,1,50,nan,,,,,,,,
sa_mdp,combined,Reacher-v5,-11.562625526250153,0.0,50.0,1,50,nan,,,,,,,,
dr,nominal,Reacher-v5,-10.809742377808039,0.0,50.0,1,50,nan,,,,,,,,
dr,force,Reacher-v5,-10.886012134864698,0.0,50.0,1,50,nan,,,,,,,,
dr,params,Reacher-v5,-11.039247822656073,0.0,50.0,1,50,nan,,,,,,,,
dr,noise,Reacher-v5,-10.6766483921855,0.0,50.0,1,50,nan,,,,,,,,
dr,combined,Reacher-v5,-11.546442479540245,0.0,50.0,1,50,nan,,,,,,,,
rzsm,nominal,Reacher-v5,-11.921612094864747,0.0,50.0,1,50,nan,0.0,0.0,0.0,0.4368,0.0,1408.0,0.0,1092.0
rzsm,force,Reacher-v5,-10.749482034373443,0.0,50.0,1,50,nan,0.0,0.0,0.0,0.436,0.0,1410.0,0.0,1090.0
rzsm,params,Reacher-v5,-11.371241099052398,0.0,50.0,1,50,nan,1.0,0.5632,0.7205731832139202,0.5632,1408.0,0.0,1092.0,0.0
rzsm,noise,Reacher-v5,-10.898944823853629,0.0,50.0,1,50,nan,1.0,0.5544,0.7133299022130726,0.5544,1386.0,0.0,1114.0,0.0
rzsm,combined,Reacher-v5,-11.317793168979142,0.0,50.0,1,50,nan,1.0,0.56,0.717948717948718,0.56,1400.0,0.0,1100.0,0.0
