method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Reacher-v5,-11.35902578305145,2.5766012798315563,50.0,50,1.0,,,,,,,,
vanilla,force,seed_0,Reacher-v5,-10.518415909418582,2.431385305200651,50.0,50,1.6,,,,,,,,
vanilla,params,seed_0,Reacher-v5,-11.052268908805216,2.5609766504490326,50.0,50,2.5,,,,,,,,
vanilla,noise,seed_0,Reacher-v5,-10.329205371932016,2.4105027370434136,50.0,50,3.8,,,,,,,,
vanilla,combined,seed_0,Reacher-v5,-10.76582852622551,2.6056017174887485,50.0,50,4.6,,,,,,,,
rarl,nominal,seed_0,Reacher-v5,-11.08778992455278,3.0886931721431825,50.0,50,4.6,,,,,,,,
rarl,force,seed_0,Reacher-v5,-10.368512958058052,2.077790397080721,50.0,50,3.7,,,,,,,,
rarl,params,seed_0,Reacher-v5,-10.95221631778374,2.9239269648009953,50.0,50,3.7,,,,,,,,
rarl,noise,seed_0,Reacher-v5,-10.957499025850172,2.7435378547606617,50.0,50,3.7,,,,,,,,
rarl,combined,seed_0,Reacher-v5,-10.557785158010779,2.6413684246661577,50.0,50,3.7,,,,,,,,
sa_mdp,nominal,seed_0,Reacher-v5,-11.515316887138923,2.935695403237502,50.0,50,3.7,,,,,,,,
sa_mdp,force,seed_0,Reacher-v5,-10.875485846821626,2.8029879472474453,50.0,50,3.9,,,,,,,,
sa_mdp,params,seed_0,Reacher-v5,-11.213136922248419,2.7350134377341186,50.0,50,3.8,,,,,,,,
sa_mdp,noise,seed_0,Reacher-v5,-11.146213562258465,2.576884894072902,50.0,50,3.7,,,,,,,,
sa_mdp,combined,seed_0,Reacher-v5,-11.562625526250153,2.6088465454167706,50.0,50,3.7,,,,,,,,
dr,nominal,seed_0,Reacher-v5,-10.809742377808039,2.4205935105904706,50.0,50,3.7,,,,,,,,
dr,force,seed_0,Reacher-v5,-10.886012134864698,2.8666549962559174,50.0,50,3.8,,,,,,,,
dr,params,seed_0,Reacher-v5,-11.039247822656073,3.212296219436162,50.0,50,3.8,,,,,,,,
dr,noise,seed_0,Reacher-v5,-10.6766483921855,2.529749833861456,50.0,50,3.8,,,,,,,,
dr,combined,seed_0,Reacher-v5,-11.546442479540245,3.0817296858638863,50.0,50,3.8,,,,,,,,
rzsm,nominal,seed_0,Reacher-v5,-11.921612094864747,2.3325379398013517,50.0,50,9.9,0.0,0.0,0.0,0.4368,0,1408,0,1092
rzsm,force,seed_0,Reacher-v5,-10.749482034373443,2.522425192597508,50.0,50,10.6,0.0,0.0,0.0,0.436,0,1410,0,1090
rzsm,params,seed_0,Reacher-v5,-11.371241099052398,2.6543456802840772,50.0,50,10.4,1.0,0.5632,0.7205731832139202,0.5632,1408,0,1092,0
rzsm,noise,seed_0,Reacher-v5,-10.898944823853629,2.6809874235067093,50.0,50,10.4,1.0,0.5544,0.7133299022130726,0.5544,1386,0,1114,0
rzsm,combined,seed_0,Reacher-v5,-11.317793168979142,2.956897044974802,50.0,50,10.7,1.0,0.56,0.717948717948718,0.56,1400,0,1100,0
