method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Swimmer-v5,-18.546176349833214,0.0,1000.0,1,50,nan,,,,,,,,
vanilla,force,Swimmer-v5,-16.228860499537955,0.0,1000.0,1,50,20.027355623100306,,,,,,,,
vanilla,params,Swimmer-v5,-18.982660785043862,0.0,1000.0,1,50,nan,,,,,,,,
vanilla,noise,Swimmer-v5,-19.72638959234847,0.0,1000.0,1,50,nan,,,,,,,,
vanilla,combined,Swimmer-v5,-11.915365260934731,0.0,1000.0,1,50,nan,,,,,,,,
rarl,nominal,Swimmer-v5,-18.890691964344153,0.0,1000.0,1,50,nan,,,,,,,,
rarl,force,Swimmer-v5,-17.094232725333868,0.0,1000.0,1,50,26.595238095238095,,,,,,,,
rarl,params,Swimmer-v5,-15.341106290707794,0.0,1000.0,1,50,nan,,,,,,,,
rarl,noise,Swimmer-v5,-17.689717786567783,0.0,1000.0,1,50,nan,,,,,,,,
rarl,combined,Swimmer-v5,-15.901190607440816,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,nominal,Swimmer-v5,-18.592616010401372,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,force,Swimmer-v5,-14.467636630196491,0.0,1000.0,1,50,19.253687315634217,,,,,,,,
sa_mdp,params,Swimmer-v5,-19.73174008942453,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,noise,Swimmer-v5,-16.90967385888846,0.0,1000.0,1,50,nan,,,,,,,,
sa_mdp,combined,Swimmer-v5,-20.73958441444955,0.0,1000.0,1,50,nan,,,,,,,,
dr,nominal,Swimmer-v5,-17.303685393325715,0.0,1000.0,1,50,nan,,,,,,,,
dr,force,Swimmer-v5,-15.831645397027776,0.0,1000.0,1,50,27.851744186046513,,,,,,,,
dr,params,Swimmer-v5,-17.488660516646707,0.0,1000.0,1,50,nan,,,,,,,,
dr,noise,Swimmer-v5,-18.695406479296917,0.0,1000.0,1,50,nan,,,,,,,,
dr,combined,Swimmer-v5,-12.24283629339999,0.0,1000.0,1,50,nan,,,,,,,,
rzsm,nominal,Swimmer-v5,-18.525051805415618,0.0,1000.0,1,50,nan,0.0,0.0,0.0,0.99994,0.0,3.0,0.0,49997.0
rzsm,force,Swimmer-v5,-15.366784441234064,0.0,1000.0,1,50,24.633522727272727,0.0,0.0,0.0,0.99204,0.0,5.0,393.0,49602.0
rzsm,params,Swimmer-v5,-16.712755664721925,0.0,1000.0,1,50,nan,1.0,0.00018,0.00035993521166190087,0.00018,9.0,0.0,49991.0,0.0
rzsm,noise,Swimmer-v5,-19.152141118594535,0.0,1000.0,1,50,nan,1.0,0.00012,0.00023997120345558537,0.00012,6.0,0.0,49994.0,0.0
rzsm,combined,Swimmer-v5,-15.797605341207761,0.0,1000.0,1,50,nan,1.0,0.0003,0.0005998200539838048,0.0003,15.0,0.0,49985.0,0.0
