method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Swimmer-v5,-18.546176349833214,5.699088398288293,1000.0,50,74.9,,,,,,,,
vanilla,force,seed_0,Swimmer-v5,-16.228860499537955,11.269954601072566,1000.0,50,75.7,,,,,,,,
vanilla,params,seed_0,Swimmer-v5,-18.982660785043862,7.782189126551631,1000.0,50,55.0,,,,,,,,
vanilla,noise,seed_0,Swimmer-v5,-19.72638959234847,5.7536689164719,1000.0,50,41.4,,,,,,,,
vanilla,combined,seed_0,Swimmer-v5,-11.915365260934731,9.824898612864404,1000.0,50,38.4,,,,,,,,
rarl,nominal,seed_0,Swimmer-v5,-18.890691964344153,5.520114862440241,1000.0,50,38.6,,,,,,,,
rarl,force,seed_0,Swimmer-v5,-17.094232725333868,9.050040951437946,1000.0,50,37.3,,,,,,,,
rarl,params,seed_0,Swimmer-v5,-15.341106290707794,6.816032873232808,1000.0,50,37.1,,,,,,,,
rarl,noise,seed_0,Swimmer-v5,-17.689717786567783,5.733423486899004,1000.0,50,38.5,,,,,,,,
rarl,combined,seed_0,Swimmer-v5,-15.901190607440816,10.82767050890679,1000.0,50,38.2,,,,,,,,
sa_mdp,nominal,seed_0,Swimmer-v5,-18.592616010401372,5.370834615998695,1000.0,50,38.1,,,,,,,,
sa_mdp,force,seed_0,Swimmer-v5,-14.467636630196491,9.670444097689089,1000.0,50,39.7,,,,,,,,
sa_mdp,params,seed_0,Swimmer-v5,-19.73174008942453,6.95601855057714,1000.0,50,40.5,,,,,,,,
sa_mdp,noise,seed_0,Swimmer-v5,-16.90967385888846,6.140076455560331,1000.0,50,44.6,,,,,,,,
sa_mdp,combined,seed_0,Swimmer-v5,-20.73958441444955,9.982201052141939,1000.0,50,42.0,,,,,,,,
dr,nominal,seed_0,Swimmer-v5,-17.303685393325715,5.2389378024884365,1000.0,50,41.2,,,,,,,,
dr,force,seed_0,Swimmer-v5,-15.831645397027776,8.50685264274325,1000.0,50,41.0,,,,,,,,
dr,params,seed_0,Swimmer-v5,-17.488660516646707,7.267289369138155,1000.0,50,45.2,,,,,,,,
dr,noise,seed_0,Swimmer-v5,-18.695406479296917,5.1991590950606,1000.0,50,46.1,,,,,,,,
dr,combined,seed_0,Swimmer-v5,-12.24283629339999,8.129526181478084,1000.0,50,46.3,,,,,,,,
rzsm,nominal,seed_0,Swimmer-v5,-18.525051805415618,5.2610533321329624,1000.0,50,120.2,0.0,0.0,0.0,0.99994,0,3,0,49997
rzsm,force,seed_0,Swimmer-v5,-15.366784441234064,9.96805510942403,1000.0,50,94.4,0.0,0.0,0.0,0.99204,0,5,393,49602
rzsm,params,seed_0,Swimmer-v5,-16.712755664721925,6.734907070108599,1000.0,50,96.0,1.0,0.00018,0.00035993521166190087,0.00018,9,0,49991,0
rzsm,noise,seed_0,Swimmer-v5,-19.152141118594535,5.3597504574552035,1000.0,50,94.7,1.0,0.00012,0.00023997120345558537,0.00012,6,0,49994,0
rzsm,combined,seed_0,Swimmer-v5,-15.797605341207761,9.184465270828214,1000.0,50,93.4,1.0,0.0003,0.0005998200539838048,0.0003,15,0,49985,0
