method,scenario,env,mean_return,std_return,mean_length,n_seeds,episodes,mean_recovery_steps,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,Walker2d-v5,49.23901820906885,0.0,65.12,1,50,nan,,,,,,,,
vanilla,force,Walker2d-v5,49.27434676235709,0.0,65.12,1,50,1.0,,,,,,,,
vanilla,params,Walker2d-v5,48.88821276576836,0.0,64.64,1,50,nan,,,,,,,,
vanilla,noise,Walker2d-v5,49.03495381496555,0.0,65.06,1,50,nan,,,,,,,,
vanilla,combined,Walker2d-v5,48.71567432429967,0.0,64.5,1,50,nan,,,,,,,,
rarl,nominal,Walker2d-v5,49.24015650096186,0.0,65.06,1,50,nan,,,,,,,,
rarl,force,Walker2d-v5,49.17403987572513,0.0,65.08,1,50,1.0,,,,,,,,
rarl,params,Walker2d-v5,49.33572048734166,0.0,64.88,1,50,nan,,,,,,,,
rarl,noise,Walker2d-v5,49.30098614763563,0.0,65.08,1,50,nan,,,,,,,,
rarl,combined,Walker2d-v5,48.848873101131666,0.0,64.62,1,50,nan,,,,,,,,
sa_mdp,nominal,Walker2d-v5,49.09644302548987,0.0,65.04,1,50,nan,,,,,,,,
sa_mdp,force,Walker2d-v5,48.99848629700302,0.0,65.1,1,50,1.0,,,,,,,,
sa_mdp,params,Walker2d-v5,48.46904686162481,0.0,64.8,1,50,nan,,,,,,,,
sa_mdp,noise,Walker2d-v5,49.13087796829338,0.0,65.08,1,50,nan,,,,,,,,
sa_mdp,combined,Walker2d-v5,49.38008071172817,0.0,64.8,1,50,nan,,,,,,,,
dr,nominal,Walker2d-v5,48.811991187569056,0.0,65.02,1,50,nan,,,,,,,,
dr,force,Walker2d-v5,49.1180752843935,0.0,65.08,1,50,1.0,,,,,,,,
dr,params,Walker2d-v5,49.028363117980845,0.0,64.72,1,50,nan,,,,,,,,
dr,noise,Walker2d-v5,49.596361483639285,0.0,65.22,1,50,nan,,,,,,,,
dr,combined,Walker2d-v5,49.083392128550194,0.0,64.5,1,50,nan,,,,,,,,
rzsm,nominal,Walker2d-v5,49.50764465724552,0.0,65.16,1,50,nan,0.0,0.0,0.0,0.1378146101903008,0.0,2809.0,0.0,449.0
rzsm,force,Walker2d-v5,48.85272906529499,0.0,65.02,1,50,1.0,0.00178826895565093,1.0,0.0035701535166012136,0.14149492463857274,5.0,2791.0,0.0,455.0
rzsm,params,Walker2d-v5,48.539692805378536,0.0,64.62,1,50,nan,1.0,0.8607242339832869,0.9251497005988024,0.8607242339832869,2781.0,0.0,450.0,0.0
rzsm,noise,Walker2d-v5,49.08396737556817,0.0,65.14,1,50,nan,1.0,0.8599938593797973,0.9247276328821393,0.8599938593797973,2801.0,0.0,456.0,0.0
rzsm,combined,Walker2d-v5,49.540353878360584,0.0,64.78,1,50,nan,1.0,0.849644952145724,0.9187114004339842,0.849644952145724,2752.0,0.0,487.0,0.0
