method,scenario,seed,env,mean_return,std_return,mean_length,episodes,elapsed_s,det_precision,det_recall,det_f1,det_accuracy,det_tp,det_fp,det_fn,det_tn
vanilla,nominal,seed_0,Walker2d-v5,49.23901820906885,1.344452609347649,65.12,50,5.1,,,,,,,,
vanilla,force,seed_0,Walker2d-v5,49.27434676235709,1.4053883666348541,65.12,50,6.2,,,,,,,,
vanilla,params,seed_0,Walker2d-v5,48.88821276576836,2.0686498334078913,64.64,50,5.2,,,,,,,,
vanilla,noise,seed_0,Walker2d-v5,49.03495381496555,1.4462010101613774,65.06,50,4.8,,,,,,,,
vanilla,combined,seed_0,Walker2d-v5,48.71567432429967,2.96511818034178,64.5,50,4.8,,,,,,,,
rarl,nominal,seed_0,Walker2d-v5,49.24015650096186,1.4833377141773139,65.06,50,4.8,,,,,,,,
rarl,force,seed_0,Walker2d-v5,49.17403987572513,1.4552793193822613,65.08,50,5.0,,,,,,,,
rarl,params,seed_0,Walker2d-v5,49.33572048734166,2.3872215931423044,64.88,50,5.0,,,,,,,,
rarl,noise,seed_0,Walker2d-v5,49.30098614763563,1.1458524326175439,65.08,50,4.8,,,,,,,,
rarl,combined,seed_0,Walker2d-v5,48.848873101131666,3.069715805004323,64.62,50,4.8,,,,,,,,
sa_mdp,nominal,seed_0,Walker2d-v5,49.09644302548987,1.4092662934962599,65.04,50,4.9,,,,,,,,
sa_mdp,force,seed_0,Walker2d-v5,48.99848629700302,1.385574063783558,65.1,50,5.1,,,,,,,,
sa_mdp,params,seed_0,Walker2d-v5,48.46904686162481,2.2384472400012387,64.8,50,4.9,,,,,,,,
sa_mdp,noise,seed_0,Walker2d-v5,49.13087796829338,1.3688848243340752,65.08,50,5.0,,,,,,,,
sa_mdp,combined,seed_0,Walker2d-v5,49.38008071172817,2.312471095475282,64.8,50,5.1,,,,,,,,
dr,nominal,seed_0,Walker2d-v5,48.811991187569056,1.411775433889006,65.02,50,5.3,,,,,,,,
dr,force,seed_0,Walker2d-v5,49.1180752843935,1.1813444347754567,65.08,50,5.5,,,,,,,,
dr,params,seed_0,Walker2d-v5,49.028363117980845,2.627119391660835,64.72,50,5.3,,,,,,,,
dr,noise,seed_0,Walker2d-v5,49.596361483639285,1.4574858079000608,65.22,50,5.5,,,,,,,,
dr,combined,seed_0,Walker2d-v5,49.083392128550194,2.705143899308143,64.5,50,5.3,,,,,,,,
rzsm,nominal,seed_0,Walker2d-v5,49.50764465724552,1.3444218091639728,65.16,50,14.3,0.0,0.0,0.0,0.1378146101903008,0,2809,0,449
rzsm,force,seed_0,Walker2d-v5,48.85272906529499,1.4364296834960266,65.02,50,12.7,0.00178826895565093,1.0,0.0035701535166012136,0.14149492463857274,5,2791,0,455
rzsm,params,seed_0,Walker2d-v5,48.539692805378536,2.5935784417405863,64.62,50,10.5,1.0,0.8607242339832869,0.9251497005988024,0.8607242339832869,2781,0,450,0
rzsm,noise,seed_0,Walker2d-v5,49.08396737556817,1.4010599353193778,65.14,50,10.0,1.0,0.8599938593797973,0.9247276328821393,0.8599938593797973,2801,0,456,0
rzsm,combined,seed_0,Walker2d-v5,49.540353878360584,2.1880526851460367,64.78,50,12.6,1.0,0.849644952145724,0.9187114004339842,0.849644952145724,2752,0,487,0
